"administrative_level_2","administrative_level_3","age","age5","age10","sex","population"
"Vilniaus apskr.","Elektrėnų","0","0-5","0-10","Moteris",98
"Vilniaus apskr.","Elektrėnų","1","0-5","0-10","Moteris",104
"Vilniaus apskr.","Elektrėnų","2","0-5","0-10","Moteris",118
"Vilniaus apskr.","Elektrėnų","3","0-5","0-10","Moteris",119
"Vilniaus apskr.","Elektrėnų","4","0-5","0-10","Moteris",129
"Vilniaus apskr.","Elektrėnų","5","5-10","0-10","Moteris",140
"Vilniaus apskr.","Elektrėnų","6","5-10","0-10","Moteris",120
"Vilniaus apskr.","Elektrėnų","7","5-10","0-10","Moteris",131
"Vilniaus apskr.","Elektrėnų","8","5-10","0-10","Moteris",127
"Vilniaus apskr.","Elektrėnų","9","5-10","0-10","Moteris",122
"Vilniaus apskr.","Elektrėnų","10","10-15","10-20","Moteris",106
"Vilniaus apskr.","Elektrėnų","11","10-15","10-20","Moteris",136
"Vilniaus apskr.","Elektrėnų","12","10-15","10-20","Moteris",129
"Vilniaus apskr.","Elektrėnų","13","10-15","10-20","Moteris",135
"Vilniaus apskr.","Elektrėnų","14","10-15","10-20","Moteris",106
"Vilniaus apskr.","Elektrėnų","15","15-20","10-20","Moteris",122
"Vilniaus apskr.","Elektrėnų","16","15-20","10-20","Moteris",95
"Vilniaus apskr.","Elektrėnų","17","15-20","10-20","Moteris",100
"Vilniaus apskr.","Elektrėnų","18","15-20","10-20","Moteris",86
"Vilniaus apskr.","Elektrėnų","19","15-20","10-20","Moteris",108
"Vilniaus apskr.","Elektrėnų","20","20-25","20-30","Moteris",123
"Vilniaus apskr.","Elektrėnų","21","20-25","20-30","Moteris",128
"Vilniaus apskr.","Elektrėnų","22","20-25","20-30","Moteris",120
"Vilniaus apskr.","Elektrėnų","23","20-25","20-30","Moteris",160
"Vilniaus apskr.","Elektrėnų","24","20-25","20-30","Moteris",122
"Vilniaus apskr.","Elektrėnų","25","25-30","20-30","Moteris",142
"Vilniaus apskr.","Elektrėnų","26","25-30","20-30","Moteris",142
"Vilniaus apskr.","Elektrėnų","27","25-30","20-30","Moteris",170
"Vilniaus apskr.","Elektrėnų","28","25-30","20-30","Moteris",190
"Vilniaus apskr.","Elektrėnų","29","25-30","20-30","Moteris",172
"Vilniaus apskr.","Elektrėnų","30","30-35","30-40","Moteris",200
"Vilniaus apskr.","Elektrėnų","31","30-35","30-40","Moteris",172
"Vilniaus apskr.","Elektrėnų","32","30-35","30-40","Moteris",185
"Vilniaus apskr.","Elektrėnų","33","30-35","30-40","Moteris",206
"Vilniaus apskr.","Elektrėnų","34","30-35","30-40","Moteris",207
"Vilniaus apskr.","Elektrėnų","35","35-40","30-40","Moteris",198
"Vilniaus apskr.","Elektrėnų","36","35-40","30-40","Moteris",202
"Vilniaus apskr.","Elektrėnų","37","35-40","30-40","Moteris",199
"Vilniaus apskr.","Elektrėnų","38","35-40","30-40","Moteris",205
"Vilniaus apskr.","Elektrėnų","39","35-40","30-40","Moteris",203
"Vilniaus apskr.","Elektrėnų","40","40-45","40-50","Moteris",182
"Vilniaus apskr.","Elektrėnų","41","40-45","40-50","Moteris",200
"Vilniaus apskr.","Elektrėnų","42","40-45","40-50","Moteris",196
"Vilniaus apskr.","Elektrėnų","43","40-45","40-50","Moteris",208
"Vilniaus apskr.","Elektrėnų","44","40-45","40-50","Moteris",154
"Vilniaus apskr.","Elektrėnų","45","45-50","40-50","Moteris",214
"Vilniaus apskr.","Elektrėnų","46","45-50","40-50","Moteris",185
"Vilniaus apskr.","Elektrėnų","47","45-50","40-50","Moteris",195
"Vilniaus apskr.","Elektrėnų","48","45-50","40-50","Moteris",206
"Vilniaus apskr.","Elektrėnų","49","45-50","40-50","Moteris",205
"Vilniaus apskr.","Elektrėnų","50","50-55","50-60","Moteris",228
"Vilniaus apskr.","Elektrėnų","51","50-55","50-60","Moteris",206
"Vilniaus apskr.","Elektrėnų","52","50-55","50-60","Moteris",205
"Vilniaus apskr.","Elektrėnų","53","50-55","50-60","Moteris",163
"Vilniaus apskr.","Elektrėnų","54","50-55","50-60","Moteris",203
"Vilniaus apskr.","Elektrėnų","55","55-60","50-60","Moteris",182
"Vilniaus apskr.","Elektrėnų","56","55-60","50-60","Moteris",193
"Vilniaus apskr.","Elektrėnų","57","55-60","50-60","Moteris",181
"Vilniaus apskr.","Elektrėnų","58","55-60","50-60","Moteris",203
"Vilniaus apskr.","Elektrėnų","59","55-60","50-60","Moteris",190
"Vilniaus apskr.","Elektrėnų","60","60-65","60-70","Moteris",203
"Vilniaus apskr.","Elektrėnų","61","60-65","60-70","Moteris",188
"Vilniaus apskr.","Elektrėnų","62","60-65","60-70","Moteris",182
"Vilniaus apskr.","Elektrėnų","63","60-65","60-70","Moteris",156
"Vilniaus apskr.","Elektrėnų","64","60-65","60-70","Moteris",136
"Vilniaus apskr.","Elektrėnų","65","65-70","60-70","Moteris",127
"Vilniaus apskr.","Elektrėnų","66","65-70","60-70","Moteris",119
"Vilniaus apskr.","Elektrėnų","67","65-70","60-70","Moteris",105
"Vilniaus apskr.","Elektrėnų","68","65-70","60-70","Moteris",96
"Vilniaus apskr.","Elektrėnų","69","65-70","60-70","Moteris",85
"Vilniaus apskr.","Elektrėnų","70","70-75","70-80","Moteris",107
"Vilniaus apskr.","Elektrėnų","71","70-75","70-80","Moteris",113
"Vilniaus apskr.","Elektrėnų","72","70-75","70-80","Moteris",59
"Vilniaus apskr.","Elektrėnų","73","70-75","70-80","Moteris",54
"Vilniaus apskr.","Elektrėnų","74","70-75","70-80","Moteris",76
