"","administrative_level_2","administrative_level_3","age","sex","population"
"1","Alytaus apskr.","Alytaus m.","0-10","Viso",4299
"2","Alytaus apskr.","Alytaus m.","10-20","Viso",4316
"3","Alytaus apskr.","Alytaus m.","20-30","Viso",5951
"4","Alytaus apskr.","Alytaus m.","30-40","Viso",4903
"5","Alytaus apskr.","Alytaus m.","40-50","Viso",6576
"6","Alytaus apskr.","Alytaus m.","50-60","Viso",8022
"7","Alytaus apskr.","Alytaus m.","60-70","Viso",7406
"8","Alytaus apskr.","Alytaus m.","70-80","Viso",4863
"9","Alytaus apskr.","Alytaus m.","80+","Viso",2869
"10","Alytaus apskr.","Alytaus r.","0-10","Viso",2169
"11","Alytaus apskr.","Alytaus r.","10-20","Viso",2486
"12","Alytaus apskr.","Alytaus r.","20-30","Viso",3150
"13","Alytaus apskr.","Alytaus r.","30-40","Viso",2380
"14","Alytaus apskr.","Alytaus r.","40-50","Viso",3086
"15","Alytaus apskr.","Alytaus r.","50-60","Viso",4337
"16","Alytaus apskr.","Alytaus r.","60-70","Viso",3715
"17","Alytaus apskr.","Alytaus r.","70-80","Viso",2524
"18","Alytaus apskr.","Alytaus r.","80+","Viso",1995
"19","Alytaus apskr.","Druskininkų","0-10","Viso",1798
"20","Alytaus apskr.","Druskininkų","10-20","Viso",1510
"21","Alytaus apskr.","Druskininkų","20-30","Viso",2198
"22","Alytaus apskr.","Druskininkų","30-40","Viso",1786
"23","Alytaus apskr.","Druskininkų","40-50","Viso",2123
"24","Alytaus apskr.","Druskininkų","50-60","Viso",3327
"25","Alytaus apskr.","Druskininkų","60-70","Viso",2872
"26","Alytaus apskr.","Druskininkų","70-80","Viso",1977
"27","Alytaus apskr.","Druskininkų","80+","Viso",1425
"28","Alytaus apskr.","Lazdijų r.","0-10","Viso",1534
"29","Alytaus apskr.","Lazdijų r.","10-20","Viso",1548
"30","Alytaus apskr.","Lazdijų r.","20-30","Viso",2320
"31","Alytaus apskr.","Lazdijų r.","30-40","Viso",1413
"32","Alytaus apskr.","Lazdijų r.","40-50","Viso",2029
"33","Alytaus apskr.","Lazdijų r.","50-60","Viso",3138
"34","Alytaus apskr.","Lazdijų r.","60-70","Viso",2506
"35","Alytaus apskr.","Lazdijų r.","70-80","Viso",1733
"36","Alytaus apskr.","Lazdijų r.","80+","Viso",1618
"37","Alytaus apskr.","Varėnos r.","0-10","Viso",1749
"38","Alytaus apskr.","Varėnos r.","10-20","Viso",1759
"39","Alytaus apskr.","Varėnos r.","20-30","Viso",2557
"40","Alytaus apskr.","Varėnos r.","30-40","Viso",1549
"41","Alytaus apskr.","Varėnos r.","40-50","Viso",2318
"42","Alytaus apskr.","Varėnos r.","50-60","Viso",3556
"43","Alytaus apskr.","Varėnos r.","60-70","Viso",3144
"44","Alytaus apskr.","Varėnos r.","70-80","Viso",2133
"45","Alytaus apskr.","Varėnos r.","80+","Viso",1755
"46","Kauno apskr.","Birštono","0-10","Viso",376
"47","Kauno apskr.","Birštono","10-20","Viso",336
"48","Kauno apskr.","Birštono","20-30","Viso",447
"49","Kauno apskr.","Birštono","30-40","Viso",388
"50","Kauno apskr.","Birštono","40-50","Viso",433
"51","Kauno apskr.","Birštono","50-60","Viso",651
"52","Kauno apskr.","Birštono","60-70","Viso",686
"53","Kauno apskr.","Birštono","70-80","Viso",383
"54","Kauno apskr.","Birštono","80+","Viso",337
"55","Kauno apskr.","Jonavos r.","0-10","Viso",4112
"56","Kauno apskr.","Jonavos r.","10-20","Viso",4315
"57","Kauno apskr.","Jonavos r.","20-30","Viso",5230
"58","Kauno apskr.","Jonavos r.","30-40","Viso",4160
"59","Kauno apskr.","Jonavos r.","40-50","Viso",5318
"60","Kauno apskr.","Jonavos r.","50-60","Viso",6164
"61","Kauno apskr.","Jonavos r.","60-70","Viso",5545
"62","Kauno apskr.","Jonavos r.","70-80","Viso",3714
"63","Kauno apskr.","Jonavos r.","80+","Viso",2192
"64","Kauno apskr.","Kaišiadorių r.","0-10","Viso",2480
"65","Kauno apskr.","Kaišiadorių r.","10-20","Viso",2733
"66","Kauno apskr.","Kaišiadorių r.","20-30","Viso",3619
"67","Kauno apskr.","Kaišiadorių r.","30-40","Viso",3908
"68","Kauno apskr.","Kaišiadorių r.","40-50","Viso",3938
"69","Kauno apskr.","Kaišiadorių r.","50-60","Viso",4562
"70","Kauno apskr.","Kaišiadorių r.","60-70","Viso",3767
"71","Kauno apskr.","Kaišiadorių r.","70-80","Viso",2479
"72","Kauno apskr.","Kaišiadorių r.","80+","Viso",1705
"73","Kauno apskr.","Kauno m.","0-10","Viso",31061
"74","Kauno apskr.","Kauno m.","10-20","Viso",25218
