"administrative_level_2","administrative_level_3","age","sex","population"
"Alytaus apskr.","Alytaus m.","0-4","Moteris",1049
"Alytaus apskr.","Alytaus m.","0-4","Vyras",1092
"Alytaus apskr.","Alytaus m.","10-14","Moteris",1018
"Alytaus apskr.","Alytaus m.","10-14","Vyras",1060
"Alytaus apskr.","Alytaus m.","15-19","Moteris",1066
"Alytaus apskr.","Alytaus m.","15-19","Vyras",1172
"Alytaus apskr.","Alytaus m.","20-24","Moteris",1393
"Alytaus apskr.","Alytaus m.","20-24","Vyras",1402
"Alytaus apskr.","Alytaus m.","25-29","Moteris",1541
"Alytaus apskr.","Alytaus m.","25-29","Vyras",1615
"Alytaus apskr.","Alytaus m.","30-34","Moteris",1065
"Alytaus apskr.","Alytaus m.","30-34","Vyras",1408
"Alytaus apskr.","Alytaus m.","35-39","Moteris",1088
"Alytaus apskr.","Alytaus m.","35-39","Vyras",1342
"Alytaus apskr.","Alytaus m.","40-44","Moteris",1425
"Alytaus apskr.","Alytaus m.","40-44","Vyras",1504
"Alytaus apskr.","Alytaus m.","45-49","Moteris",1955
"Alytaus apskr.","Alytaus m.","45-49","Vyras",1692
"Alytaus apskr.","Alytaus m.","5-9","Moteris",1052
"Alytaus apskr.","Alytaus m.","5-9","Vyras",1106
"Alytaus apskr.","Alytaus m.","50-54","Moteris",2062
"Alytaus apskr.","Alytaus m.","50-54","Vyras",1732
"Alytaus apskr.","Alytaus m.","55-59","Moteris",2319
"Alytaus apskr.","Alytaus m.","55-59","Vyras",1909
"Alytaus apskr.","Alytaus m.","60-64","Moteris",2277
"Alytaus apskr.","Alytaus m.","60-64","Vyras",1696
"Alytaus apskr.","Alytaus m.","65-69","Moteris",2134
"Alytaus apskr.","Alytaus m.","65-69","Vyras",1299
"Alytaus apskr.","Alytaus m.","70-74","Moteris",1861
"Alytaus apskr.","Alytaus m.","70-74","Vyras",961
"Alytaus apskr.","Alytaus m.","75-79","Moteris",1339
"Alytaus apskr.","Alytaus m.","75-79","Vyras",702
"Alytaus apskr.","Alytaus m.","80+","Moteris",2113
"Alytaus apskr.","Alytaus m.","80+","Vyras",756
"Alytaus apskr.","Alytaus r.","0-4","Moteris",463
"Alytaus apskr.","Alytaus r.","0-4","Vyras",501
"Alytaus apskr.","Alytaus r.","10-14","Moteris",559
"Alytaus apskr.","Alytaus r.","10-14","Vyras",610
"Alytaus apskr.","Alytaus r.","15-19","Moteris",652
"Alytaus apskr.","Alytaus r.","15-19","Vyras",665
"Alytaus apskr.","Alytaus r.","20-24","Moteris",700
"Alytaus apskr.","Alytaus r.","20-24","Vyras",810
"Alytaus apskr.","Alytaus r.","25-29","Moteris",685
"Alytaus apskr.","Alytaus r.","25-29","Vyras",955
"Alytaus apskr.","Alytaus r.","30-34","Moteris",487
"Alytaus apskr.","Alytaus r.","30-34","Vyras",697
"Alytaus apskr.","Alytaus r.","35-39","Moteris",550
"Alytaus apskr.","Alytaus r.","35-39","Vyras",646
"Alytaus apskr.","Alytaus r.","40-44","Moteris",643
"Alytaus apskr.","Alytaus r.","40-44","Vyras",687
"Alytaus apskr.","Alytaus r.","45-49","Moteris",811
"Alytaus apskr.","Alytaus r.","45-49","Vyras",945
"Alytaus apskr.","Alytaus r.","5-9","Moteris",611
