"administrative_level_2","administrative_level_3","age","age5","age10","population"
"Vilniaus apskr.","Elektrėnų","0","0-4","0-9",209
"Vilniaus apskr.","Elektrėnų","1","0-4","0-9",214
"Vilniaus apskr.","Elektrėnų","2","0-4","0-9",230
"Vilniaus apskr.","Elektrėnų","3","0-4","0-9",232
"Vilniaus apskr.","Elektrėnų","4","0-4","0-9",249
"Vilniaus apskr.","Elektrėnų","5","5-9","0-9",275
"Vilniaus apskr.","Elektrėnų","6","5-9","0-9",256
"Vilniaus apskr.","Elektrėnų","7","5-9","0-9",245
"Vilniaus apskr.","Elektrėnų","8","5-9","0-9",244
"Vilniaus apskr.","Elektrėnų","9","5-9","0-9",232
"Vilniaus apskr.","Elektrėnų","10","10-14","10-19",214
"Vilniaus apskr.","Elektrėnų","11","10-14","10-19",225
"Vilniaus apskr.","Elektrėnų","12","10-14","10-19",215
"Vilniaus apskr.","Elektrėnų","13","10-14","10-19",231
"Vilniaus apskr.","Elektrėnų","14","10-14","10-19",200
"Vilniaus apskr.","Elektrėnų","15","15-19","10-19",210
"Vilniaus apskr.","Elektrėnų","16","15-19","10-19",191
"Vilniaus apskr.","Elektrėnų","17","15-19","10-19",197
"Vilniaus apskr.","Elektrėnų","18","15-19","10-19",174
"Vilniaus apskr.","Elektrėnų","19","15-19","10-19",222
"Vilniaus apskr.","Elektrėnų","20","20-24","20-29",245
"Vilniaus apskr.","Elektrėnų","21","20-24","20-29",241
"Vilniaus apskr.","Elektrėnų","22","20-24","20-29",245
"Vilniaus apskr.","Elektrėnų","23","20-24","20-29",301
"Vilniaus apskr.","Elektrėnų","24","20-24","20-29",244
"Vilniaus apskr.","Elektrėnų","25","25-29","20-29",260
"Vilniaus apskr.","Elektrėnų","26","25-29","20-29",257
"Vilniaus apskr.","Elektrėnų","27","25-29","20-29",314
"Vilniaus apskr.","Elektrėnų","28","25-29","20-29",335
"Vilniaus apskr.","Elektrėnų","29","25-29","20-29",296
"Vilniaus apskr.","Elektrėnų","30","30-34","30-39",342
"Vilniaus apskr.","Elektrėnų","31","30-34","30-39",292
"Vilniaus apskr.","Elektrėnų","32","30-34","30-39",313
"Vilniaus apskr.","Elektrėnų","33","30-34","30-39",365
"Vilniaus apskr.","Elektrėnų","34","30-34","30-39",352
"Vilniaus apskr.","Elektrėnų","35","35-39","30-39",335
"Vilniaus apskr.","Elektrėnų","36","35-39","30-39",323
"Vilniaus apskr.","Elektrėnų","37","35-39","30-39",306
"Vilniaus apskr.","Elektrėnų","38","35-39","30-39",318
"Vilniaus apskr.","Elektrėnų","39","35-39","30-39",315
"Vilniaus apskr.","Elektrėnų","40","40-44","40-49",319
"Vilniaus apskr.","Elektrėnų","41","40-44","40-49",361
"Vilniaus apskr.","Elektrėnų","42","40-44","40-49",322
"Vilniaus apskr.","Elektrėnų","43","40-44","40-49",318
"Vilniaus apskr.","Elektrėnų","44","40-44","40-49",286
"Vilniaus apskr.","Elektrėnų","45","45-49","40-49",345
"Vilniaus apskr.","Elektrėnų","46","45-49","40-49",328
"Vilniaus apskr.","Elektrėnų","47","45-49","40-49",351
"Vilniaus apskr.","Elektrėnų","48","45-49","40-49",395
"Vilniaus apskr.","Elektrėnų","49","45-49","40-49",384
"Vilniaus apskr.","Elektrėnų","50","50-54","50-59",390
"Vilniaus apskr.","Elektrėnų","51","50-54","50-59",387
"Vilniaus apskr.","Elektrėnų","52","50-54","50-59",378
"Vilniaus apskr.","Elektrėnų","53","50-54","50-59",357
"Vilniaus apskr.","Elektrėnų","54","50-54","50-59",371
"Vilniaus apskr.","Elektrėnų","55","55-59","50-59",338
"Vilniaus apskr.","Elektrėnų","56","55-59","50-59",377
"Vilniaus apskr.","Elektrėnų","57","55-59","50-59",369
"Vilniaus apskr.","Elektrėnų","58","55-59","50-59",422
"Vilniaus apskr.","Elektrėnų","59","55-59","50-59",415
"Vilniaus apskr.","Elektrėnų","60","60-64","60-69",433
"Vilniaus apskr.","Elektrėnų","61","60-64","60-69",400
"Vilniaus apskr.","Elektrėnų","62","60-64","60-69",387
"Vilniaus apskr.","Elektrėnų","63","60-64","60-69",343
"Vilniaus apskr.","Elektrėnų","64","60-64","60-69",316
"Vilniaus apskr.","Elektrėnų","65","65-69","60-69",277
"Vilniaus apskr.","Elektrėnų","66","65-69","60-69",261
"Vilniaus apskr.","Elektrėnų","67","65-69","60-69",232
"Vilniaus apskr.","Elektrėnų","68","65-69","60-69",258
"Vilniaus apskr.","Elektrėnų","69","65-69","60-69",240
"Vilniaus apskr.","Elektrėnų","70","70-74","70-79",245
"Vilniaus apskr.","Elektrėnų","71","70-74","70-79",256
"Vilniaus apskr.","Elektrėnų","72","70-74","70-79",185
"Vilniaus apskr.","Elektrėnų","73","70-74","70-79",177
"Vilniaus apskr.","Elektrėnų","74","70-74","70-79",202
"Vilniaus apskr.","Elektrėnų","75","75-79","70-79",189
"Vilniaus apskr.","Elektrėnų","76","75-79","70-79",165
"Vilniaus apskr.","Elektrėnų","77","75-79","70-79",213
"Vilniaus apskr.","Elektrėnų","78","75-79","70-79",218
"Vilniaus apskr.","Elektrėnų","79","75-79","70-79",177
"Vilniaus apskr.","Elektrėnų","80","80+","80+",165
"Vilniaus apskr.","Elektrėnų","81","80+","80+",145
"Vilniaus apskr.","Elektrėnų","82","80+","80+",157
"Vilniaus apskr.","Elektrėnų","83","80+","80+",141
"Vilniaus apskr.","Elektrėnų","84","80+","80+",140
"Vilniaus apskr.","Elektrėnų","85 ir vyresni","80+","80+",509
"Vilniaus apskr.","Šalčininkų r.","0","0-4","0-9",277
"Vilniaus apskr.","Šalčininkų r.","1","0-4","0-9",248
"Vilniaus apskr.","Šalčininkų r.","2","0-4","0-9",313
"Vilniaus apskr.","Šalčininkų r.","3","0-4","0-9",271
"Vilniaus apskr.","Šalčininkų r.","4","0-4","0-9",368
"Vilniaus apskr.","Šalčininkų r.","5","5-9","0-9",353
"Vilniaus apskr.","Šalčininkų r.","6","5-9","0-9",330
