"administrative_level_2","administrative_level_3","age","population"
"Alytaus apskr.","Alytaus m.","0-10",4299
"Alytaus apskr.","Alytaus m.","10-20",4316
"Alytaus apskr.","Alytaus m.","20-30",5951
"Alytaus apskr.","Alytaus m.","30-40",4903
"Alytaus apskr.","Alytaus m.","40-50",6576
"Alytaus apskr.","Alytaus m.","50-60",8022
"Alytaus apskr.","Alytaus m.","60-70",7406
"Alytaus apskr.","Alytaus m.","70-80",4863
"Alytaus apskr.","Alytaus m.","80+",2869
"Alytaus apskr.","Alytaus r.","0-10",2169
"Alytaus apskr.","Alytaus r.","10-20",2486
"Alytaus apskr.","Alytaus r.","20-30",3150
"Alytaus apskr.","Alytaus r.","30-40",2380
"Alytaus apskr.","Alytaus r.","40-50",3086
"Alytaus apskr.","Alytaus r.","50-60",4337
"Alytaus apskr.","Alytaus r.","60-70",3715
"Alytaus apskr.","Alytaus r.","70-80",2524
"Alytaus apskr.","Alytaus r.","80+",1995
"Alytaus apskr.","Druskininkų","0-10",1798
"Alytaus apskr.","Druskininkų","10-20",1510
"Alytaus apskr.","Druskininkų","20-30",2198
"Alytaus apskr.","Druskininkų","30-40",1786
"Alytaus apskr.","Druskininkų","40-50",2123
"Alytaus apskr.","Druskininkų","50-60",3327
"Alytaus apskr.","Druskininkų","60-70",2872
"Alytaus apskr.","Druskininkų","70-80",1977
"Alytaus apskr.","Druskininkų","80+",1425
"Alytaus apskr.","Lazdijų r.","0-10",1534
"Alytaus apskr.","Lazdijų r.","10-20",1548
"Alytaus apskr.","Lazdijų r.","20-30",2320
"Alytaus apskr.","Lazdijų r.","30-40",1413
"Alytaus apskr.","Lazdijų r.","40-50",2029
"Alytaus apskr.","Lazdijų r.","50-60",3138
"Alytaus apskr.","Lazdijų r.","60-70",2506
"Alytaus apskr.","Lazdijų r.","70-80",1733
"Alytaus apskr.","Lazdijų r.","80+",1618
"Alytaus apskr.","Varėnos r.","0-10",1749
"Alytaus apskr.","Varėnos r.","10-20",1759
"Alytaus apskr.","Varėnos r.","20-30",2557
"Alytaus apskr.","Varėnos r.","30-40",1549
"Alytaus apskr.","Varėnos r.","40-50",2318
"Alytaus apskr.","Varėnos r.","50-60",3556
"Alytaus apskr.","Varėnos r.","60-70",3144
"Alytaus apskr.","Varėnos r.","70-80",2133
"Alytaus apskr.","Varėnos r.","80+",1755
"Kauno apskr.","Birštono","0-10",376
"Kauno apskr.","Birštono","10-20",336
"Kauno apskr.","Birštono","20-30",447
"Kauno apskr.","Birštono","30-40",388
"Kauno apskr.","Birštono","40-50",433
"Kauno apskr.","Birštono","50-60",651
"Kauno apskr.","Birštono","60-70",686
"Kauno apskr.","Birštono","70-80",383
"Kauno apskr.","Birštono","80+",337
"Kauno apskr.","Jonavos r.","0-10",4112
"Kauno apskr.","Jonavos r.","10-20",4315
"Kauno apskr.","Jonavos r.","20-30",5230
"Kauno apskr.","Jonavos r.","30-40",4160
"Kauno apskr.","Jonavos r.","40-50",5318
"Kauno apskr.","Jonavos r.","50-60",6164
"Kauno apskr.","Jonavos r.","60-70",5545
"Kauno apskr.","Jonavos r.","70-80",3714
"Kauno apskr.","Jonavos r.","80+",2192
"Kauno apskr.","Kaišiadorių r.","0-10",2480
"Kauno apskr.","Kaišiadorių r.","10-20",2733
"Kauno apskr.","Kaišiadorių r.","20-30",3619
"Kauno apskr.","Kaišiadorių r.","30-40",3908
"Kauno apskr.","Kaišiadorių r.","40-50",3938
"Kauno apskr.","Kaišiadorių r.","50-60",4562
"Kauno apskr.","Kaišiadorių r.","60-70",3767
"Kauno apskr.","Kaišiadorių r.","70-80",2479
"Kauno apskr.","Kaišiadorių r.","80+",1705
"Kauno apskr.","Kauno m.","0-10",31061
"Kauno apskr.","Kauno m.","10-20",25218
"Kauno apskr.","Kauno m.","20-30",35343
"Kauno apskr.","Kauno m.","30-40",49025
"Kauno apskr.","Kauno m.","40-50",35501
"Kauno apskr.","Kauno m.","50-60",37437
"Kauno apskr.","Kauno m.","60-70",35474
"Kauno apskr.","Kauno m.","70-80",26025
"Kauno apskr.","Kauno m.","80+",18193
"Kauno apskr.","Kauno r.","0-10",9932
"Kauno apskr.","Kauno r.","10-20",10484
"Kauno apskr.","Kauno r.","20-30",12523
"Kauno apskr.","Kauno r.","30-40",14878
"Kauno apskr.","Kauno r.","40-50",13977
"Kauno apskr.","Kauno r.","50-60",13734
"Kauno apskr.","Kauno r.","60-70",10956
"Kauno apskr.","Kauno r.","70-80",6612
"Kauno apskr.","Kauno r.","80+",4453
"Kauno apskr.","Kėdainių r.","0-10",4141
"Kauno apskr.","Kėdainių r.","10-20",4479
"Kauno apskr.","Kėdainių r.","20-30",5406
"Kauno apskr.","Kėdainių r.","30-40",4001
"Kauno apskr.","Kėdainių r.","40-50",5669
"Kauno apskr.","Kėdainių r.","50-60",7313
"Kauno apskr.","Kėdainių r.","60-70",6304
"Kauno apskr.","Kėdainių r.","70-80",4425
"Kauno apskr.","Kėdainių r.","80+",3012
"Kauno apskr.","Prienų r.","0-10",2314
"Kauno apskr.","Prienų r.","10-20",2405
"Kauno apskr.","Prienų r.","20-30",3188
"Kauno apskr.","Prienų r.","30-40",2329
"Kauno apskr.","Prienų r.","40-50",3047
"Kauno apskr.","Prienų r.","50-60",4109
"Kauno apskr.","Prienų r.","60-70",3678
"Kauno apskr.","Prienų r.","70-80",2394
"Kauno apskr.","Prienų r.","80+",2002
"Kauno apskr.","Raseinių r.","0-10",2785
"Kauno apskr.","Raseinių r.","10-20",3009
"Kauno apskr.","Raseinių r.","20-30",3949
"Kauno apskr.","Raseinių r.","30-40",2576
"Kauno apskr.","Raseinių r.","40-50",3738
"Kauno apskr.","Raseinių r.","50-60",5028
"Kauno apskr.","Raseinių r.","60-70",4282
"Kauno apskr.","Raseinių r.","70-80",3006
"Kauno apskr.","Raseinių r.","80+",2235
"Klaipėdos apskr.","Klaipėdos m.","0-10",17152
"Klaipėdos apskr.","Klaipėdos m.","10-20",13525
"Klaipėdos apskr.","Klaipėdos m.","20-30",16150
"Klaipėdos apskr.","Klaipėdos m.","30-40",23123
"Klaipėdos apskr.","Klaipėdos m.","40-50",19301
"Klaipėdos apskr.","Klaipėdos m.","50-60",19561
"Klaipėdos apskr.","Klaipėdos m.","60-70",19323
"Klaipėdos apskr.","Klaipėdos m.","70-80",12012
"Klaipėdos apskr.","Klaipėdos m.","80+",8909
"Klaipėdos apskr.","Klaipėdos r.","0-10",6741
"Klaipėdos apskr.","Klaipėdos r.","10-20",6789
"Klaipėdos apskr.","Klaipėdos r.","20-30",7617
"Klaipėdos apskr.","Klaipėdos r.","30-40",9205
"Klaipėdos apskr.","Klaipėdos r.","40-50",9664
"Klaipėdos apskr.","Klaipėdos r.","50-60",9319
"Klaipėdos apskr.","Klaipėdos r.","60-70",6949
"Klaipėdos apskr.","Klaipėdos r.","70-80",3814
"Klaipėdos apskr.","Klaipėdos r.","80+",2550
"Klaipėdos apskr.","Kretingos r.","0-10",3924
"Klaipėdos apskr.","Kretingos r.","10-20",3846
"Klaipėdos apskr.","Kretingos r.","20-30",4830
"Klaipėdos apskr.","Kretingos r.","30-40",3820
"Klaipėdos apskr.","Kretingos r.","40-50",4743
"Klaipėdos apskr.","Kretingos r.","50-60",5922
"Klaipėdos apskr.","Kretingos r.","60-70",4808
"Klaipėdos apskr.","Kretingos r.","70-80",3149
"Klaipėdos apskr.","Kretingos r.","80+",2281
"Klaipėdos apskr.","Neringos","0-10",384
"Klaipėdos apskr.","Neringos","10-20",272
"Klaipėdos apskr.","Neringos","20-30",393
"Klaipėdos apskr.","Neringos","30-40",570
"Klaipėdos apskr.","Neringos","40-50",620
"Klaipėdos apskr.","Neringos","50-60",635
"Klaipėdos apskr.","Neringos","60-70",455
"Klaipėdos apskr.","Neringos","70-80",205
"Klaipėdos apskr.","Neringos","80+",107
"Klaipėdos apskr.","Palangos m.","0-10",1556
"Klaipėdos apskr.","Palangos m.","10-20",1401
"Klaipėdos apskr.","Palangos m.","20-30",1641
"Klaipėdos apskr.","Palangos m.","30-40",1703
"Klaipėdos apskr.","Palangos m.","40-50",2096
"Klaipėdos apskr.","Palangos m.","50-60",2556
"Klaipėdos apskr.","Palangos m.","60-70",2671
"Klaipėdos apskr.","Palangos m.","70-80",1726
"Klaipėdos apskr.","Palangos m.","80+",1079
"Klaipėdos apskr.","Šilutės r.","0-10",4022
"Klaipėdos apskr.","Šilutės r.","10-20",3778
"Klaipėdos apskr.","Šilutės r.","20-30",4952
"Klaipėdos apskr.","Šilutės r.","30-40",3194
"Klaipėdos apskr.","Šilutės r.","40-50",4319
"Klaipėdos apskr.","Šilutės r.","50-60",6227
"Klaipėdos apskr.","Šilutės r.","60-70",5126
"Klaipėdos apskr.","Šilutės r.","70-80",3172
"Klaipėdos apskr.","Šilutės r.","80+",2297
"Klaipėdos apskr.","Skuodo r.","0-10",1524
"Klaipėdos apskr.","Skuodo r.","10-20",1502
"Klaipėdos apskr.","Skuodo r.","20-30",2128
"Klaipėdos apskr.","Skuodo r.","30-40",757
"Klaipėdos apskr.","Skuodo r.","40-50",1671
"Klaipėdos apskr.","Skuodo r.","50-60",2779
"Klaipėdos apskr.","Skuodo r.","60-70",2499
"Klaipėdos apskr.","Skuodo r.","70-80",1790
"Klaipėdos apskr.","Skuodo r.","80+",1015
"Marijampolės apskr.","Kalvarijos","0-10",1067
"Marijampolės apskr.","Kalvarijos","10-20",1125
"Marijampolės apskr.","Kalvarijos","20-30",1408
"Marijampolės apskr.","Kalvarijos","30-40",919
"Marijampolės apskr.","Kalvarijos","40-50",1218
"Marijampolės apskr.","Kalvarijos","50-60",1601
"Marijampolės apskr.","Kalvarijos","60-70",1285
"Marijampolės apskr.","Kalvarijos","70-80",722
"Marijampolės apskr.","Kalvarijos","80+",608
"Marijampolės apskr.","Kazlų Rūdos","0-10",1090
"Marijampolės apskr.","Kazlų Rūdos","10-20",1200
"Marijampolės apskr.","Kazlų Rūdos","20-30",1364
"Marijampolės apskr.","Kazlų Rūdos","30-40",1110
"Marijampolės apskr.","Kazlų Rūdos","40-50",1410
"Marijampolės apskr.","Kazlų Rūdos","50-60",1718
"Marijampolės apskr.","Kazlų Rūdos","60-70",1473
"Marijampolės apskr.","Kazlų Rūdos","70-80",1057
"Marijampolės apskr.","Kazlų Rūdos","80+",717
