"day","profession","confirmed","confirmed_male","confirmed_female","active","recovered","deaths","updated"
2020-05-22,"Kita",1235,601,634,294,871,62,"2020-05-23 09:08:55"
2020-05-22,"Kariškis",10,10,0,3,7,0,"2020-05-23 09:08:51"
2020-05-22,"Krovininio transporto vairuotojas",19,19,0,8,11,0,"2020-05-23 09:08:52"
2020-05-22,"Policininkas",4,3,1,0,4,0,"2020-05-23 09:08:52"
2020-05-22,"Sveikatos priežiūros specialistas",338,38,300,101,237,0,"2020-05-23 09:08:53"
2020-05-22,"Ugdymo įstaigos darbuotojas",11,1,10,6,5,0,"2020-05-23 09:08:54"
2020-05-23,"Kita",1241,604,636,298,873,62,"2020-05-24 09:08:33"
2020-05-23,"Kariškis",10,10,0,3,7,0,"2020-05-24 09:08:29"
2020-05-23,"Krovininio transporto vairuotojas",19,19,0,8,11,0,"2020-05-24 09:08:30"
2020-05-23,"Policininkas",4,3,1,0,4,0,"2020-05-24 09:08:30"
2020-05-23,"Sveikatos priežiūros specialistas",339,38,301,101,238,0,"2020-05-24 09:08:31"
2020-05-23,"Ugdymo įstaigos darbuotojas",11,1,10,6,5,0,"2020-05-24 09:08:32"
2020-05-24,"Kita",1251,610,641,306,875,62,"2020-05-25 09:09:12"
2020-05-24,"Kariškis",10,10,0,3,7,0,"2020-05-25 09:09:07"
2020-05-24,"Krovininio transporto vairuotojas",19,19,0,8,11,0,"2020-05-25 09:09:08"
2020-05-24,"Policininkas",4,3,1,0,4,0,"2020-05-25 09:09:08"
2020-05-24,"Sveikatos priežiūros specialistas",340,38,302,100,240,0,"2020-05-25 09:09:09"
2020-05-24,"Ugdymo įstaigos darbuotojas",11,1,10,6,5,0,"2020-05-25 09:09:10"
2020-05-25,"Kita",1251,610,641,306,875,62,"2020-05-25 09:09:12"
2020-05-25,"Kariškis",10,10,0,3,7,0,"2020-05-25 09:09:07"
2020-05-25,"Krovininio transporto vairuotojas",19,19,0,8,11,0,"2020-05-25 09:09:08"
2020-05-25,"Policininkas",4,3,1,0,4,0,"2020-05-25 09:09:08"
2020-05-25,"Sveikatos priežiūros specialistas",340,38,302,100,240,0,"2020-05-25 09:09:09"
2020-05-25,"Ugdymo įstaigos darbuotojas",11,1,10,6,5,0,"2020-05-25 09:09:10"
2020-05-26,"Kita",1257,614,643,279,904,66,"2020-05-27 09:10:00"
2020-05-26,"Kariškis",10,10,0,3,7,0,"2020-05-27 09:09:55"
2020-05-26,"Krovininio transporto vairuotojas",19,19,0,7,12,0,"2020-05-27 09:09:56"
2020-05-26,"Policininkas",4,3,1,0,4,0,"2020-05-27 09:09:57"
2020-05-26,"Sveikatos priežiūros specialistas",345,38,307,91,254,0,"2020-05-27 09:09:58"
2020-05-26,"Ugdymo įstaigos darbuotojas",12,1,11,7,5,0,"2020-05-27 09:09:58"
2020-05-27,"Kita",1261,616,645,275,910,68,"2020-05-28 09:09:06"
