"country","day","incidence","daily_tests","confirmed","active","deaths","recovered","quarantined","total_tests","deaths_different","imported0601","under_observation"
"Lithuania",2020-02-28,1,116,1,1,0,0,NA,116,NA,NA,3303
"Lithuania",2020-02-29,0,26,1,1,0,0,NA,142,NA,NA,3303
"Lithuania",2020-03-01,0,23,1,1,0,0,NA,165,NA,NA,3303
"Lithuania",2020-03-02,0,26,1,1,0,0,NA,191,NA,NA,3303
"Lithuania",2020-03-03,0,24,1,1,0,0,NA,215,NA,NA,3303
"Lithuania",2020-03-04,0,16,1,1,0,0,NA,231,NA,NA,4981
"Lithuania",2020-03-05,0,16,1,1,0,0,NA,247,NA,NA,4981
"Lithuania",2020-03-06,0,7,1,1,0,0,NA,254,NA,NA,4981
"Lithuania",2020-03-07,0,6,1,1,0,0,NA,260,NA,NA,4981
"Lithuania",2020-03-08,0,15,1,1,0,0,NA,275,NA,NA,4981
"Lithuania",2020-03-09,0,15,1,1,0,0,NA,290,NA,NA,4981
"Lithuania",2020-03-10,0,19,1,1,0,0,NA,309,NA,NA,4981
"Lithuania",2020-03-11,2,12,3,3,0,0,NA,321,NA,NA,4981
"Lithuania",2020-03-12,0,45,3,3,0,0,NA,366,NA,NA,9176
"Lithuania",2020-03-13,3,76,6,6,0,0,NA,442,NA,NA,9176
"Lithuania",2020-03-14,1,78,7,7,0,0,NA,520,NA,NA,9176
"Lithuania",2020-03-15,5,104,12,11,0,1,NA,624,NA,NA,43270
"Lithuania",2020-03-16,5,118,17,16,0,1,NA,742,NA,NA,43270
"Lithuania",2020-03-17,9,193,26,25,0,1,NA,935,NA,NA,56219
"Lithuania",2020-03-18,8,92,34,33,0,1,NA,1027,NA,NA,70998
"Lithuania",2020-03-19,14,127,48,47,0,1,NA,1154,NA,NA,74887
"Lithuania",2020-03-20,21,312,69,67,1,1,NA,1466,NA,NA,74887
"Lithuania",2020-03-21,36,620,105,103,1,1,NA,2086,NA,NA,74887
"Lithuania",2020-03-22,38,275,143,141,1,1,NA,2361,NA,NA,74887
"Lithuania",2020-03-23,44,373,187,185,1,1,NA,2734,NA,NA,74887
"Lithuania",2020-03-24,68,737,255,252,2,1,NA,3471,NA,NA,74887
"Lithuania",2020-03-25,35,849,290,285,4,1,NA,4320,NA,NA,74887
"Lithuania",2020-03-26,54,1273,344,339,4,1,NA,5593,NA,NA,74887
"Lithuania",2020-03-27,38,1307,382,376,5,1,NA,6900,NA,NA,74887
"Lithuania",2020-03-28,55,1524,437,429,7,1,NA,8424,NA,NA,74887
"Lithuania",2020-03-29,47,1467,484,476,7,1,NA,9891,NA,NA,74887
"Lithuania",2020-03-30,49,1389,533,519,7,7,NA,11280,NA,NA,74887
"Lithuania",2020-03-31,48,1294,581,566,8,7,NA,12574,NA,NA,74887
"Lithuania",2020-04-01,68,3061,649,634,8,7,NA,15635,NA,NA,74887
"Lithuania",2020-04-02,47,2797,696,680,9,7,NA,18432,NA,NA,74887
"Lithuania",2020-04-03,75,2944,771,755,9,7,NA,21376,NA,NA,74887
"Lithuania",2020-04-04,40,2269,811,793,11,7,NA,23645,NA,NA,74887
"Lithuania",2020-04-05,32,1954,843,822,14,7,NA,25599,NA,NA,74887
"Lithuania",2020-04-06,37,2208,880,858,15,7,NA,27807,NA,NA,74887
"Lithuania",2020-04-07,32,2301,912,890,15,7,NA,30108,NA,NA,74887
"Lithuania",2020-04-08,42,2701,954,931,15,8,NA,32809,NA,NA,74887
"Lithuania",2020-04-09,44,3242,998,974,16,8,NA,36051,NA,NA,74887
"Lithuania",2020-04-10,27,2421,1025,949,22,54,NA,38472,NA,NA,74887
"Lithuania",2020-04-11,27,2240,1052,932,23,97,NA,40712,NA,NA,74887
"Lithuania",2020-04-12,9,791,1061,936,24,101,NA,41503,NA,NA,74887
"Lithuania",2020-04-13,8,1187,1069,944,24,101,NA,42690,NA,NA,74887
"Lithuania",2020-04-14,21,1987,1090,960,29,101,NA,44677,NA,NA,74887
"Lithuania",2020-04-15,37,3860,1127,919,30,178,NA,48537,NA,NA,74887
"Lithuania",2020-04-16,21,4564,1148,906,32,210,NA,53101,NA,NA,74887
"Lithuania",2020-04-17,90,5715,1238,977,33,228,NA,58816,NA,NA,74887
"Lithuania",2020-04-18,59,5219,1297,1022,33,242,NA,64035,NA,NA,74887
"Lithuania",2020-04-19,28,2317,1325,1047,36,242,NA,66352,NA,NA,74887
"Lithuania",2020-04-20,24,4401,1349,1014,37,298,NA,70753,NA,NA,74887
"Lithuania",2020-04-21,20,6040,1369,974,38,357,NA,76793,NA,NA,74887
"Lithuania",2020-04-22,28,6798,1397,960,38,399,NA,83591,NA,NA,74887
"Lithuania",2020-04-23,12,7401,1409,939,40,430,NA,90992,NA,NA,74887
"Lithuania",2020-04-24,16,7956,1425,924,41,460,NA,98948,NA,NA,74887
"Lithuania",2020-04-25,12,5540,1437,929,41,467,NA,104488,NA,NA,74887
"Lithuania",2020-04-26,11,2287,1448,933,41,474,NA,106775,NA,NA,74887
"Lithuania",2020-04-27,5,5034,1344,808,44,536,601,111809,NA,NA,NA
"Lithuania",2020-04-28,31,6392,1375,767,45,563,624,118201,NA,NA,NA
"Lithuania",2020-04-29,10,7354,1385,751,45,589,595,125555,NA,NA,NA
"Lithuania",2020-04-30,14,7213,1399,760,45,594,531,132768,NA,NA,NA
"Lithuania",2020-05-01,7,5502,1406,728,46,632,499,138270,NA,NA,NA
"Lithuania",2020-05-02,4,3408,1410,727,46,635,397,141678,NA,NA,NA
"Lithuania",2020-05-03,9,2351,1419,733,46,638,357,144029,NA,NA,NA
"Lithuania",2020-05-04,4,5077,1423,697,46,678,357,149106,NA,NA,NA
"Lithuania",2020-05-05,5,7387,1428,659,48,718,374,156493,3,NA,NA
"Lithuania",2020-05-06,5,7597,1433,642,49,739,317,164088,3,NA,NA
"Lithuania",2020-05-07,3,8101,1436,618,49,765,284,172191,4,NA,NA
"Lithuania",2020-05-08,8,8141,1444,563,49,828,268,180332,4,NA,NA
"Lithuania",2020-05-09,43,3581,1479,597,50,828,321,183913,4,NA,NA
"Lithuania",2020-05-10,6,2652,1485,598,50,833,303,186565,4,NA,NA
"Lithuania",2020-05-11,6,5821,1491,587,50,850,280,192386,4,NA,NA
"Lithuania",2020-05-12,14,7878,1505,537,54,908,273,200264,6,NA,NA
"Lithuania",2020-05-13,6,7989,1511,517,54,934,260,208253,6,NA,NA
"Lithuania",2020-05-14,12,7994,1523,498,54,965,260,216247,6,NA,NA
"Lithuania",2020-05-15,11,7793,1534,485,55,988,272,224040,6,NA,NA
"Lithuania",2020-05-16,7,4686,1541,482,56,997,294,228726,6,NA,NA
"Lithuania",2020-05-17,6,2378,1547,485,59,997,295,231104,6,NA,NA
"Lithuania",2020-05-18,15,6496,1562,471,60,1025,341,237600,6,NA,NA
"Lithuania",2020-05-19,15,7980,1577,460,60,1049,368,245580,8,NA,NA
"Lithuania",2020-05-20,16,7424,1593,475,61,1049,368,253004,8,NA,NA
"Lithuania",2020-05-21,11,6039,1604,424,61,1111,398,259043,8,NA,NA
"Lithuania",2020-05-22,12,5839,1616,410,63,1135,453,264882,8,NA,NA
"Lithuania",2020-05-23,7,2837,1623,414,63,1138,461,267719,8,NA,NA
"Lithuania",2020-05-24,12,2170,1635,426,63,1138,470,269889,8,NA,NA
"Lithuania",2020-05-25,4,5169,1639,401,65,1165,478,275058,8,NA,NA
"Lithuania",2020-05-26,8,6174,1647,389,66,1184,550,281232,8,NA,NA
"Lithuania",2020-05-27,9,6750,1656,387,68,1193,495,287982,8,NA,NA
"Lithuania",2020-05-28,6,6109,1662,370,68,1216,500,294091,8,NA,NA
"Lithuania",2020-05-29,8,5337,1670,362,70,1229,434,299428,9,NA,NA
"Lithuania",2020-05-30,5,3431,1675,360,70,1236,389,302859,9,NA,NA
"Lithuania",2020-05-31,3,1995,1678,363,70,1236,336,304854,9,NA,NA
"Lithuania",2020-06-01,4,4871,1682,353,71,1249,309,309725,9,NA,NA
"Lithuania",2020-06-02,2,5387,1684,344,71,1260,307,315112,9,NA,NA
"Lithuania",2020-06-03,3,5928,1687,334,71,1273,294,321040,9,4,NA
"Lithuania",2020-06-04,7,5254,1694,312,71,1302,273,326294,9,6,NA
"Lithuania",2020-06-05,11,4935,1705,304,71,1321,263,331229,9,8,NA
"Lithuania",2020-06-06,9,2204,1714,306,71,1328,250,333433,9,9,NA
"Lithuania",2020-06-07,6,2253,1720,309,71,1331,225,335686,9,9,NA
"Lithuania",2020-06-08,7,4387,1727,308,72,1338,253,340073,9,9,NA
"Lithuania",2020-06-09,6,5319,1733,280,74,1369,285,345392,10,14,NA
"Lithuania",2020-06-10,19,5396,1752,296,74,1372,294,350788,10,14,NA
"Lithuania",2020-06-11,4,5274,1756,272,74,1400,309,356062,10,15,NA
"Lithuania",2020-06-12,7,4608,1763,262,75,1416,312,360670,10,16,NA
"Lithuania",2020-06-13,5,2858,1768,256,75,1427,326,363528,10,17,NA
"Lithuania",2020-06-14,5,1608,1773,258,76,1429,316,365136,10,17,NA
"Lithuania",2020-06-15,3,4410,1776,249,76,1441,319,369546,10,17,NA
"Lithuania",2020-06-16,2,6026,1778,245,76,1447,338,375572,10,17,NA
"Lithuania",2020-06-17,6,5653,1784,249,76,1449,223,381225,10,18,NA
"Lithuania",2020-06-18,8,4969,1792,244,76,1462,208,386194,10,18,NA
"Lithuania",2020-06-19,3,4263,1795,239,76,1470,187,390457,10,18,NA
"Lithuania",2020-06-20,3,2096,1798,237,76,1475,174,392553,10,18,NA
"Lithuania",2020-06-21,3,1912,1801,240,76,1475,162,394465,10,21,NA
"Lithuania",2020-06-22,2,3952,1803,233,77,1483,131,398417,10,21,NA
"Lithuania",2020-06-23,1,5425,1804,232,78,1484,147,403841,10,21,NA
"Lithuania",2020-06-24,2,2716,1806,224,78,1494,143,406557,10,22,NA
"Lithuania",2020-06-25,2,4310,1808,219,78,1501,140,410867,10,22,NA
"Lithuania",2020-06-26,5,3925,1813,222,78,1503,103,414792,10,24,NA
"Lithuania",2020-06-27,2,1947,1815,224,78,1503,93,416739,10,25,NA
"Lithuania",2020-06-28,1,1629,1816,216,78,1512,63,418368,10,26,NA
"Lithuania",2020-06-29,1,4472,1817,214,78,1515,86,422840,10,27,NA
"Lithuania",2020-06-30,1,5398,1818,206,78,1524,81,428238,10,28,NA
"Lithuania",2020-07-01,7,4219,1825,200,78,1536,66,432457,11,33,NA
"Lithuania",2020-07-02,3,4222,1828,199,79,1539,75,436679,11,34,NA
"Lithuania",2020-07-03,3,3774,1831,196,79,1545,72,440453,11,35,NA
"Lithuania",2020-07-04,5,1789,1836,201,79,1545,71,442242,11,37,NA
"Lithuania",2020-07-05,5,1149,1841,204,79,1547,70,443391,11,37,NA
"Lithuania",2020-07-06,3,1016,1844,207,79,1547,64,444407,11,38,NA
"Lithuania",2020-07-07,10,3587,1854,212,79,1552,120,447994,11,39,NA
"Lithuania",2020-07-08,3,3993,1857,203,79,1564,123,451987,11,42,NA
"Lithuania",2020-07-09,4,3846,1861,202,79,1569,123,455833,11,42,NA
"Lithuania",2020-07-10,4,3571,1865,203,79,1579,119,459404,12,44,NA
"Lithuania",2020-07-11,4,1706,1869,207,79,1571,128,461110,12,45,NA
"Lithuania",2020-07-12,5,556,1874,212,79,1571,116,461666,12,48,NA
"Lithuania",2020-07-13,1,3730,1875,213,79,1571,130,465396,12,48,NA
"Lithuania",2020-07-14,21,3659,1882,209,79,1582,127,469055,12,52,NA
"Lithuania",2020-07-15,6,3749,1902,217,79,1593,107,472804,12,67,NA
"Lithuania",2020-07-16,6,3317,1908,221,79,1595,102,476121,12,68,NA
"Lithuania",2020-07-17,7,3870,1915,207,80,1600,73,479991,12,69,NA
"Lithuania",2020-07-18,17,1562,1932,240,80,1600,66,481553,12,71,NA
"Lithuania",2020-07-19,15,1054,1947,254,80,1601,81,482607,12,75,NA
"Lithuania",2020-07-20,2,3617,1949,255,80,1601,89,486224,13,75,NA
"Lithuania",2020-07-21,2,3645,1951,251,80,1607,105,489869,13,72,NA
"Lithuania",2020-07-22,9,3996,1960,256,80,1611,107,493865,13,75,NA
"Lithuania",2020-07-23,26,3380,1986,277,80,1616,99,497245,13,77,NA
"Lithuania",2020-07-24,15,3366,2001,292,80,1616,90,500611,13,76,NA
"Lithuania",2020-07-25,7,2079,2008,299,80,1616,84,502690,13,78,NA
"Lithuania",2020-07-26,11,1366,2019,306,80,1620,76,504056,13,83,NA
"Lithuania",2020-07-27,8,3364,2027,311,80,1623,103,507420,13,86,NA
"Lithuania",2020-07-28,16,4042,2043,316,80,1634,146,511462,13,88,NA
"Lithuania",2020-07-29,19,4335,2062,330,80,1639,175,515797,13,92,NA
"Lithuania",2020-07-30,13,4132,2075,338,80,1644,176,519929,13,94,NA
"Lithuania",2020-07-31,18,4554,2093,356,80,1644,153,524483,13,100,NA
"Lithuania",2020-08-01,17,1856,2110,373,80,1644,144,526339,13,103,NA
"Lithuania",2020-08-02,10,1390,2120,382,80,1645,144,527729,13,108,NA
"Lithuania",2020-08-03,17,3789,2137,397,80,1647,437,531518,13,110,NA
"Lithuania",2020-08-04,10,4859,2147,403,81,1650,2937,536377,13,110,NA
"Lithuania",2020-08-05,24,4407,2171,421,81,1656,3192,540784,13,112,NA
"Lithuania",2020-08-06,23,4578,2194,442,81,1658,2820,545362,13,118,NA
"Lithuania",2020-08-07,37,4814,2231,469,81,1668,2885,550176,13,123,NA
"Lithuania",2020-08-08,21,1848,2252,489,81,1670,2858,552024,13,126,NA
"Lithuania",2020-08-09,13,1364,2265,501,81,1670,2910,553388,13,128,NA
"Lithuania",2020-08-10,18,4269,2283,510,81,1679,3088,557657,13,126,NA
"Lithuania",2020-08-11,26,3898,2309,532,81,1683,3016,561555,13,137,NA
"Lithuania",2020-08-12,21,4227,2330,547,81,1683,3213,565782,13,143,NA
"Lithuania",2020-08-13,22,4875,2352,567,81,1691,3115,570657,13,147,NA
"Lithuania",2020-08-14,34,5591,2386,588,81,1704,3124,576248,13,152,NA
"Lithuania",2020-08-15,30,2452,2416,617,81,1705,3173,578700,13,154,NA
"Lithuania",2020-08-16,20,1753,2436,637,81,1705,3168,580453,13,154,NA
"Lithuania",2020-08-17,38,4188,2474,647,81,1733,2973,584641,13,156,NA
"Lithuania",2020-08-18,23,4864,2496,663,81,1739,3062,589505,13,158,NA
"Lithuania",2020-08-19,32,4973,2528,686,82,1747,3146,594478,13,158,NA
"Lithuania",2020-08-20,37,5035,2564,714,83,1755,3320,599513,13,159,NA
"Lithuania",2020-08-21,30,5176,2594,731,84,1766,3367,604689,13,160,NA
"Lithuania",2020-08-22,41,2443,2635,770,84,1766,3386,607132,13,166,NA
"Lithuania",2020-08-23,38,1635,2673,804,85,1766,3460,608767,13,169,NA
"Lithuania",2020-08-24,21,4557,2694,811,85,1785,3780,613324,13,172,NA
"Lithuania",2020-08-25,32,5081,2726,834,85,1794,4072,618405,13,178,NA
"Lithuania",2020-08-26,36,5436,2762,862,85,1802,4097,623841,13,179,NA
"Lithuania",2020-08-27,48,5602,2810,895,86,1816,4097,629443,13,182,NA
"Lithuania",2020-08-28,29,5308,2839,907,86,1833,4831,634751,13,185,NA
"Lithuania",2020-08-29,35,2758,2874,938,86,1834,4969,637509,13,187,NA
"Lithuania",2020-08-30,32,1535,2906,967,86,1840,4890,639044,13,188,NA
"Lithuania",2020-08-31,23,4660,2929,973,86,1857,5115,643704,13,191,NA
"Lithuania",2020-09-01,29,5159,2958,985,86,1874,5571,648863,13,195,NA
"Lithuania",2020-09-02,20,4881,2978,978,86,1901,5549,653744,13,197,NA
"Lithuania",2020-09-03,26,4918,3004,985,86,1920,4593,658662,13,204,NA
"Lithuania",2020-09-04,36,5237,3040,989,86,1952,5882,663899,13,206,NA
"Lithuania",2020-09-05,43,1886,3083,1030,86,1954,6047,665785,13,207,NA
"Lithuania",2020-09-06,17,1145,3100,1046,86,1955,6291,666930,13,207,NA
"Lithuania",2020-09-07,32,4367,3131,1038,86,1994,6706,671297,13,212,NA
"Lithuania",2020-09-08,32,5303,3163,1056,86,2008,6867,676600,13,214,NA
"Lithuania",2020-09-09,36,5497,3199,1070,86,2030,7074,682097,13,217,NA
"Lithuania",2020-09-10,44,5021,3243,1095,86,2049,7390,687118,13,219,NA
"Lithuania",2020-09-11,53,5105,3296,1127,86,2070,7788,692223,13,224,NA
"Lithuania",2020-09-12,39,1916,3335,1165,87,2070,7835,694139,13,226,NA
"Lithuania",2020-09-13,51,1382,3386,1215,87,2071,8089,695521,13,229,NA
"Lithuania",2020-09-14,11,4619,3397,1202,87,2094,8044,700140,14,229,NA
"Lithuania",2020-09-15,45,6079,3442,1216,87,2125,7952,706219,14,233,NA
"Lithuania",2020-09-16,62,4889,3504,1254,87,2149,8081,711108,14,237,NA
"Lithuania",2020-09-17,61,5864,3565,1283,87,2181,8096,716972,14,238,NA
"Lithuania",2020-09-18,99,5925,3664,1363,87,2197,11150,722897,17,243,NA
"Lithuania",2020-09-19,80,2230,3744,1442,87,2198,12893,725127,17,244,NA
"Lithuania",2020-09-20,70,1369,3814,1511,87,2199,13927,726496,17,249,NA
"Lithuania",2020-09-21,45,5416,3859,1529,87,2225,15491,731912,18,251,NA
"Lithuania",2020-09-22,73,5649,3932,1581,87,2246,15977,737561,18,254,NA
"Lithuania",2020-09-23,138,6613,4070,1709,89,2253,17839,744174,19,255,NA
"Lithuania",2020-09-24,114,6028,4184,1778,89,2298,18599,750202,19,261,NA
"Lithuania",2020-09-25,111,6999,4295,1868,89,2319,19791,757201,19,262,NA
"Lithuania",2020-09-26,90,3050,4385,1948,91,2327,21204,760251,19,263,NA
"Lithuania",2020-09-27,105,1365,4490,2052,92,2327,22147,761616,19,266,NA
"Lithuania",2020-09-28,88,6378,4578,2118,92,2349,22976,767994,19,269,NA
"Lithuania",2020-09-29,115,6993,4693,2217,92,2365,23981,774987,19,274,NA
"Lithuania",2020-09-30,91,6973,4784,2249,92,2424,25171,781960,19,274,NA
"Lithuania",2020-10-01,172,6424,4956,2378,93,2466,26602,788384,19,278,NA
"Lithuania",2020-10-02,125,7643,5081,2474,94,2494,27332,796027,19,281,NA
"Lithuania",2020-10-03,104,3419,5185,2577,94,2495,28077,799446,19,283,NA
"Lithuania",2020-10-04,100,1916,5285,2675,94,2497,28162,801362,19,285,NA
"Lithuania",2020-10-05,81,6621,5366,2700,99,2546,29895,807983,21,288,NA
"Lithuania",2020-10-06,117,7277,5483,2761,101,2600,30662,815260,21,291,NA
