"day","evrk_group_code","evrk_group_title","tests_positive","tests"
2020-03-19,"105","Pieno produktų gamyba",0,1
2020-03-19,"108","Kitų maisto produktų gamyba",0,1
2020-03-19,"212","Farmacinių preparatų gamyba",0,1
2020-03-19,"259","Kitų metalo gaminių gamyba",0,1
2020-03-19,"265","Matavimo, bandymo, navigacinės ir kontrolės įrangos gamyba; įvairių tipų laikrodžių gamyba",0,1
2020-03-19,"353","Garo tiekimas ir oro kondicionavimas",0,2
2020-03-19,"382","Atliekų tvarkymas ir šalinimas",0,1
2020-03-19,"431","Statinių nugriovimas ir statybvietės paruošimas",0,1
2020-03-19,"432","Elektros, vandentiekio ir kitos įrangos įrengimas",0,2
2020-03-19,"451","Variklinių transporto priemonių pardavimas",0,1
2020-03-19,"461","Didmeninė prekyba už atlygį ar pagal sutartį",0,1
2020-03-19,"464","Namų ūkio reikmenų didmeninė prekyba",0,1
2020-03-19,"465","Informacijos ir ryšių technologijų (IRT) įrangos didmeninė prekyba",0,1
2020-03-19,"466","Kitų mašinų, įrangos ir reikmenų didmeninė prekyba",0,1
2020-03-19,"467","Kita specializuota didmeninė prekyba",0,1
2020-03-19,"479","Mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse",0,2
2020-03-19,"494","Krovininis kelių transportas ir perkraustymo veikla",0,2
2020-03-19,"620","Kompiuterių programavimo, konsultacinė ir susijusi veikla",0,1
2020-03-19,"631","Duomenų apdorojimo, interneto serverių paslaugų (prieglobos) ir susijusi veikla; interneto vartų paslaugų veikla",0,1
2020-03-19,"651","Draudimas",0,1
2020-03-19,"682","Nuosavo arba nuomojamo nekilnojamojo turto nuoma ir eksploatavimas",0,1
2020-03-19,"702","Konsultacinė valdymo veikla",0,1
2020-03-19,"712","Techninis tikrinimas ir analizė",0,1
2020-03-19,"731","Reklama",0,1
2020-03-19,"791","Kelionių agentūrų ir ekskursijų organizatorių veikla",0,1
2020-03-19,"841","Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika",0,2
2020-03-19,"853","Vidurinis ugdymas",0,1
2020-03-19,"854","Aukštasis mokslas",0,3
2020-03-19,"861","Ligoninių veikla",0,2
2020-03-19,"869","Kita žmonių sveikatos priežiūros veikla",0,1
2020-03-19,"949","Kitų narystės organizacijų veikla",0,1
2020-03-20,"106","Grūdų malimo produktų, krakmolo ir krakmolo produktų gamyba",0,1
2020-03-20,"108","Kitų maisto produktų gamyba",0,1
2020-03-20,"181","Spausdinimas ir su spausdinimu susijusios paslaugos",0,2
2020-03-20,"236","Betono, cemento ir gipso gaminių bei dirbinių gamyba",0,1
2020-03-20,"271","Elektros variklių, generatorių, transformatorių bei elektros skirstomosios ir valdymo įrangos gamyba",0,1
2020-03-20,"325","Medicinos ir odontologijos prietaisų, instrumentų ir reikmenų gamyba",0,1
2020-03-20,"331","Metalo gaminių, mašinų ir įrangos remontas",0,2
2020-03-20,"381","Atliekų surinkimas",0,1
2020-03-20,"410","Pastatų statyba",0,3
2020-03-20,"411","Statybų plėtra",0,1
2020-03-20,"412","Gyvenamųjų ir negyvenamųjų pastatų statyba",0,1
2020-03-20,"420","Inžinerinių statinių statyba",0,1
2020-03-20,"432","Elektros, vandentiekio ir kitos įrangos įrengimas",0,1
2020-03-20,"433","Statybos baigimas ir apdaila",0,1
2020-03-20,"439","Kita specializuota statybos veikla",0,1
2020-03-20,"452","Variklinių transporto priemonių techninė priežiūra ir remontas",0,1
2020-03-20,"463","Maisto produktų, gėrimų, tabako ir jo gaminių didmeninė prekyba",0,1
2020-03-20,"466","Kitų mašinų, įrangos ir reikmenų didmeninė prekyba",0,1
2020-03-20,"467","Kita specializuota didmeninė prekyba",0,1
2020-03-20,"477","Kitų prekių mažmeninė prekyba specializuotose parduotuvėse",0,1
2020-03-20,"479","Mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse",0,1
2020-03-20,"493","Kitas keleivinis sausumos transportas",0,1
2020-03-20,"494","Krovininis kelių transportas ir perkraustymo veikla",0,5
2020-03-20,"522","Transportui būdingų paslaugų veikla",0,5
2020-03-20,"561","Restoranų ir pagaminto valgio teikimo veikla",1,2
2020-03-20,"591","Kino filmų, vaizdo filmų ir televizijos programų rengėjų veikla",0,1
2020-03-20,"620","Kompiuterių programavimo, konsultacinė ir susijusi veikla",0,1
2020-03-20,"631","Duomenų apdorojimo, interneto serverių paslaugų (prieglobos) ir susijusi veikla; interneto vartų paslaugų veikla",0,1
2020-03-20,"641","Piniginis tarpininkavimas",0,4
2020-03-20,"651","Draudimas",0,2
2020-03-20,"682","Nuosavo arba nuomojamo nekilnojamojo turto nuoma ir eksploatavimas",0,1
2020-03-20,"692","Apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais",0,1
2020-03-20,"702","Konsultacinė valdymo veikla",0,3
2020-03-20,"711","Architektūros ir inžinerijos veikla bei su ja susijusios techninės konsultacijos",0,2
2020-03-20,"712","Techninis tikrinimas ir analizė",0,2
2020-03-20,"721","Gamtos mokslų ir inžinerijos moksliniai tyrimai ir taikomoji veikla",0,1
2020-03-20,"731","Reklama",0,2
2020-03-20,"773","Kitų mašinų, įrangos ir materialiųjų vertybių nuoma ir išperkamoji nuoma",0,2
2020-03-20,"782","Laikinojo įdarbinimo agentūrų veikla",0,1
2020-03-20,"799","Kitų išankstinio užsakymo ir susijusių paslaugų veikla",0,1
2020-03-20,"829","Niekur kitur nepriskirta verslui būdingų paslaugų veikla",0,1
2020-03-20,"841","Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika",1,1
2020-03-20,"842","Bendruomenei teikiamų paslaugų užtikrinimas",0,1
2020-03-20,"853","Vidurinis ugdymas",0,1
2020-03-20,"854","Aukštasis mokslas",0,1
2020-03-20,"855","Kitas mokymas",0,2
2020-03-20,"861","Ligoninių veikla",1,1
2020-03-20,"862","Medicininės ir odontologinės praktikos veikla",0,1
2020-03-20,"869","Kita žmonių sveikatos priežiūros veikla",2,4
2020-03-20,"900","Kūrybinė, meninė ir pramogų organizavimo veikla",0,1
2020-03-20,"932","Pramogų ir poilsio organizavimo veikla",0,1
2020-03-20,"949","Kitų narystės organizacijų veikla",0,1
2020-03-21,"022","Medienos ruoša",0,1
2020-03-21,"104","Gyvūninių ir augalinių riebalų bei aliejaus gamyba",0,1
2020-03-21,"105","Pieno produktų gamyba",0,1
2020-03-21,"108","Kitų maisto produktų gamyba",0,1
2020-03-21,"162","Gaminių ir dirbinių iš medienos, kamštienos, šiaudų ir pynimo medžiagų gamyba",0,1
