"day","total","oxygen_mask","ventilated","intensive","total_not_vaccinated","intensive_not_vaccinated"
2020-10-04,156,57,5,7,NA,NA
2020-10-05,156,58,5,11,NA,NA
2020-10-06,128,56,6,11,NA,NA
2020-10-07,135,62,6,13,NA,NA
2020-10-08,139,65,7,8,NA,NA
2020-10-10,139,65,7,8,NA,NA
2020-10-11,105,54,7,15,NA,NA
2020-10-12,149,80,10,22,NA,NA
2020-10-13,141,69,8,18,NA,NA
2020-10-14,174,80,9,17,NA,NA
2020-10-15,199,80,9,19,NA,NA
2020-10-16,199,80,9,19,NA,NA
2020-10-17,204,82,8,18,NA,NA
2020-10-18,229,87,9,20,NA,NA
2020-10-19,232,92,9,23,NA,NA
2020-10-20,245,83,9,21,NA,NA
2020-10-21,239,88,7,18,NA,NA
2020-10-22,255,94,14,26,NA,NA
2020-10-23,255,94,14,26,NA,NA
2020-10-24,255,94,14,26,NA,NA
2020-10-25,322,119,15,31,NA,NA
2020-10-26,342,133,15,32,NA,NA
2020-10-27,348,144,17,36,NA,NA
2020-10-28,370,165,14,34,NA,NA
2020-10-29,415,176,22,35,NA,NA
2020-10-30,386,165,19,37,NA,NA
2020-10-31,495,239,23,46,NA,NA
2020-11-01,462,233,26,39,NA,NA
2020-11-02,613,286,26,51,NA,NA
2020-11-03,676,297,26,57,NA,NA
2020-11-04,690,296,32,57,NA,NA
2020-11-05,785,389,35,64,NA,NA
2020-11-06,743,378,42,70,NA,NA
2020-11-07,818,408,44,74,NA,NA
2020-11-08,818,408,44,74,NA,NA
2020-11-09,846,354,47,75,NA,NA
2020-11-10,900,398,49,72,NA,NA
2020-11-11,1092,484,51,83,NA,NA
2020-11-12,1205,595,58,87,NA,NA
2020-11-13,1205,595,58,87,NA,NA
2020-11-14,1205,595,58,87,NA,NA
2020-11-15,1359,641,61,100,NA,NA
2020-11-16,1369,751,73,107,NA,NA
2020-11-17,1363,748,67,93,NA,NA
2020-11-18,1437,755,66,109,NA,NA
2020-11-19,1501,798,71,117,NA,NA
