"lab_name","day","test_type","tests_positive","gmp_indication","tests"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-19,"1477",0,"profilaktika",22
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-20,"1477",4,"profilaktika",46
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-21,"1477",3,"profilaktika",63
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-22,"1477",3,"profilaktika",19
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-23,"1477",3,"profilaktika",22
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-24,"1477",4,"profilaktika",117
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-25,"1477",8,"profilaktika",189
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-26,"1477",8,"profilaktika",171
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-27,"1477",12,"profilaktika",375
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-28,"1477",7,"profilaktika",296
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-29,"1477",7,"profilaktika",496
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-30,"1477",14,"profilaktika",499
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-03-31,"1477",1,"profilaktika",221
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-01,"1477",11,"profilaktika",612
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-02,"1477",11,"profilaktika",675
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-03,"1477",7,"profilaktika",509
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-04,"1477",4,"profilaktika",769
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-05,"1477",5,"profilaktika",627
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-06,"1477",14,"profilaktika",218
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-07,"1477",17,"profilaktika",786
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-08,"1477",10,"profilaktika",893
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-09,"1477",18,"profilaktika",1196
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-10,"1477",5,"profilaktika",1001
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-11,"1477",5,"profilaktika",964
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-12,"1477",4,"profilaktika",233
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-13,"1477",1,"profilaktika",85
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-14,"1477",5,"profilaktika",447
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-15,"1477",3,"profilaktika",1195
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-16,"1477",5,"profilaktika",1565
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-16,"1477",0,"kiti",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-17,"1477",7,"profilaktika",1768
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-18,"1477",10,"profilaktika",1716
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-19,"1477",6,"profilaktika",771
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-20,"1477",5,"profilaktika",522
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-21,"1477",4,"profilaktika",1313
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-22,"1477",4,"profilaktika",1907
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-23,"1477",4,"profilaktika",1735
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-24,"1477",3,"profilaktika",2237
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-25,"1477",5,"profilaktika",1549
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-26,"1477",3,"profilaktika",471
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-27,"1477",1,"profilaktika",443
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-28,"1477",2,"profilaktika",1615
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-29,"1477",1,"profilaktika",1857
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-04-30,"1477",4,"profilaktika",2284
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-01,"1477",5,"profilaktika",1999
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-01,"1477",0,"kiti",12
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-02,"1477",0,"kiti",115
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-02,"1477",1,"profilaktika",247
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-03,"1477",0,"kiti",107
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-03,"1477",4,"profilaktika",275
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-04,"1477",1,"profilaktika",755
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-04,"1477",0,"kiti",394
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-05,"1477",0,"kiti",5
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-05,"1477",4,"profilaktika",1520
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-06,"1477",3,"profilaktika",2063
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-06,"1477",0,"kiti",5
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-07,"1477",5,"profilaktika",2142
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-07,"1477",0,"kiti",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-08,"1477",0,"kiti",3
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-08,"1477",3,"profilaktika",2205
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-09,"1477",1,"profilaktika",1506
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-09,"1477",0,"kiti",34
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-10,"1477",3,"profilaktika",254
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-10,"1477",0,"kiti",108
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-11,"1477",1,"profilaktika",633
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-11,"1477",0,"kiti",173
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-12,"1477",0,"kiti",196
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-12,"1477",1,"profilaktika",1548
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-13,"1477",0,"kiti",252
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-13,"1477",2,"profilaktika",1527
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-14,"1477",0,"kiti",405
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-14,"1477",0,"profilaktika",1667
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-15,"1477",0,"kiti",384
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-15,"1477",0,"profilaktika",1379
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-16,"1477",3,"profilaktika",1128
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-16,"1477",0,"kiti",285
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-17,"1477",4,"profilaktika",449
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-17,"1477",0,"kiti",244
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-18,"1477",1,"profilaktika",547
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-18,"1477",0,"kiti",220
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-18,"1477",0,"simptomai",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-19,"1477",3,"profilaktika",1336
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-19,"1477",0,"kiti",220
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-05-19,"1477",0,"simptomai",2
