"day","municipality_code","administrative_level_3","confirmed_cases","active_cases","infection_1_daily","infection_2_daily","infection_3_daily","deaths_1_daily","deaths_2_daily","deaths_3_daily","deaths_population_daily","tests_positive","tests_total","tests_mobile","tests_pcr","tests_ag","tests_ab","tests_pcr_positive","tests_ag_positive","tests_ab_positive","population"
2020-03-20,"00","Lithuania",6,7,6,0,0,0,1,1,104,6,137,0,137,0,0,6,0,0,2795680
2020-03-20,"11","Alytaus m.",0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,49205
2020-03-20,"12","Birštono",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037
2020-03-20,"13","Vilniaus m.",3,4,3,0,0,0,0,0,16,2,60,0,60,0,0,2,0,0,569902
2020-03-20,"15","Druskininkų",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19016
2020-03-20,"18","Marijampolės",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53480
2020-03-20,"19","Kauno m.",3,3,3,0,0,0,0,0,13,2,51,0,51,0,0,2,0,0,293277
2020-03-20,"21","Klaipėdos m.",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,149056
2020-03-20,"23","Neringos",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3641
2020-03-20,"25","Palangos m.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16429
2020-03-20,"27","Panevėžio m.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84613
2020-03-20,"29","Šiaulių m.",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,101884
2020-03-20,"30","Visagino m.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18134
2020-03-20,"32","Akmenės r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18537
2020-03-20,"33","Alytaus r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25842
2020-03-20,"34","Anykščių r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22623
2020-03-20,"36","Biržų r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22305
2020-03-20,"38","Varėnos r.",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20520
2020-03-20,"39","Vilkaviškio r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34231
2020-03-20,"41","Vilniaus r.",0,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,102031
2020-03-20,"42","Elektrėnų",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24108
2020-03-20,"43","Zarasų r.",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,14638
2020-03-20,"45","Ignalinos r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14131
2020-03-20,"46","Jonavos r.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40750
2020-03-20,"47","Joniškio r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20344
2020-03-20,"48","Kalvarijos",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9953
2020-03-20,"49","Kaišiadorių r.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,29191
2020-03-20,"52","Kauno r.",0,0,0,0,0,0,0,0,2,2,7,0,7,0,0,2,0,0,97549
2020-03-20,"53","Kėdainių r.",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,44750
2020-03-20,"54","Kelmės r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24826
2020-03-20,"55","Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62648
2020-03-20,"56","Kretingos r.",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,37323
2020-03-20,"57","Kupiškio r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16062
2020-03-20,"58","Kazlų Rūdos",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11139
2020-03-20,"59","Lazdijų r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17839
2020-03-20,"61","Mažeikių r.",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,50789
2020-03-20,"62","Molėtų r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16876
2020-03-20,"63","Pagėgių",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7126
2020-03-20,"65","Pakruojo r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18215
2020-03-20,"66","Panevėžio r.",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,35182
2020-03-20,"67","Pasvalio r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22339
2020-03-20,"68","Plungės r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32635
2020-03-20,"69","Prienų r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25466
2020-03-20,"71","Radviliškio r.",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,34576
2020-03-20,"72","Raseinių r.",0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,30608
2020-03-20,"73","Rokiškio r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27515
2020-03-20,"74","Rietavo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7178
2020-03-20,"75","Skuodo r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15665
2020-03-20,"77","Tauragės r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37331
2020-03-20,"78","Telšių r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38759
2020-03-20,"79","Trakų r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33213
2020-03-20,"81","Ukmergės r.",0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,33052
2020-03-20,"82","Utenos r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,37081
2020-03-20,"84","Šakių r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26070
2020-03-20,"85","Šalčininkų r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30274
2020-03-20,"86","Švenčionių r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22493
2020-03-20,"87","Šilalės r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21436
2020-03-20,"88","Šilutės r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,37087
2020-03-20,"89","Širvintų r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14910
2020-03-20,"91","Šiaulių r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41554
2020-03-20,"94","Jurbarko r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24236
2020-03-21,"00","Lithuania",23,30,23,0,0,0,0,0,98,23,336,0,336,0,0,23,0,0,2795680
2020-03-21,"11","Alytaus m.",0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,49205
2020-03-21,"12","Birštono",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037
2020-03-21,"13","Vilniaus m.",15,19,15,0,0,0,0,0,14,15,174,0,174,0,0,15,0,0,569902
2020-03-21,"15","Druskininkų",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19016
2020-03-21,"18","Marijampolės",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53480
2020-03-21,"19","Kauno m.",1,4,1,0,0,0,0,0,10,0,43,0,43,0,0,0,0,0,293277
2020-03-21,"21","Klaipėdos m.",4,4,4,0,0,0,0,0,6,4,45,0,45,0,0,4,0,0,149056
2020-03-21,"23","Neringos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3641
2020-03-21,"25","Palangos m.",0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,16429
2020-03-21,"27","Panevėžio m.",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,84613
2020-03-21,"29","Šiaulių m.",0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,101884
2020-03-21,"30","Visagino m.",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,18134
2020-03-21,"32","Akmenės r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18537
2020-03-21,"33","Alytaus r.",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25842
2020-03-21,"34","Anykščių r.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22623
2020-03-21,"36","Biržų r.",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22305
2020-03-21,"38","Varėnos r.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20520
2020-03-21,"39","Vilkaviškio r.",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34231
2020-03-21,"41","Vilniaus r.",0,0,0,0,0,0,0,0,2,0,8,0,8,0,0,0,0,0,102031
2020-03-21,"42","Elektrėnų",0,0,0,0,0,0,0,0,2,0,5,0,5,0,0,0,0,0,24108
2020-03-21,"43","Zarasų r.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14638
2020-03-21,"45","Ignalinos r.",1,1,1,0,0,0,0,0,1,2,2,0,2,0,0,2,0,0,14131
2020-03-21,"46","Jonavos r.",0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,40750
