"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Alytaus apskr.","Druskininkų","60-69",1579
"Tauragės apskr.","Jurbarko r.","60-69",1850
"Marijampolės apskr.","Kalvarijos","50-59",714
"Kauno apskr.","Kauno r.","30-39",7087
"Klaipėdos apskr.","Klaipėdos m.","40-49",7658
"Klaipėdos apskr.","Klaipėdos r.","20-29",3518
"Telšių apskr.","Mažeikių r.","20-29",2967
"Utenos apskr.","Molėtų r.","80+",961
"Vilniaus apskr.","Trakų r.","60-69",2045
"Marijampolės apskr.","Vilkaviškio r.","50-59",2520
"Marijampolės apskr.","Vilkaviškio r.","60-69",2024
"Utenos apskr.","Visagino m.","80+",216
"Utenos apskr.","Zarasų r.","70-79",966
"Šiaulių apskr.","Šiaulių m.","40-49",4899
"Censored","Censored","0-19",512572
"Utenos apskr.","Anykščių r.","20-29",1356
"Klaipėdos apskr.","Klaipėdos m.","80+",6149
"Telšių apskr.","Plungės r.","50-59",2160
"Kauno apskr.","Raseinių r.","80+",1518
"Utenos apskr.","Utenos r.","70-79",1267
"Alytaus apskr.","Varėnos r.","70-79",1319
"Šiaulių apskr.","Šiaulių r.","40-49",2348
"Vilniaus apskr.","Švenčionių r.","80+",1132
"Kauno apskr.","Jonavos r.","40-49",2290
"Kauno apskr.","Kauno m.","30-39",21495
"Klaipėdos apskr.","Kretingos r.","30-39",1278
"Panevėžio apskr.","Kupiškio r.","60-69",996
"Kauno apskr.","Kėdainių r.","20-29",2067
"Alytaus apskr.","Lazdijų r.","50-59",1383
"Telšių apskr.","Mažeikių r.","50-59",3530
"Šiaulių apskr.","Pakruojo r.","80+",285
"Kauno apskr.","Prienų r.","20-29",1307
"Vilniaus apskr.","Švenčionių r.","40-49",1205
"Alytaus apskr.","Druskininkų","60-69",1080
"Utenos apskr.","Ignalinos r.","60-69",1141
"Tauragės apskr.","Pagėgių","60-69",531
"Klaipėdos apskr.","Palangos m.","30-39",679
"Kauno apskr.","Prienų r.","40-49",1292
"Šiaulių apskr.","Radviliškio r.","70-79",1034
"Marijampolės apskr.","Vilkaviškio r.","20-29",2173
"Utenos apskr.","Zarasų r.","50-59",1186
"Tauragės apskr.","Šilalės r.","60-69",1324
"Alytaus apskr.","Alytaus m.","60-69",3966
"Alytaus apskr.","Druskininkų","80+",361
"Marijampolės apskr.","Kalvarijos","80+",443
"Telšių apskr.","Plungės r.","20-29",1696
"Kauno apskr.","Prienų r.","70-79",821
"Telšių apskr.","Rietavo","50-59",506
"Telšių apskr.","Telšių r.","60-69",2699
"Vilniaus apskr.","Vilniaus m.","20-29",27589
"Vilniaus apskr.","Vilniaus m.","50-59",32275
"Tauragės apskr.","Jurbarko r.","40-49",1268
"Tauragės apskr.","Jurbarko r.","60-69",1432
"Klaipėdos apskr.","Palangos m.","40-49",951
"Panevėžio apskr.","Panevėžio r.","80+",619
"Panevėžio apskr.","Pasvalio r.","60-69",1267
"Telšių apskr.","Rietavo","40-49",372
"Klaipėdos apskr.","Skuodo r.","20-29",732
"Telšių apskr.","Telšių r.","40-49",2016
"Vilniaus apskr.","Širvintų r.","60-69",872
"Kauno apskr.","Birštono","40-49",196
"Kauno apskr.","Kaišiadorių r.","40-49",1477
"Kauno apskr.","Kėdainių r.","30-39",1309
"Telšių apskr.","Mažeikių r.","30-39",2108
"Šiaulių apskr.","Radviliškio r.","40-49",1728
