"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female","downloaded"
2020-05-22,"0-9",17,NA,7,NA,10,NA,0,17,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"10-19",38,NA,18,NA,20,NA,0,38,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"20-29",207,NA,103,NA,104,NA,0,207,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"30-39",200,NA,105,NA,95,NA,0,200,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"40-49",262,NA,107,NA,155,NA,0,262,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"50-59",358,NA,122,NA,236,NA,0,358,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"60-69",242,NA,103,NA,139,NA,0,242,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"70-79",136,NA,63,NA,73,NA,0,136,NA,NA,NA,2020-05-23 19:15:42
2020-05-22,"Virš 80",157,NA,44,NA,113,NA,0,157,NA,NA,NA,2020-05-23 19:15:42
2020-05-23,"0-9",17,NA,7,NA,10,NA,0,17,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"10-19",38,NA,18,NA,20,NA,0,38,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"20-29",208,NA,103,NA,105,NA,0,208,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"30-39",201,NA,106,NA,95,NA,0,201,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"40-49",263,NA,107,NA,156,NA,0,263,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"50-59",359,NA,123,NA,236,NA,0,359,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"60-69",243,NA,103,NA,140,NA,0,243,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"70-79",136,NA,63,NA,73,NA,0,136,NA,NA,NA,2020-05-24 13:23:06
2020-05-23,"Virš 80",159,NA,45,NA,113,NA,1,158,NA,NA,NA,2020-05-24 13:23:06
2020-05-24,"0-9",18,NA,8,NA,10,NA,0,18,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"10-19",39,NA,19,NA,20,NA,0,39,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"20-29",209,NA,104,NA,105,NA,0,209,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"30-39",202,NA,106,NA,96,NA,0,202,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"40-49",265,NA,108,NA,157,NA,0,265,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"50-59",362,NA,124,NA,238,NA,0,362,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"60-69",245,NA,103,NA,142,NA,0,245,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"70-79",136,NA,63,NA,73,NA,0,136,NA,NA,NA,2020-05-25 14:34:46
2020-05-24,"Virš 80",159,NA,46,NA,113,NA,0,159,NA,NA,NA,2020-05-25 14:34:46
2020-05-25,"0-9",18,NA,8,NA,10,NA,0,18,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"10-19",39,NA,19,NA,20,NA,0,39,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"20-29",209,NA,104,NA,105,NA,0,209,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"30-39",202,NA,106,NA,96,NA,0,202,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"40-49",265,NA,108,NA,157,NA,0,265,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"50-59",362,NA,124,NA,238,NA,0,362,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"60-69",245,NA,103,NA,142,NA,0,245,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"70-79",136,NA,63,NA,73,NA,0,136,NA,NA,NA,2020-05-26 11:01:39
2020-05-25,"Virš 80",159,NA,46,NA,113,NA,0,159,NA,NA,NA,2020-05-26 11:01:39
2020-05-26,"0-9",19,NA,9,NA,10,NA,0,19,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"10-19",39,NA,19,NA,20,NA,0,39,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"20-29",211,NA,104,NA,107,NA,0,211,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"30-39",205,NA,108,NA,97,NA,0,205,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"40-49",266,NA,108,NA,158,NA,0,266,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"50-59",366,NA,125,NA,241,NA,0,366,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"60-69",246,NA,103,NA,143,NA,0,246,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"70-79",136,NA,63,NA,73,NA,0,136,NA,NA,NA,2020-05-27 20:50:35
2020-05-26,"Virš 80",159,NA,46,NA,113,NA,0,159,NA,NA,NA,2020-05-27 20:50:35
2020-05-27,"0-9",19,NA,9,NA,10,NA,0,19,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"10-19",42,NA,20,NA,22,NA,0,42,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"20-29",214,NA,105,NA,109,NA,0,214,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"30-39",206,NA,108,NA,98,NA,0,206,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"40-49",266,NA,108,NA,158,NA,0,266,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"50-59",368,NA,125,NA,243,NA,0,368,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"60-69",246,NA,103,NA,143,NA,0,246,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"70-79",136,NA,63,NA,73,NA,0,136,NA,NA,NA,2020-05-28 11:18:06
2020-05-27,"Virš 80",159,NA,46,NA,113,NA,0,159,NA,NA,NA,2020-05-28 11:18:06
2020-05-28,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-05-29 14:00:07
2020-05-28,"10-19",42,15.9,20,14.8,22,17.1,0,42,263568,134947,128621,2020-05-29 14:00:07
