"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
"2020-06-02","VU ligoninės Santaros klinikų laboratorija",900,0,890,0,10,0,NA,NA,7,0,2020-06-03 11:56:29
"2020-06-02","Klaipėdos universitetinės ligoninės laboratorija",466,226,464,225,2,0,NA,NA,0,0,2020-06-03 11:56:29
"2020-06-02","Nacionalinė visuomenės sveikatos priežiūros laboratorija",506,0,506,0,0,0,NA,NA,45,0,2020-06-03 11:56:29
"2020-06-02","Respublikinės Šiaulių ligoninės laboratorija",550,111,550,111,0,0,NA,NA,0,0,2020-06-03 11:56:29
"2020-06-02","LSMU ligoninės Kauno klinikų laboratorija",1215,208,1215,208,0,0,NA,NA,22,22,2020-06-03 11:56:29
"2020-06-02","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",372,372,369,369,3,2,NA,NA,260,260,2020-06-03 11:56:29
"2020-06-02","Nacionalinio vėžio instituto laboratorija",276,37,276,37,0,0,NA,NA,5,3,2020-06-03 11:56:29
"2020-06-02","UAB „Baltic Medics“",49,45,49,45,0,0,NA,NA,0,0,2020-06-03 11:56:29
"2020-06-02","UAB „Diagnostikos laboratorija“",657,57,657,57,0,0,NA,NA,666,43,2020-06-03 11:56:29
"2020-06-02","UAB „Medicina practica laboratorija“",249,147,249,147,0,0,NA,NA,62,62,2020-06-03 11:56:29
"2020-06-02","UAB „SK Impeks Medicinos diagnostikos centras“",23,0,23,0,0,0,NA,NA,0,0,2020-06-03 11:56:29
"2020-06-02","UAB „Invitro diagnostika“",49,45,48,44,1,0,NA,NA,0,0,2020-06-03 11:56:29
"2020-06-02","Respublikinės Panevėžio ligoninės laboratorija",75,0,75,0,0,0,NA,NA,0,0,2020-06-03 11:56:29
