"day","incidence"
2020-02-21,1
2020-02-24,1
2020-02-25,2
2020-02-28,1
2020-03-01,2
2020-03-04,1
2020-03-05,2
2020-03-06,5
2020-03-07,3
2020-03-08,5
2020-03-09,10
2020-03-10,9
2020-03-11,9
2020-03-12,12
2020-03-13,18
2020-03-14,11
2020-03-15,32
2020-03-16,50
2020-03-17,45
2020-03-18,36
2020-03-19,40
2020-03-20,46
2020-03-21,42
2020-03-22,30
2020-03-23,37
2020-03-24,37
2020-03-25,34
2020-03-26,45
2020-03-27,43
2020-03-28,38
2020-03-29,30
2020-03-30,58
2020-03-31,44
2020-04-01,43
2020-04-02,36
2020-04-03,36
2020-04-04,25
2020-04-05,23
2020-04-06,33
2020-04-07,27
2020-04-08,40
2020-04-09,26
2020-04-10,33
2020-04-11,16
2020-04-12,13
2020-04-13,18
2020-04-14,25
2020-04-15,15
2020-04-16,28
2020-04-17,74
2020-04-18,34
2020-04-19,22
2020-04-20,44
2020-04-21,10
2020-04-22,18
2020-04-23,15
2020-04-24,13
2020-04-25,3
