"day","end","incidence","confirmed"
2020-03-11,2020-03-18,2,3
2020-03-12,2020-03-18,2,5
2020-03-13,2020-03-18,2,7
2020-03-14,2020-03-18,3,10
2020-03-15,2020-03-18,4,14
2020-03-16,2020-03-18,6,20
2020-03-17,2020-03-18,7,27
2020-03-18,2020-03-18,9,36
2020-03-19,2020-03-18,11,47
2020-03-20,2020-03-18,14,61
2020-03-21,2020-03-18,16,77
2020-03-22,2020-03-18,19,96
2020-03-23,2020-03-18,23,119
2020-03-24,2020-03-18,27,146
2020-03-25,2020-03-18,31,177
2020-03-26,2020-03-18,35,212
2020-03-27,2020-03-18,40,252
2020-03-28,2020-03-18,46,298
2020-03-29,2020-03-18,52,350
2020-03-30,2020-03-18,58,408
2020-03-31,2020-03-18,65,473
2020-04-01,2020-03-18,73,546
2020-04-02,2020-03-18,81,627
2020-04-03,2020-03-18,89,716
2020-04-04,2020-03-18,98,814
2020-04-05,2020-03-18,108,922
2020-04-06,2020-03-18,118,1040
2020-04-07,2020-03-18,129,1169
2020-03-11,2020-03-19,2,3
2020-03-12,2020-03-19,1,4
2020-03-13,2020-03-19,2,6
2020-03-14,2020-03-19,3,9
2020-03-15,2020-03-19,4,13
2020-03-16,2020-03-19,5,18
2020-03-17,2020-03-19,7,25
2020-03-18,2020-03-19,10,35
2020-03-19,2020-03-19,13,48
2020-03-20,2020-03-19,17,65
2020-03-21,2020-03-19,22,87
2020-03-22,2020-03-19,29,116
2020-03-23,2020-03-19,36,152
2020-03-24,2020-03-19,46,198
2020-03-25,2020-03-19,57,255
2020-03-26,2020-03-19,70,325
2020-03-27,2020-03-19,86,411
2020-03-28,2020-03-19,104,515
2020-03-29,2020-03-19,126,641
2020-03-30,2020-03-19,151,792
2020-03-31,2020-03-19,181,973
2020-04-01,2020-03-19,214,1187
2020-04-02,2020-03-19,253,1440
2020-04-03,2020-03-19,298,1738
2020-04-04,2020-03-19,349,2087
2020-04-05,2020-03-19,407,2494
2020-04-06,2020-03-19,472,2966
2020-04-07,2020-03-19,546,3512
2020-04-08,2020-03-19,630,4142
2020-03-11,2020-03-20,2,3
2020-03-12,2020-03-20,1,4
2020-03-13,2020-03-20,2,6
2020-03-14,2020-03-20,2,8
2020-03-15,2020-03-20,3,11
2020-03-16,2020-03-20,5,16
2020-03-17,2020-03-20,7,23
2020-03-18,2020-03-20,10,33
2020-03-19,2020-03-20,14,47
2020-03-20,2020-03-20,20,67
2020-03-21,2020-03-20,28,95
2020-03-22,2020-03-20,39,134
2020-03-23,2020-03-20,54,188
2020-03-24,2020-03-20,75,263
2020-03-25,2020-03-20,102,365
2020-03-26,2020-03-20,138,503
2020-03-27,2020-03-20,186,689
2020-03-28,2020-03-20,249,938
2020-03-29,2020-03-20,332,1270
2020-03-30,2020-03-20,440,1710
2020-03-31,2020-03-20,582,2292
2020-04-01,2020-03-20,765,3057
2020-04-02,2020-03-20,1001,4058
2020-04-03,2020-03-20,1305,5363
2020-04-04,2020-03-20,1693,7056
2020-04-05,2020-03-20,2189,9245
2020-04-06,2020-03-20,2818,12063
2020-04-07,2020-03-20,3616,15679
2020-04-08,2020-03-20,4621,20300
2020-04-09,2020-03-20,5885,26185
2020-03-11,2020-03-21,2,3
2020-03-12,2020-03-21,1,4
2020-03-13,2020-03-21,1,5
2020-03-14,2020-03-21,2,7
2020-03-15,2020-03-21,3,10
2020-03-16,2020-03-21,5,15
2020-03-17,2020-03-21,7,22
2020-03-18,2020-03-21,10,32
2020-03-19,2020-03-21,15,47
2020-03-20,2020-03-21,23,70
2020-03-21,2020-03-21,34,104
2020-03-22,2020-03-21,51,155
2020-03-23,2020-03-21,75,230
2020-03-24,2020-03-21,112,342
2020-03-25,2020-03-21,166,508
2020-03-26,2020-03-21,246,754
2020-03-27,2020-03-21,365,1119
2020-03-28,2020-03-21,543,1662
2020-03-29,2020-03-21,806,2468
2020-03-30,2020-03-21,1197,3665
2020-03-31,2020-03-21,1778,5443
2020-04-01,2020-03-21,2640,8083
2020-04-02,2020-03-21,3920,12003
2020-04-03,2020-03-21,5821,17824
2020-04-04,2020-03-21,8645,26469
2020-04-05,2020-03-21,12838,39307
2020-04-06,2020-03-21,19065,58372
2020-04-07,2020-03-21,28313,86685
2020-04-08,2020-03-21,42045,128730
2020-04-09,2020-03-21,62439,191169
2020-04-10,2020-03-21,92724,283893
2020-03-11,2020-03-22,2,3
2020-03-12,2020-03-22,1,4
2020-03-13,2020-03-22,2,6
2020-03-14,2020-03-22,3,9
2020-03-15,2020-03-22,4,13
2020-03-16,2020-03-22,5,18
2020-03-17,2020-03-22,8,26
2020-03-18,2020-03-22,11,37
2020-03-19,2020-03-22,16,53
2020-03-20,2020-03-22,22,75
2020-03-21,2020-03-22,30,105
2020-03-22,2020-03-22,41,146
2020-03-23,2020-03-22,55,201
2020-03-24,2020-03-22,74,275
2020-03-25,2020-03-22,99,374
2020-03-26,2020-03-22,131,505
2020-03-27,2020-03-22,173,678
2020-03-28,2020-03-22,226,904
2020-03-29,2020-03-22,294,1198
2020-03-30,2020-03-22,379,1577
2020-03-31,2020-03-22,487,2064
2020-04-01,2020-03-22,623,2687
2020-04-02,2020-03-22,792,3479
2020-04-03,2020-03-22,1003,4482
2020-04-04,2020-03-22,1263,5745
2020-04-05,2020-03-22,1583,7328
2020-04-06,2020-03-22,1977,9305
2020-04-07,2020-03-22,2457,11762
2020-04-08,2020-03-22,3043,14805
2020-04-09,2020-03-22,3753,18558
2020-04-10,2020-03-22,4612,23170
2020-04-11,2020-03-22,5648,28818
2020-03-11,2020-03-23,2,3
2020-03-12,2020-03-23,1,4
2020-03-13,2020-03-23,2,6
2020-03-14,2020-03-23,3,9
2020-03-15,2020-03-23,4,13
2020-03-16,2020-03-23,6,19
2020-03-17,2020-03-23,9,28
2020-03-18,2020-03-23,12,40
2020-03-19,2020-03-23,16,56
2020-03-20,2020-03-23,22,78
2020-03-21,2020-03-23,28,106
2020-03-22,2020-03-23,37,143
2020-03-23,2020-03-23,47,190
2020-03-24,2020-03-23,60,250
2020-03-25,2020-03-23,75,325
2020-03-26,2020-03-23,94,419
2020-03-27,2020-03-23,116,535
2020-03-28,2020-03-23,142,677
2020-03-29,2020-03-23,173,850
2020-03-30,2020-03-23,210,1060
2020-03-31,2020-03-23,252,1312
2020-04-01,2020-03-23,302,1614
2020-04-02,2020-03-23,360,1974
2020-04-03,2020-03-23,426,2400
2020-04-04,2020-03-23,502,2902
2020-04-05,2020-03-23,590,3492
2020-04-06,2020-03-23,689,4181
2020-04-07,2020-03-23,802,4983
2020-04-08,2020-03-23,931,5914
2020-04-09,2020-03-23,1075,6989
2020-04-10,2020-03-23,1238,8227
2020-04-11,2020-03-23,1421,9648
2020-04-12,2020-03-23,1626,11274
2020-03-11,2020-03-24,2,3
2020-03-12,2020-03-24,1,4
2020-03-13,2020-03-24,2,6
2020-03-14,2020-03-24,3,9
2020-03-15,2020-03-24,4,13
2020-03-16,2020-03-24,6,19
2020-03-17,2020-03-24,8,27
2020-03-18,2020-03-24,11,38
2020-03-19,2020-03-24,16,54
2020-03-20,2020-03-24,21,75
2020-03-21,2020-03-24,29,104
2020-03-22,2020-03-24,38,142
2020-03-23,2020-03-24,50,192
2020-03-24,2020-03-24,66,258
2020-03-25,2020-03-24,85,343
2020-03-26,2020-03-24,109,452
2020-03-27,2020-03-24,140,592
2020-03-28,2020-03-24,177,769
2020-03-29,2020-03-24,223,992
2020-03-30,2020-03-24,279,1271
2020-03-31,2020-03-24,348,1619
2020-04-01,2020-03-24,430,2049
2020-04-02,2020-03-24,530,2579
2020-04-03,2020-03-24,649,3228
2020-04-04,2020-03-24,791,4019
2020-04-05,2020-03-24,959,4978
2020-04-06,2020-03-24,1159,6137
2020-04-07,2020-03-24,1394,7531
2020-04-08,2020-03-24,1671,9202
2020-04-09,2020-03-24,1994,11196
2020-04-10,2020-03-24,2371,13567
2020-04-11,2020-03-24,2810,16377
2020-04-12,2020-03-24,3319,19696
2020-04-13,2020-03-24,3907,23603
2020-03-11,2020-03-25,2,3
2020-03-12,2020-03-25,2,5
2020-03-13,2020-03-25,3,8
2020-03-14,2020-03-25,5,13
2020-03-15,2020-03-25,7,20
2020-03-16,2020-03-25,9,29
2020-03-17,2020-03-25,12,41
2020-03-18,2020-03-25,15,56
2020-03-19,2020-03-25,19,75
2020-03-20,2020-03-25,23,98
2020-03-21,2020-03-25,28,126
2020-03-22,2020-03-25,34,160
2020-03-23,2020-03-25,40,200
2020-03-24,2020-03-25,48,248
2020-03-25,2020-03-25,55,303
2020-03-26,2020-03-25,64,367
2020-03-27,2020-03-25,73,440
2020-03-28,2020-03-25,83,523
2020-03-29,2020-03-25,94,617
2020-03-30,2020-03-25,106,723
2020-03-31,2020-03-25,118,841
2020-04-01,2020-03-25,132,973
2020-04-02,2020-03-25,147,1120
2020-04-03,2020-03-25,162,1282
2020-04-04,2020-03-25,179,1461
2020-04-05,2020-03-25,196,1657
2020-04-06,2020-03-25,215,1872
2020-04-07,2020-03-25,234,2106
2020-04-08,2020-03-25,255,2361
2020-04-09,2020-03-25,277,2638
2020-04-10,2020-03-25,300,2938
2020-04-11,2020-03-25,324,3262
2020-04-12,2020-03-25,349,3611
2020-04-13,2020-03-25,375,3986
2020-04-14,2020-03-25,403,4389
2020-03-11,2020-03-26,2,3
2020-03-12,2020-03-26,2,5
2020-03-13,2020-03-26,3,8
2020-03-14,2020-03-26,5,13
2020-03-15,2020-03-26,7,20
2020-03-16,2020-03-26,10,30
2020-03-17,2020-03-26,12,42
2020-03-18,2020-03-26,16,58
2020-03-19,2020-03-26,19,77
2020-03-20,2020-03-26,24,101
2020-03-21,2020-03-26,28,129
2020-03-22,2020-03-26,33,162
2020-03-23,2020-03-26,39,201
2020-03-24,2020-03-26,45,246
2020-03-25,2020-03-26,52,298
2020-03-26,2020-03-26,59,357
2020-03-27,2020-03-26,67,424
2020-03-28,2020-03-26,75,499
2020-03-29,2020-03-26,84,583
2020-03-30,2020-03-26,94,677
2020-03-31,2020-03-26,104,781
2020-04-01,2020-03-26,114,895
2020-04-02,2020-03-26,126,1021
2020-04-03,2020-03-26,138,1159
2020-04-04,2020-03-26,150,1309
2020-04-05,2020-03-26,163,1472
2020-04-06,2020-03-26,177,1649
2020-04-07,2020-03-26,191,1840
2020-04-08,2020-03-26,206,2046
2020-04-09,2020-03-26,222,2268
2020-04-10,2020-03-26,239,2507
2020-04-11,2020-03-26,256,2763
2020-04-12,2020-03-26,273,3036
2020-04-13,2020-03-26,292,3328
2020-04-14,2020-03-26,311,3639
2020-04-15,2020-03-26,331,3970
2020-03-11,2020-03-27,2,3
2020-03-12,2020-03-27,3,6
2020-03-13,2020-03-27,4,10
2020-03-14,2020-03-27,6,16
2020-03-15,2020-03-27,9,25
2020-03-16,2020-03-27,11,36
2020-03-17,2020-03-27,14,50
2020-03-18,2020-03-27,17,67
2020-03-19,2020-03-27,21,88
2020-03-20,2020-03-27,24,112
2020-03-21,2020-03-27,28,140
2020-03-22,2020-03-27,32,172
2020-03-23,2020-03-27,36,208
2020-03-24,2020-03-27,41,249
2020-03-25,2020-03-27,45,294
2020-03-26,2020-03-27,50,344
2020-03-27,2020-03-27,55,399
2020-03-28,2020-03-27,61,460
2020-03-29,2020-03-27,66,526
2020-03-30,2020-03-27,72,598
2020-03-31,2020-03-27,78,676
2020-04-01,2020-03-27,84,760
2020-04-02,2020-03-27,90,850
2020-04-03,2020-03-27,97,947
2020-04-04,2020-03-27,103,1050
2020-04-05,2020-03-27,110,1160
2020-04-06,2020-03-27,117,1277
2020-04-07,2020-03-27,124,1401
2020-04-08,2020-03-27,132,1533
2020-04-09,2020-03-27,139,1672
2020-04-10,2020-03-27,147,1819
2020-04-11,2020-03-27,155,1974
2020-04-12,2020-03-27,163,2137
2020-04-13,2020-03-27,171,2308
2020-04-14,2020-03-27,180,2488
2020-04-15,2020-03-27,188,2676
2020-04-16,2020-03-27,197,2873
2020-03-11,2020-03-28,2,3
2020-03-12,2020-03-28,3,6
2020-03-13,2020-03-28,5,11
2020-03-14,2020-03-28,7,18
2020-03-15,2020-03-28,9,27
2020-03-16,2020-03-28,12,39
2020-03-17,2020-03-28,14,53
2020-03-18,2020-03-28,17,70
2020-03-19,2020-03-28,21,91
2020-03-20,2020-03-28,24,115
2020-03-21,2020-03-28,28,143
2020-03-22,2020-03-28,32,175
2020-03-23,2020-03-28,36,211
2020-03-24,2020-03-28,40,251
2020-03-25,2020-03-28,44,295
2020-03-26,2020-03-28,49,344
2020-03-27,2020-03-28,54,398
2020-03-28,2020-03-28,59,457
2020-03-29,2020-03-28,64,521
2020-03-30,2020-03-28,69,590
2020-03-31,2020-03-28,74,664
2020-04-01,2020-03-28,80,744
2020-04-02,2020-03-28,86,830
2020-04-03,2020-03-28,92,922
2020-04-04,2020-03-28,98,1020
2020-04-05,2020-03-28,104,1124
2020-04-06,2020-03-28,110,1234
2020-04-07,2020-03-28,117,1351
2020-04-08,2020-03-28,123,1474
2020-04-09,2020-03-28,130,1604
2020-04-10,2020-03-28,137,1741
2020-04-11,2020-03-28,144,1885
2020-04-12,2020-03-28,151,2036
2020-04-13,2020-03-28,158,2194
2020-04-14,2020-03-28,165,2359
2020-04-15,2020-03-28,173,2532
2020-04-16,2020-03-28,181,2713
2020-04-17,2020-03-28,188,2901
