"day","end","incidence","confirmed"
2020-03-11,2020-03-18,2,3
2020-03-12,2020-03-18,1,4
2020-03-13,2020-03-18,2,6
2020-03-14,2020-03-18,3,9
2020-03-15,2020-03-18,4,13
2020-03-16,2020-03-18,6,19
2020-03-17,2020-03-18,8,27
2020-03-18,2020-03-18,9,36
2020-03-19,2020-03-18,9,45
2020-03-20,2020-03-18,8,53
2020-03-21,2020-03-18,6,59
2020-03-22,2020-03-18,5,64
2020-03-23,2020-03-18,3,67
2020-03-24,2020-03-18,2,69
2020-03-25,2020-03-18,1,70
2020-03-26,2020-03-18,1,71
2020-03-27,2020-03-18,1,72
2020-03-28,2020-03-18,0,72
2020-03-29,2020-03-18,0,72
2020-03-30,2020-03-18,0,72
2020-03-31,2020-03-18,0,72
2020-04-01,2020-03-18,0,72
2020-04-02,2020-03-18,0,72
2020-04-03,2020-03-18,0,72
2020-04-04,2020-03-18,0,72
2020-04-05,2020-03-18,0,72
2020-04-06,2020-03-18,0,72
2020-04-07,2020-03-18,0,72
2020-03-11,2020-03-19,2,3
2020-03-12,2020-03-19,1,4
2020-03-13,2020-03-19,2,6
2020-03-14,2020-03-19,3,9
2020-03-15,2020-03-19,4,13
2020-03-16,2020-03-19,5,18
2020-03-17,2020-03-19,7,25
2020-03-18,2020-03-19,10,35
2020-03-19,2020-03-19,13,48
2020-03-20,2020-03-19,17,65
2020-03-21,2020-03-19,22,87
2020-03-22,2020-03-19,29,116
2020-03-23,2020-03-19,36,152
2020-03-24,2020-03-19,46,198
2020-03-25,2020-03-19,57,255
2020-03-26,2020-03-19,70,325
2020-03-27,2020-03-19,86,411
2020-03-28,2020-03-19,104,515
2020-03-29,2020-03-19,126,641
2020-03-30,2020-03-19,151,792
2020-03-31,2020-03-19,180,972
2020-04-01,2020-03-19,213,1185
2020-04-02,2020-03-19,252,1437
2020-04-03,2020-03-19,296,1733
2020-04-04,2020-03-19,346,2079
2020-04-05,2020-03-19,403,2482
2020-04-06,2020-03-19,466,2948
2020-04-07,2020-03-19,538,3486
2020-04-08,2020-03-19,619,4105
2020-03-11,2020-03-20,2,3
2020-03-12,2020-03-20,1,4
2020-03-13,2020-03-20,2,6
2020-03-14,2020-03-20,2,8
2020-03-15,2020-03-20,3,11
2020-03-16,2020-03-20,5,16
2020-03-17,2020-03-20,7,23
2020-03-18,2020-03-20,10,33
2020-03-19,2020-03-20,14,47
2020-03-20,2020-03-20,20,67
2020-03-21,2020-03-20,28,95
2020-03-22,2020-03-20,39,134
2020-03-23,2020-03-20,54,188
2020-03-24,2020-03-20,75,263
2020-03-25,2020-03-20,102,365
2020-03-26,2020-03-20,138,503
2020-03-27,2020-03-20,185,688
2020-03-28,2020-03-20,248,936
2020-03-29,2020-03-20,330,1266
2020-03-30,2020-03-20,437,1703
2020-03-31,2020-03-20,576,2279
2020-04-01,2020-03-20,755,3034
2020-04-02,2020-03-20,983,4017
2020-04-03,2020-03-20,1273,5290
2020-04-04,2020-03-20,1639,6929
2020-04-05,2020-03-20,2096,9025
2020-04-06,2020-03-20,2662,11687
2020-04-07,2020-03-20,3355,15042
2020-04-08,2020-03-20,4193,19235
2020-04-09,2020-03-20,5191,24426
2020-03-11,2020-03-21,2,3
2020-03-12,2020-03-21,1,4
2020-03-13,2020-03-21,1,5
2020-03-14,2020-03-21,2,7
2020-03-15,2020-03-21,3,10
2020-03-16,2020-03-21,5,15
2020-03-17,2020-03-21,7,22
2020-03-18,2020-03-21,10,32
2020-03-19,2020-03-21,15,47
2020-03-20,2020-03-21,23,70
2020-03-21,2020-03-21,34,104
2020-03-22,2020-03-21,51,155
2020-03-23,2020-03-21,75,230
2020-03-24,2020-03-21,111,341
2020-03-25,2020-03-21,165,506
2020-03-26,2020-03-21,245,751
2020-03-27,2020-03-21,364,1115
2020-03-28,2020-03-21,539,1654
2020-03-29,2020-03-21,796,2450
2020-03-30,2020-03-21,1176,3626
2020-03-31,2020-03-21,1731,5357
2020-04-01,2020-03-21,2536,7893
2020-04-02,2020-03-21,3695,11588
2020-04-03,2020-03-21,5333,16921
2020-04-04,2020-03-21,7598,24519
2020-04-05,2020-03-21,10627,35146
2020-04-06,2020-03-21,14485,49631
2020-04-07,2020-03-21,19064,68695
2020-04-08,2020-03-21,23968,92663
2020-04-09,2020-03-21,28454,121117
2020-04-10,2020-03-21,31572,152689
2020-03-11,2020-03-22,2,3
2020-03-12,2020-03-22,1,4
2020-03-13,2020-03-22,2,6
2020-03-14,2020-03-22,2,8
2020-03-15,2020-03-22,3,11
2020-03-16,2020-03-22,5,16
2020-03-17,2020-03-22,8,24
2020-03-18,2020-03-22,11,35
2020-03-19,2020-03-22,16,51
2020-03-20,2020-03-22,23,74
2020-03-21,2020-03-22,31,105
2020-03-22,2020-03-22,40,145
2020-03-23,2020-03-22,49,194
2020-03-24,2020-03-22,57,251
2020-03-25,2020-03-22,60,311
2020-03-26,2020-03-22,59,370
2020-03-27,2020-03-22,53,423
2020-03-28,2020-03-22,45,468
2020-03-29,2020-03-22,35,503
2020-03-30,2020-03-22,26,529
2020-03-31,2020-03-22,19,548
2020-04-01,2020-03-22,13,561
2020-04-02,2020-03-22,9,570
2020-04-03,2020-03-22,6,576
2020-04-04,2020-03-22,4,580
2020-04-05,2020-03-22,3,583
2020-04-06,2020-03-22,2,585
2020-04-07,2020-03-22,1,586
2020-04-08,2020-03-22,1,587
2020-04-09,2020-03-22,1,588
2020-04-10,2020-03-22,0,588
2020-04-11,2020-03-22,0,588
2020-03-11,2020-03-23,2,3
2020-03-12,2020-03-23,1,4
2020-03-13,2020-03-23,2,6
2020-03-14,2020-03-23,2,8
2020-03-15,2020-03-23,4,12
2020-03-16,2020-03-23,5,17
2020-03-17,2020-03-23,8,25
2020-03-18,2020-03-23,12,37
2020-03-19,2020-03-23,17,54
2020-03-20,2020-03-23,23,77
2020-03-21,2020-03-23,31,108
2020-03-22,2020-03-23,38,146
2020-03-23,2020-03-23,45,191
2020-03-24,2020-03-23,49,240
2020-03-25,2020-03-23,48,288
2020-03-26,2020-03-23,44,332
2020-03-27,2020-03-23,37,369
2020-03-28,2020-03-23,29,398
2020-03-29,2020-03-23,22,420
2020-03-30,2020-03-23,16,436
2020-03-31,2020-03-23,11,447
2020-04-01,2020-03-23,7,454
2020-04-02,2020-03-23,5,459
2020-04-03,2020-03-23,3,462
2020-04-04,2020-03-23,2,464
2020-04-05,2020-03-23,1,465
2020-04-06,2020-03-23,1,466
2020-04-07,2020-03-23,1,467
2020-04-08,2020-03-23,0,467
2020-04-09,2020-03-23,0,467
2020-04-10,2020-03-23,0,467
2020-04-11,2020-03-23,0,467
2020-04-12,2020-03-23,0,467
2020-03-11,2020-03-24,2,3
2020-03-12,2020-03-24,1,4
2020-03-13,2020-03-24,2,6
2020-03-14,2020-03-24,3,9
2020-03-15,2020-03-24,4,13
2020-03-16,2020-03-24,6,19
2020-03-17,2020-03-24,8,27
2020-03-18,2020-03-24,11,38
2020-03-19,2020-03-24,16,54
2020-03-20,2020-03-24,21,75
2020-03-21,2020-03-24,29,104
2020-03-22,2020-03-24,38,142
2020-03-23,2020-03-24,50,192
2020-03-24,2020-03-24,66,258
2020-03-25,2020-03-24,85,343
2020-03-26,2020-03-24,109,452
2020-03-27,2020-03-24,140,592
2020-03-28,2020-03-24,177,769
2020-03-29,2020-03-24,223,992
2020-03-30,2020-03-24,278,1270
2020-03-31,2020-03-24,346,1616
2020-04-01,2020-03-24,427,2043
2020-04-02,2020-03-24,525,2568
2020-04-03,2020-03-24,641,3209
2020-04-04,2020-03-24,779,3988
2020-04-05,2020-03-24,941,4929
2020-04-06,2020-03-24,1130,6059
2020-04-07,2020-03-24,1351,7410
2020-04-08,2020-03-24,1606,9016
2020-04-09,2020-03-24,1898,10914
2020-04-10,2020-03-24,2232,13146
2020-04-11,2020-03-24,2609,15755
2020-04-12,2020-03-24,3033,18788
2020-04-13,2020-03-24,3504,22292
2020-03-11,2020-03-25,2,3
2020-03-12,2020-03-25,1,4
2020-03-13,2020-03-25,2,6
2020-03-14,2020-03-25,3,9
2020-03-15,2020-03-25,4,13
2020-03-16,2020-03-25,6,19
2020-03-17,2020-03-25,9,28
2020-03-18,2020-03-25,13,41
2020-03-19,2020-03-25,18,59
2020-03-20,2020-03-25,25,84
2020-03-21,2020-03-25,33,117
2020-03-22,2020-03-25,41,158
2020-03-23,2020-03-25,47,205
2020-03-24,2020-03-25,49,254
2020-03-25,2020-03-25,48,302
2020-03-26,2020-03-25,42,344
2020-03-27,2020-03-25,34,378
2020-03-28,2020-03-25,26,404
2020-03-29,2020-03-25,19,423
2020-03-30,2020-03-25,13,436
2020-03-31,2020-03-25,9,445
2020-04-01,2020-03-25,6,451
2020-04-02,2020-03-25,4,455
