"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-09-14,"VU ligoninės Santaros klinikų laboratorija",962,0,957,0,5,0,NA,NA,7,0,2020-09-15 15:12:38
2020-09-14,"Klaipėdos universitetinės ligoninės laboratorija",571,150,566,146,5,3,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",64,47,64,47,0,0,NA,NA,30,0,2020-09-15 15:12:38
2020-09-14,"Respublikinės Šiaulių ligoninės laboratorija",415,68,412,67,3,1,NA,NA,67,51,2020-09-15 15:12:38
2020-09-14,"LSMU ligoninės Kauno klinikų laboratorija",508,0,505,0,3,0,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",558,412,536,390,22,15,NA,NA,61,61,2020-09-15 15:12:38
2020-09-14,"Nacionalinio vėžio instituto laboratorija",140,0,140,0,0,0,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"UAB „Baltic Medics“",339,292,334,287,5,5,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"UAB „Diagnostikos laboratorija“ („Antėja“)",188,46,188,46,0,0,NA,NA,97,0,2020-09-15 15:12:38
2020-09-14,"UAB „Medicina practica laboratorija“",728,119,722,116,6,3,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"UAB „SK Impeks Medicinos diagnostikos centras“",73,0,72,0,1,0,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"Respublikinės Panevėžio ligoninės laboratorija",72,0,71,0,1,0,NA,NA,0,0,2020-09-15 15:12:38
2020-09-14,"Tauragės ligoninės laboratorija",1,0,1,0,0,0,NA,NA,0,0,2020-09-15 15:12:38
