"sub_region_2","administrative_level_3"
"Akmenė District Municipality","Akmenės r."
"Alytus City Municipality","Alytaus m."
"Alytus District Municipality","Alytaus r."
"Anykščiai municipality","Anykščių r."
"Biržai District Municipality","Biržų r."
"Druskininkai Municipality","Druskininkų"
"Elektrėnai Municipality","Elektrėnų"
"Ignalina District Municipality","Ignalinos r."
"Jonava District Municipality","Jonavos r."
"Joniškis District Municipality","Joniškio r."
"Jurbarkas District Municipality","Jurbarko r."
"Kaišiadorys District Municipality","Kaišiadorių r."
"Kalvarija Municipality","Kalvarijos"
"Kaunas City Municipality","Kauno m."
"Kaunas District Municipality","Kauno r."
"Kazlų Rūda Municipality","Kazlų Rūdos"
"Kėdainiai District Municipality","Kėdainių r."
"Kelmė District Municipality","Kelmės r."
"Klaipeda City Municipality","Klaipėdos m."
"Klaipėda District Municipality","Klaipėdos r."
"Kretinga District Municipality","Kretingos r."
"Kupiškis District Municipality","Kupiškio r."
"Lazdijai District Municipality","Lazdijų r."
"Marijampolė Municipality","Marijampolės"
"Mažeikiai District Municipality","Mažeikių r."
"Molėtai District Municipality","Molėtų r."
"Pagėgiai Municipality","Pagėgių"
"Pakruojis District Municipality","Pakruojo r."
"Palanga City Municipality","Palangos m."
"Panevėžys City Municipality","Panevėžio m."
"Panevėžys District Municipality","Panevėžio r."
"Pasvalys District Municipality","Pasvalio r."
"Plungė District Municipality","Plungės r."
"Prienai District Municipality","Prienų r."
"Radviliškis District Municipality","Radviliškio r."
"Raseiniai District Municipality","Raseinių r."
"Rietavas Municipality","Rietavo"
"Rokiškis District Municipality","Rokiškio r."
"Skuodas District Municipality","Šakių r."
"Šakiai District Municipality","Šalčininkų r."
"Šalčininkai District Municipality","Šiaulių m."
"Šiauliai City Municipality","Šiaulių r."
"Šiauliai District Municipality","Šilalės r."
"Šilalė District Municipality","Šilutės r."
"Šilutė District Municipality","Širvintų r."
"Širvintos District Municipality","Skuodo r."
"Švenčionys District Municipality","Švenčionių r."
"Tauragė District Municipality","Tauragės r."
"Telšiai District Municipality","Telšių r."
"Trakai District Municipality","Trakų r."
"Ukmergė District Municipality","Ukmergės r."
"Utena District Municipality","Utenos r."
"Varėna District Municipality","Varėnos r."
"Vilkaviškis District Municipality","Vilkaviškio r."
"Vilnius city municipality","Vilniaus m."
"Vilnius District Municipality","Vilniaus r."
"Visaginas Municipality","Visagino m."
"Zarasai District Municipality","Zarasų r."
