"administrative_level_2","administrative_level_3","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Alytaus apskr.","Alytaus m.",2020-02-15,5,7,NA,NA,3,NA
"Alytaus apskr.","Alytaus m.",2020-02-16,9,2,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-02-17,4,4,NA,NA,-9,1
"Alytaus apskr.","Alytaus m.",2020-02-18,5,4,NA,NA,-10,2
"Alytaus apskr.","Alytaus m.",2020-02-19,3,5,NA,NA,-12,1
"Alytaus apskr.","Alytaus m.",2020-02-20,3,3,NA,NA,-11,1
"Alytaus apskr.","Alytaus m.",2020-02-21,0,3,NA,NA,-11,3
"Alytaus apskr.","Alytaus m.",2020-02-22,3,2,NA,NA,7,NA
"Alytaus apskr.","Alytaus m.",2020-02-23,3,2,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-02-24,0,8,NA,NA,2,0
"Alytaus apskr.","Alytaus m.",2020-02-25,0,0,NA,NA,1,0
"Alytaus apskr.","Alytaus m.",2020-02-26,2,5,NA,NA,0,0
"Alytaus apskr.","Alytaus m.",2020-02-27,2,1,NA,NA,0,1
"Alytaus apskr.","Alytaus m.",2020-02-28,-1,3,NA,NA,3,0
"Alytaus apskr.","Alytaus m.",2020-02-29,-2,1,NA,NA,9,NA
"Alytaus apskr.","Alytaus m.",2020-03-01,3,-1,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-03-02,0,-4,NA,NA,4,0
"Alytaus apskr.","Alytaus m.",2020-03-03,-1,3,NA,NA,4,0
"Alytaus apskr.","Alytaus m.",2020-03-04,4,0,NA,NA,1,1
"Alytaus apskr.","Alytaus m.",2020-03-05,0,6,NA,NA,3,0
"Alytaus apskr.","Alytaus m.",2020-03-06,2,4,NA,NA,4,0
"Alytaus apskr.","Alytaus m.",2020-03-07,6,6,NA,NA,2,NA
"Alytaus apskr.","Alytaus m.",2020-03-08,25,13,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-03-09,-1,0,NA,NA,0,1
"Alytaus apskr.","Alytaus m.",2020-03-10,19,22,NA,NA,0,-2
"Alytaus apskr.","Alytaus m.",2020-03-11,-17,-12,NA,NA,-75,NA
"Alytaus apskr.","Alytaus m.",2020-03-12,2,9,NA,NA,0,1
"Alytaus apskr.","Alytaus m.",2020-03-13,-8,6,NA,NA,-14,6
"Alytaus apskr.","Alytaus m.",2020-03-14,-14,3,NA,NA,-2,NA
"Alytaus apskr.","Alytaus m.",2020-03-15,7,13,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-03-16,-45,-19,NA,NA,-27,12
"Alytaus apskr.","Alytaus m.",2020-03-17,-46,-30,NA,NA,-35,13
"Alytaus apskr.","Alytaus m.",2020-03-18,-49,-30,NA,NA,-38,13
"Alytaus apskr.","Alytaus m.",2020-03-19,-54,-32,NA,NA,-40,15
"Alytaus apskr.","Alytaus m.",2020-03-20,-53,-18,NA,NA,-38,15
"Alytaus apskr.","Alytaus m.",2020-03-21,-59,-28,NA,NA,-34,NA
"Alytaus apskr.","Alytaus m.",2020-03-22,-58,-32,NA,NA,-25,NA
"Alytaus apskr.","Alytaus m.",2020-03-23,-58,-26,NA,NA,-39,16
"Alytaus apskr.","Alytaus m.",2020-03-24,-56,-30,NA,NA,-41,16
"Alytaus apskr.","Alytaus m.",2020-03-25,-57,-36,NA,NA,-42,16
"Alytaus apskr.","Alytaus m.",2020-03-26,-58,-34,NA,NA,-42,16
"Alytaus apskr.","Alytaus m.",2020-03-27,-59,-34,NA,-49,-42,17
"Alytaus apskr.","Alytaus m.",2020-03-28,-63,-41,NA,NA,-29,NA
"Alytaus apskr.","Alytaus m.",2020-03-29,-67,-42,NA,NA,-24,NA
"Alytaus apskr.","Alytaus m.",2020-03-30,-57,-34,NA,NA,-42,17
"Alytaus apskr.","Alytaus m.",2020-03-31,-66,-36,NA,NA,-43,17
"Alytaus apskr.","Alytaus m.",2020-04-01,-68,-38,NA,NA,-44,19
"Alytaus apskr.","Alytaus m.",2020-04-02,-66,-38,NA,NA,-45,19
"Alytaus apskr.","Alytaus m.",2020-04-03,-64,-34,-55,NA,-43,20
"Alytaus apskr.","Alytaus m.",2020-04-04,-69,-40,NA,NA,-33,NA
"Alytaus apskr.","Alytaus m.",2020-04-05,-67,-35,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-04-06,-60,-32,NA,NA,-41,14
"Alytaus apskr.","Alytaus m.",2020-04-07,-56,-27,NA,NA,-43,13
"Alytaus apskr.","Alytaus m.",2020-04-08,-55,-20,NA,NA,-44,13
"Alytaus apskr.","Alytaus m.",2020-04-09,-48,-3,NA,NA,-42,15
"Alytaus apskr.","Alytaus m.",2020-04-10,-53,-10,NA,-48,-44,17
"Alytaus apskr.","Alytaus m.",2020-04-11,-72,-38,NA,NA,-38,NA
"Alytaus apskr.","Alytaus m.",2020-04-12,-96,-94,-37,NA,-41,NA
"Alytaus apskr.","Alytaus m.",2020-04-13,-86,-65,NA,NA,-89,NA
"Alytaus apskr.","Alytaus m.",2020-04-14,-60,-33,NA,NA,-46,17
"Alytaus apskr.","Alytaus m.",2020-04-15,-64,-31,NA,NA,-46,19
"Alytaus apskr.","Alytaus m.",2020-04-16,-52,-23,NA,NA,-46,19
"Alytaus apskr.","Alytaus m.",2020-04-17,-51,-18,NA,-55,-42,16
"Alytaus apskr.","Alytaus m.",2020-04-18,-54,-23,NA,NA,-25,NA
"Alytaus apskr.","Alytaus m.",2020-04-19,-52,-36,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-04-20,-45,-15,NA,NA,-42,14
"Alytaus apskr.","Alytaus m.",2020-04-21,-44,-17,NA,NA,-41,13
"Alytaus apskr.","Alytaus m.",2020-04-22,-45,-16,NA,NA,-41,12
"Alytaus apskr.","Alytaus m.",2020-04-23,-42,-11,NA,NA,-40,11
"Alytaus apskr.","Alytaus m.",2020-04-24,-39,-9,NA,-46,-39,11
"Alytaus apskr.","Alytaus m.",2020-04-25,-47,-11,NA,NA,-17,NA
"Alytaus apskr.","Alytaus m.",2020-04-26,-40,-19,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-04-27,-33,-7,NA,NA,-35,9
"Alytaus apskr.","Alytaus m.",2020-04-28,-33,-1,NA,NA,-35,9
"Alytaus apskr.","Alytaus m.",2020-04-29,-31,-3,NA,NA,-36,11
