"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4260,192,180,1574
"Stacionaro lovų skaičius","Kauno TLK",2960,144,123,1628
"Stacionaro lovų skaičius","Klaipėdos TLK",3337,94,82,995
"Stacionaro lovų skaičius","Šiaulių TLK",1851,60,57,963
"Stacionaro lovų skaičius","Panevėžio TLK",2444,83,75,462
"Užimtų lovų skaičius","Vilniaus TLK",2531,112,78,661
"Užimtų lovų skaičius","Kauno TLK",1578,85,41,262
"Užimtų lovų skaičius","Klaipėdos TLK",1408,44,16,314
"Užimtų lovų skaičius","Šiaulių TLK",874,37,20,108
"Užimtų lovų skaičius","Panevėžio TLK",1358,33,16,190
