"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_retested","positive_new","not_tested","not_tested_mobile","created"
"2020-04-10","NVSPL",271,57,256,56,15,1,12,3,328,55,2020-04-19 18:03:39
"2020-04-10","Santaros klinikos",253,13,245,13,8,0,8,0,5,0,2020-04-19 18:03:39
"2020-04-10","Kauno klinikos",927,182,920,178,7,4,0,7,0,0,2020-04-19 18:03:39
"2020-04-10","Klaipėdos universitetinė ligoninė",281,67,273,63,8,4,0,8,0,0,2020-04-19 18:03:39
"2020-04-10","Šiaulių ligoninė",220,37,218,37,2,0,1,1,7,6,2020-04-19 18:03:39
"2020-04-10","NMVRVI",269,269,262,262,7,7,0,7,47,47,2020-04-19 18:03:39
"2020-04-10","NVI",141,69,140,68,1,1,0,1,1,0,2020-04-19 18:03:39
"2020-04-10","Baltic medics",29,27,28,27,1,0,1,0,0,0,2020-04-19 18:03:39
"2020-04-10","Medicina practica",12,12,12,12,0,0,0,0,0,0,2020-04-19 18:03:39
"2020-04-10","SK Impeks",18,0,18,0,0,0,0,0,0,0,2020-04-19 18:03:39
