"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile","created"
2020-08-13,"VU ligoninės Santaros klinikų laboratorija",766,0,761,0,5,0,NA,NA,5,0,2020-08-14 11:39:41
2020-08-13,"Klaipėdos universitetinės ligoninės laboratorija",453,109,448,105,5,4,NA,NA,0,0,2020-08-14 11:39:41
2020-08-13,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",348,4,348,4,0,0,NA,NA,35,0,2020-08-14 11:39:41
2020-08-13,"Respublikinės Šiaulių ligoninės laboratorija",218,0,218,0,0,0,NA,NA,0,0,2020-08-14 11:39:41
2020-08-13,"LSMU ligoninės Kauno klinikų laboratorija",1212,59,1210,59,2,0,NA,NA,250,30,2020-08-14 11:39:41
2020-08-13,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",373,298,367,293,6,5,NA,NA,16,0,2020-08-14 11:39:41
2020-08-13,"UAB „Baltic Medics“",59,9,59,9,0,0,NA,NA,0,0,2020-08-14 11:39:41
2020-08-13,"UAB „Diagnostikos laboratorija“ („Antėja“)",608,392,602,386,6,6,NA,NA,397,128,2020-08-14 11:39:41
2020-08-13,"UAB „Medicina practica laboratorija“",510,80,507,79,3,1,NA,NA,0,0,2020-08-14 11:39:41
2020-08-13,"UAB „SK Impeks Medicinos diagnostikos centras“",103,0,103,0,0,0,NA,NA,0,0,2020-08-14 11:39:41
2020-08-13,"UAB „Invitro diagnostika“",136,40,128,40,8,0,NA,NA,1,0,2020-08-14 11:39:41
2020-08-13,"Respublikinės Panevėžio ligoninės laboratorija",89,0,89,0,0,0,NA,NA,0,0,2020-08-14 11:39:41
