"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-05-12","VU ligoninės Santaros klinikų laboratorija",1006,0,997,0,9,0,NA,NA,6,0
"2020-05-12","Klaipėdos universitetinės ligoninės laboratorija",658,249,652,245,6,1,NA,NA,0,0
"2020-05-12","Nacionalinė visuomenės sveikatos priežiūros laboratorija",606,193,606,193,0,0,NA,NA,220,1
"2020-05-12","Respublikinės Šiaulių ligoninės laboratorija",739,212,739,212,0,0,NA,NA,87,0
"2020-05-12","LSMU ligoninės Kauno klinikų laboratorija",2104,715,2102,714,2,1,NA,NA,140,0
"2020-05-12","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",826,630,820,625,6,5,NA,NA,200,200
"2020-05-12","Nacionalinio vėžio instituto laboratorija",452,0,452,0,0,0,NA,NA,151,0
"2020-05-12","UAB „Baltic Medics“",420,418,420,418,0,0,NA,NA,0,0
"2020-05-12","UAB „Diagnostikos laboratorija“",438,173,438,173,0,0,NA,NA,151,139
"2020-05-12","UAB „Medicina practica laboratorija“",89,0,89,0,0,0,NA,NA,33,0
"2020-05-12","UAB „SK Impeks Medicinos diagnostikos centras“",16,0,16,0,0,0,NA,NA,71,0
"2020-05-12","VU Gyvybės mokslų centras",476,0,476,0,0,0,NA,NA,317,0
"2020-05-12","Respublikinės Panevėžio ligoninės laboratorija",48,0,48,0,0,0,NA,NA,0,0
