"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
2020-11-16,"VU ligoninės Santaros klinikų laboratorija",1884,0,1776,0,108,0,NA,NA,142,0
2020-11-16,"Klaipėdos universitetinės ligoninės laboratorija",941,365,745,225,196,139,NA,NA,22,22
2020-11-16,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",147,139,146,138,1,1,NA,NA,45,0
2020-11-16,"Respublikinės Šiaulių ligoninės laboratorija",527,0,485,0,42,0,NA,NA,0,0
2020-11-16,"LSMU ligoninės Kauno klinikų laboratorija",677,0,650,0,27,0,NA,NA,365,0
2020-11-16,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",1116,993,790,676,326,317,NA,NA,100,20
2020-11-16,"Nacionalinio vėžio instituto laboratorija",132,0,131,0,1,0,NA,NA,5,0
2020-11-16,"UAB „Baltic Medics“",982,460,698,398,184,62,NA,NA,0,0
2020-11-16,"UAB „Diagnostikos laboratorija“ („Antėja“ Vilnius)",832,633,610,437,222,196,NA,NA,366,142
2020-11-16,"UAB „Medicina practica laboratorija“",2152,117,1945,44,207,71,NA,NA,30,14
2020-11-16,"UAB „SK Impeks Medicinos diagnostikos centras“",188,0,179,0,9,0,NA,NA,0,0
2020-11-16,"UAB „InMedica“",288,112,217,77,71,35,NA,NA,0,0
2020-11-16,"Respublikinės Panevėžio ligoninės laboratorija",145,0,131,0,14,0,NA,NA,0,0
2020-11-16,"VšĮ Respublikinės Vilniaus universitetinės ligoninės laboratorija",48,0,44,2,4,0,NA,NA,0,0
2020-11-16,"Tauragės ligoninės laboratorija",4,0,0,0,4,0,NA,NA,0,0
2020-11-16,"UAB „Diagnostikos laboratorija“ („Antėja“ Kaunas)",1055,461,931,383,124,76,NA,NA,70,425
2020-11-16,"UAB „Diagnostikos laboratorija“ („Antėja“ Klaipėda)",1082,586,975,482,107,90,NA,NA,460,293
2020-11-16,"SYNLAB Lietuva UAB",277,29,241,17,36,12,NA,NA,0,0
2020-11-16,"Klaipėdos vaikų ligoninės laboratorija",3,0,3,0,0,0,NA,NA,0,0
