;Ištirta ėminių per parą;Liko neištirta ėminių
Iš viso;Iš jų;iš viso;iš jų iš mobilių punktų
neigiami;teigiami
iš viso;iš jų iš mobilių punktų;iš viso;iš jų iš mobilių punktų;iš viso;iš jų iš mobilių punktų
VU ligoninės Santaros klinikų laboratorija;715;71;630;54;85;17;12;0
Klaipėdos universitetinės ligoninės laboratorija;288;255;111;111;179;144;62;62
Nacionalinė visuomenės sveikatos priežiūros laboratorija;173;0;168;0;5;0;40;0
Respublikinės Šiaulių ligoninės laboratorija;353;8;317;7;36;1;0;0
LSMU ligoninės Kauno klinikų laboratorija;461;0;434;0;27;0;4;0
Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija;1116;940;864;704;252;235;420;420
UAB „Baltic Medics";409;124;358;112;51;13;0;0
UAB „Diagnostikos laboratorija" („Antėja" Vilnius);1353;894;1119;683;234;211;600;600
UAB „Medicina practica laboratorija";1220;484;1027;363;193;121;2;0
Respublikinės Panevėžio ligoninės laboratorija;126;0;116;0;10;0;0;0
Tauragės ligoninės laboratorija;6;0;3;0;3;0;0;0
UAB „Diagnostikos laboratorija" („Antėja" Kaunas);358;259;293;210;65;50;43;43
Respublikinės Klaipėdos ligoninės laboratorija;26;0;11;0;15;0;0;0
Iš viso:;6604;3035;5451;2244;1155*;792;1183;1125
