"educational_institution","confirmed_students","confirmed_teachers","confirmed_other","quarantined","first_case","last_case"
"Klaipėdos Ernesto Galvanausko profesinio mokymo centras","2","","","tikslinama","2020-10-11","2020-10-13"
"Vilniaus Šolomo Aleichemo gimnazija","1","","","0","2020-10-13","-"
"Elektrėnų „Ąžuolyno“ progimnazija","1","","","0","2020-10-13","-"
"Kauno Aleksandro Puškino gimnazija","1","","","0","2020-10-13","-"
"Švenčionių rajono Pabradės „Ryto“ gimnazija","1","","","0","2020-10-12","-"
"Vilniaus Šv. Kristoforo progimnazija","","1","","tikslinama","2020-10-12","-"
"Lentvario Motiejaus Šimelionio gimnazija","","1","","tikslinama","2020-10-12","-"
"Joniškio Saulės pagrindinės mokyklos dienos užimtumo centras","13","","","17","2020-10-05","2020-10-12"
"Skuodo Pranciškaus Žadeikio gimnazija","1","","","95","2020-10-10","-"
"Skuodo Bartuvos progimnazijos skyrius Lenkimų mokykla","","1","","24","2020-10-10","-"
"Klaipėdos lopšelis-darželis „Nykštukas“","","1","","0","2020-10-10","-"
"Šiaulių lopšelis-darželis „Žibutė“","","6","","143","2020-10-11","-"
"Raseinių r. Ariogalos lopšelis-darželis","","1","","0","2020-10-10","-"
"Vilniaus lopšelis darželis „Žemyna“","","2","1","tikslinama","2020-10-10","2020-10-11"
"Kauno lopšelis-darželis „Žvangutis”","","1","","tikslinama","2020-10-10","-"
"Klaipėdos r. Lapių pagrindinė mokykla","","1","","tikslinama","2020-10-10","-"
"Šiaulių rajono Kairių pagrindinė mokykla","","1","","tikslinama","2020-10-09","-"
"Telšių Žemaitės gimnazija","","1","","9","2020-10-09","-"
"Šiaulių „Spindulio“ ugdymo centras","3","4","","tikslinama","2020-10-09","2020-10-11"
"Ukmergės Senamiesčio progimnazija","","2","","0","2020-10-09","2020-10-12"
"Panevėžio pradinė mokykla","1","","","0","2020-10-10","-"
"Kauno Žaliakalnio progimnazija","1","","","0","2020-10-10","-"
"Šiaulių lopšelis-darželis „Salduvė“","2","","","tikslinama","2020-10-11","2020-10-12"
"Vilniaus Naujamiesčio mokykla","1","","","tikslinama","2020-10-11","-"
"Rietavo savivaldybės Tverų gimnazija","1","","","0","2020-10-11","-"
"Šiaulių Lieporių gimnazija","1","","","0","2020-10-10","-"
"Kauno Jono Žemaičio-Vytauto mokykla-daugiafunkcis centras","1","","","0","2020-10-10","-"
"Kauno Vytauto Didžiojo universiteto „Rasos“ gimnazija","1","","","0","2020-10-10","-"
"Plungės Senamiesčio mokykla","2","6","","38","2020-10-10","2020-10-10"
"Elektrėnų profesinio mokymo centras","","1","","0","2020-10-08","-"
