"educational_institution","confirmed_students","confirmed_all","first_case","last_case","NA"
"Vilniaus Santariškių lopšelis-darželis","","1","tikslinama","2020-10-17","-"
"Šilutės Martyno Jankaus pagrindinė mokykla","","1","tikslinama","2020-10-17","-"
"Vilniaus darželis „Saulės gojus“","","1","tikslinama","2020-10-17","-"
"Šilutės Pamario pagrindinė mokykla","1","","tikslinama","2020-10-17","-"
"Klaipėdos „Vėtrungės“ gimnazija","2","1","tikslinama","2020-10-17","-"
"Kretingos rajono Kartenos mokykla-daugiafunkcis centras","1","1","tikslinama","2020-10-17","-"
"Klaipėdos „Gabijos“ progimnazija","1","","tikslinama","2020-10-17","-"
"Kauno „Aušros“ gimnazija","1","","tikslinama","2020-10-17","-"
"Panevėžio lopšelis-darželis „Puriena“","1","","tikslinama","2020-10-17","-"
"Pasvalio Svalios progimnazija","1","","tikslinama","2020-10-17","-"
"Vilniaus Vytauto Didžiojo gimnazija","1","","0","2020-10-17","-"
"Vilniaus vaikų darželis „Vaikystės sodas“","1","","tikslinama","2020-10-17","-"
"Vilniaus „Ąžuolyno“ progimnazija","1","","tikslinama","2020-10-17","-"
"Vilniaus krikščionių gimnazija","1","","tikslinama","2020-10-17","-"
"Klaipėdos rajono Priekulės Ievos Simonaitytės gimnazija","1","","","2020-10-17","-"
"Skuodo amatų ir paslaugų mokykla","","1","9","2020-10-16","-"
"Garliavos Jonučių progimnazija","","1","tikslinama","2020-10-16","-"
"Klaipėdos lopšelis-darželis „Sakalėlis“","2","","38","2020-10-16","-"
"Klaipėdos Gedminų progimnazija","1","","0","2020-10-16","-"
"Klaipėdos Sendvario progimnazija","1","","0","2020-10-16","-"
"Prienų „Žiburio“ gimnazija","1","","24","2020-10-16","-"
"Lietuvos sveikatos mokslų universiteto gimnazija","1","1","80","2020-10-13","2020-10-16"
"Vilniaus Ozo gimnazija","1","","0","2020-10-16","-"
"Šiaulių „Juventos“ progimnazija","1","","0","2020-10-16","-"
"Vilniaus Gedimino technikos universiteto inžinerijos licėjus","1","","40","2020-10-16","-"
"Vilniaus Petro Vileišio progimnazija","2","","tikslinama","2020-10-03","2020-10-15"
"Vilniaus lopšelis-darželis „Gabijelė“","1","3","25","2020-10-09","2020-10-17"
"Vilniaus lopšelis-darželis boružėlė","","1","23","2020-10-15","-"
"Prienų rajono Veiverių Tomo Žilinsko gimnazija","","1","25","2020-10-15","-"
"Vilniaus rajono Skaidiškių mokykla-darželis","","2","","2020-10-15","2020-10-16"
"Plungės vyskupo Motiejaus Valančiaus pradinė mokykla","1","","0","2020-10-15","-"
"Vilniaus Šiaurės licėjus","5","1","0","2020-10-10","2020-10-17"
"Kauno rajono Akademijos Ugnės Karvelis gimnazija","1","","tikslinama","2020-10-15","-"
"Kauno Jurgio Dobkevičiaus progimnazija","1","","tikslinama","2020-10-15","-"
"Kelmės rajono Elvyravos pagrindinė mokykla","1","","tikslinama","2020-10-15","-"
"Šiaulių r. Kuršėnų Pavenčių mokykla-daugiafunkcis centras","1","","tikslinama","2020-10-15","-"
"Klaipėdos „Žaliakalnio“ gimnazija","1","","tikslinama","2020-10-15","-"
"Trakų r. Paluknio Longino Komolovskio gimnazija","2","","9","2020-10-15","-"
"Vilniaus lopšelis – darželis „Pušaitė“","","1","20","2020-10-14","-"
"Vilniaus Žirmūnų gimnazija","1","1","108","2020-10-14","2020-10-16"
"Vilniaus lopšelis-darželis „Aitvaras“","","1","11","2020-10-14","-"
"Šiaulių lopšelis-darželis „Varpelis“","","1","tikslinama","2020-10-14","-"
"Klaipėdos Simono Dacho progimnazija","","1","24","2020-10-14","-"
"Vilniaus lopšelis-darželis „Gėlynas“","","3","23","2020-10-14","2020-10-16"
