"evrk_section_code","evrk_section_title","evrk_chapter_code","evrk_chapter_title","evrk_group_code","evrk_group_title","evrk_class_code","evrk_class_title","evrk_subclass_code","evrk_subclass_title"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","011","Vienmečių augalų auginimas","0110","Vienmečių augalų auginimas","011000","Vienmečių augalų auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","011","Vienmečių augalų auginimas","0113","Daržovių ir melionų, šakniavaisių ir gumbavaisių auginimas","011300","Daržovių ir melionų, šakniavaisių ir gumbavaisių auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","011","Vienmečių augalų auginimas","0113","Daržovių ir melionų, šakniavaisių ir gumbavaisių auginimas","011350","Daržovių sėklų gavyba"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","011","Vienmečių augalų auginimas","0113","Daržovių ir melionų, šakniavaisių ir gumbavaisių auginimas","011360","Grybų ir valgomųjų trumų auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","011","Vienmečių augalų auginimas","0119","Kitų vienmečių augalų auginimas","011900","Kitų vienmečių augalų auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","012","Daugiamečių augalų auginimas","0120","Daugiamečių augalų auginimas","012000","Daugiamečių augalų auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","012","Daugiamečių augalų auginimas","0123","Citrusų vaisių auginimas","012300","Citrusų vaisių auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","012","Daugiamečių augalų auginimas","0128","Prieskoninių, kvapiųjų, vaistinių ir kitokių farmacijos pramonėje naudojamų augalų auginimas","012800","Prieskoninių, kvapiųjų, vaistinių ir kitokių farmacijos pramonėje naudojamų augalų auginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","013","Augalų dauginimas","0130","Augalų dauginimas","013000","Augalų dauginimas"
"A","Žemės ūkis, miškininkystė ir žuvininkystė","01","Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla","014","Gyvulininkystė","0142","Kitų galvijų ir buivolų auginimas","014210","Galvijų auginimas ir penėjimas mėsai"
