"daily_deaths_all","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","date","dgn_pos_cum","dgn_pos_day","dgn_prc_cum","dgn_prc_day","dgn_tot_day","municipality_code","municipality_name"
104,0,1,1,2020-03-20,7,6,4.9,4.4,137,"00","Lietuva"
3,0,0,0,2020-03-20,0,0,0,0,2,"11","Alytaus m. sav."
0,0,0,0,2020-03-20,0,0,0,0,0,"12","Birštono sav."
16,0,0,0,2020-03-20,3,2,4.6,3.3,60,"13","Vilniaus m. sav."
3,0,0,0,2020-03-20,0,0,0,0,0,"15","Druskininkų sav."
3,0,0,0,2020-03-20,0,0,0,0,0,"18","Marijampolės sav."
13,0,0,0,2020-03-20,2,2,3.8,3.9,51,"19","Kauno m. sav."
9,0,0,0,2020-03-20,0,0,0,0,0,"21","Klaipėdos m. sav."
0,0,0,0,2020-03-20,0,0,0,0,1,"23","Neringos sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"25","Palangos m. sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"27","Panevėžio m. sav."
3,0,0,0,2020-03-20,0,0,0,0,0,"29","Šiaulių m. sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"30","Visagino sav."
2,0,0,0,2020-03-20,0,0,0,0,0,"32","Akmenės r. sav."
0,0,0,0,2020-03-20,0,0,0,0,0,"33","Alytaus r. sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"34","Anykščių r. sav."
0,0,0,0,2020-03-20,0,0,0,0,0,"36","Biržų r. sav."
3,0,0,0,2020-03-20,0,0,0,0,0,"38","Varėnos r. sav."
0,0,0,0,2020-03-20,0,0,0,0,0,"39","Vilkaviškio r. sav."
3,0,0,0,2020-03-20,0,0,0,0,6,"41","Vilniaus r. sav."
0,0,0,0,2020-03-20,0,0,0,0,1,"42","Elektrėnų sav."
1,0,0,0,2020-03-20,0,0,0,0,1,"43","Zarasų r. sav."
2,0,0,0,2020-03-20,0,0,0,0,0,"45","Ignalinos r. sav."
0,0,0,0,2020-03-20,0,0,0,0,1,"46","Jonavos r. sav."
2,0,0,0,2020-03-20,0,0,0,0,0,"47","Joniškio r. sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"48","Kalvarijos sav."
0,0,0,0,2020-03-20,0,0,0,0,1,"49","Kaišiadorių r. sav."
2,0,0,0,2020-03-20,2,2,28.6,28.6,7,"52","Kauno r. sav."
4,0,0,0,2020-03-20,0,0,0,0,0,"53","Kėdainių r. sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"54","Kelmės r. sav."
0,0,0,0,2020-03-20,0,0,0,0,0,"55","Klaipėdos r. sav."
1,0,0,0,2020-03-20,0,0,0,0,1,"56","Kretingos r. sav."
0,0,0,0,2020-03-20,0,0,0,0,0,"57","Kupiškio r. sav."
1,0,0,0,2020-03-20,0,0,0,0,0,"58","Kazlų Rūdos sav."
2,0,0,0,2020-03-20,0,0,0,0,0,"59","Lazdijų r. sav."
