"test_date","evrk_group_code","tests_positive","tests_negative"
"2020-03-19T00:00:00Z","105",0,1
"2020-03-19T00:00:00Z","108",0,1
"2020-03-19T00:00:00Z","212",0,1
"2020-03-19T00:00:00Z","259",0,1
"2020-03-19T00:00:00Z","265",0,1
"2020-03-19T00:00:00Z","353",0,2
"2020-03-19T00:00:00Z","382",0,1
"2020-03-19T00:00:00Z","431",0,1
"2020-03-19T00:00:00Z","432",0,2
"2020-03-19T00:00:00Z","451",0,1
"2020-03-19T00:00:00Z","461",0,1
"2020-03-19T00:00:00Z","464",0,1
"2020-03-19T00:00:00Z","465",0,1
"2020-03-19T00:00:00Z","466",0,1
"2020-03-19T00:00:00Z","467",0,1
"2020-03-19T00:00:00Z","479",0,2
"2020-03-19T00:00:00Z","494",0,2
"2020-03-19T00:00:00Z","620",0,1
"2020-03-19T00:00:00Z","631",0,1
"2020-03-19T00:00:00Z","651",0,1
"2020-03-19T00:00:00Z","682",0,1
"2020-03-19T00:00:00Z","702",0,1
"2020-03-19T00:00:00Z","712",0,1
"2020-03-19T00:00:00Z","731",0,1
"2020-03-19T00:00:00Z","791",0,1
"2020-03-19T00:00:00Z","841",0,2
"2020-03-19T00:00:00Z","853",0,1
"2020-03-19T00:00:00Z","854",0,3
"2020-03-19T00:00:00Z","861",0,2
"2020-03-19T00:00:00Z","869",0,1
"2020-03-19T00:00:00Z","949",0,1
"2020-03-20T00:00:00Z","106",0,1
"2020-03-20T00:00:00Z","108",0,1
"2020-03-20T00:00:00Z","181",0,2
"2020-03-20T00:00:00Z","236",0,1
"2020-03-20T00:00:00Z","271",0,1
"2020-03-20T00:00:00Z","325",0,1
"2020-03-20T00:00:00Z","331",0,2
"2020-03-20T00:00:00Z","381",0,1
"2020-03-20T00:00:00Z","410",0,3
"2020-03-20T00:00:00Z","411",0,1
"2020-03-20T00:00:00Z","412",0,1
"2020-03-20T00:00:00Z","420",0,1
"2020-03-20T00:00:00Z","432",0,1
"2020-03-20T00:00:00Z","433",0,1
"2020-03-20T00:00:00Z","439",0,1
"2020-03-20T00:00:00Z","452",0,1
"2020-03-20T00:00:00Z","463",0,1
"2020-03-20T00:00:00Z","466",0,1
"2020-03-20T00:00:00Z","467",0,1
"2020-03-20T00:00:00Z","477",0,1
"2020-03-20T00:00:00Z","479",0,1
"2020-03-20T00:00:00Z","493",0,1
"2020-03-20T00:00:00Z","494",0,5
"2020-03-20T00:00:00Z","522",0,5
"2020-03-20T00:00:00Z","561",1,1
"2020-03-20T00:00:00Z","591",0,1
"2020-03-20T00:00:00Z","620",0,1
"2020-03-20T00:00:00Z","631",0,1
"2020-03-20T00:00:00Z","641",0,4
"2020-03-20T00:00:00Z","651",0,2
"2020-03-20T00:00:00Z","682",0,1
"2020-03-20T00:00:00Z","692",0,1
"2020-03-20T00:00:00Z","702",0,3
"2020-03-20T00:00:00Z","711",0,2
"2020-03-20T00:00:00Z","712",0,2
"2020-03-20T00:00:00Z","721",0,1
"2020-03-20T00:00:00Z","731",0,2
"2020-03-20T00:00:00Z","773",0,2
"2020-03-20T00:00:00Z","782",0,1
"2020-03-20T00:00:00Z","799",0,1
"2020-03-20T00:00:00Z","829",0,1
"2020-03-20T00:00:00Z","841",1,0
"2020-03-20T00:00:00Z","842",0,1
"2020-03-20T00:00:00Z","853",0,1
"2020-03-20T00:00:00Z","854",0,1
"2020-03-20T00:00:00Z","855",0,2
"2020-03-20T00:00:00Z","861",1,0
"2020-03-20T00:00:00Z","862",0,1
"2020-03-20T00:00:00Z","869",2,2
"2020-03-20T00:00:00Z","900",0,1
"2020-03-20T00:00:00Z","932",0,1
"2020-03-20T00:00:00Z","949",0,1
"2020-03-21T00:00:00Z","022",0,1
"2020-03-21T00:00:00Z","104",0,1
"2020-03-21T00:00:00Z","105",0,1
"2020-03-21T00:00:00Z","108",0,1
"2020-03-21T00:00:00Z","162",0,1
"2020-03-21T00:00:00Z","172",0,1
"2020-03-21T00:00:00Z","201",0,1
"2020-03-21T00:00:00Z","205",0,1
"2020-03-21T00:00:00Z","255",0,1
"2020-03-21T00:00:00Z","301",0,1
"2020-03-21T00:00:00Z","310",2,4
"2020-03-21T00:00:00Z","325",0,1
"2020-03-21T00:00:00Z","351",0,1
"2020-03-21T00:00:00Z","412",2,7
"2020-03-21T00:00:00Z","422",0,1
"2020-03-21T00:00:00Z","430",0,1
"2020-03-21T00:00:00Z","432",0,2
"2020-03-21T00:00:00Z","433",0,4
"2020-03-21T00:00:00Z","439",0,2
"2020-03-21T00:00:00Z","451",0,4
"2020-03-21T00:00:00Z","452",1,1
"2020-03-21T00:00:00Z","453",0,1
"2020-03-21T00:00:00Z","460",0,2
"2020-03-21T00:00:00Z","463",0,2
"2020-03-21T00:00:00Z","464",0,2
"2020-03-21T00:00:00Z","465",0,1
"2020-03-21T00:00:00Z","466",2,0
"2020-03-21T00:00:00Z","467",0,2
"2020-03-21T00:00:00Z","470",0,1
"2020-03-21T00:00:00Z","471",1,6
"2020-03-21T00:00:00Z","473",0,1
"2020-03-21T00:00:00Z","475",1,1
"2020-03-21T00:00:00Z","477",0,7
"2020-03-21T00:00:00Z","478",1,0
"2020-03-21T00:00:00Z","479",0,4
"2020-03-21T00:00:00Z","493",1,2
"2020-03-21T00:00:00Z","494",0,17
"2020-03-21T00:00:00Z","503",0,1
"2020-03-21T00:00:00Z","522",0,9
"2020-03-21T00:00:00Z","532",0,1
"2020-03-21T00:00:00Z","551",0,1
"2020-03-21T00:00:00Z","561",0,1
"2020-03-21T00:00:00Z","563",0,1
"2020-03-21T00:00:00Z","581",0,1
"2020-03-21T00:00:00Z","611",0,2
"2020-03-21T00:00:00Z","620",0,5
"2020-03-21T00:00:00Z","630",0,2
"2020-03-21T00:00:00Z","631",0,4
"2020-03-21T00:00:00Z","640",1,0
"2020-03-21T00:00:00Z","641",0,4
"2020-03-21T00:00:00Z","642",0,1
"2020-03-21T00:00:00Z","649",0,1
"2020-03-21T00:00:00Z","651",0,1
"2020-03-21T00:00:00Z","661",0,4
"2020-03-21T00:00:00Z","680",2,1
"2020-03-21T00:00:00Z","681",2,2
"2020-03-21T00:00:00Z","682",1,2
"2020-03-21T00:00:00Z","683",1,1
"2020-03-21T00:00:00Z","690",1,0
"2020-03-21T00:00:00Z","691",0,1
"2020-03-21T00:00:00Z","692",0,3
"2020-03-21T00:00:00Z","702",2,2
"2020-03-21T00:00:00Z","711",0,2
"2020-03-21T00:00:00Z","712",0,2
"2020-03-21T00:00:00Z","721",0,2
"2020-03-21T00:00:00Z","730",0,1
"2020-03-21T00:00:00Z","731",0,1
"2020-03-21T00:00:00Z","782",0,1
"2020-03-21T00:00:00Z","791",0,1
"2020-03-21T00:00:00Z","810",0,1
"2020-03-21T00:00:00Z","812",1,1
"2020-03-21T00:00:00Z","822",0,1
"2020-03-21T00:00:00Z","829",0,2
"2020-03-21T00:00:00Z","841",0,5
"2020-03-21T00:00:00Z","842",2,5
"2020-03-21T00:00:00Z","851",0,1
"2020-03-21T00:00:00Z","852",0,2
"2020-03-21T00:00:00Z","853",1,4
"2020-03-21T00:00:00Z","854",0,15
"2020-03-21T00:00:00Z","855",0,1
"2020-03-21T00:00:00Z","856",0,1
"2020-03-21T00:00:00Z","860",0,1
"2020-03-21T00:00:00Z","861",0,28
"2020-03-21T00:00:00Z","862",1,12
"2020-03-21T00:00:00Z","869",1,1
"2020-03-21T00:00:00Z","889",0,1
"2020-03-21T00:00:00Z","900",0,1
"2020-03-21T00:00:00Z","910",1,1
"2020-03-21T00:00:00Z","931",0,1
"2020-03-21T00:00:00Z","932",0,1
"2020-03-21T00:00:00Z","949",0,2
"2020-03-21T00:00:00Z","980",0,1
"2020-03-22T00:00:00Z","010",0,1
"2020-03-22T00:00:00Z","021",1,0
"2020-03-22T00:00:00Z","107",0,1
"2020-03-22T00:00:00Z","151",0,1
"2020-03-22T00:00:00Z","171",0,1
"2020-03-22T00:00:00Z","172",1,1
"2020-03-22T00:00:00Z","205",0,1
"2020-03-22T00:00:00Z","222",0,1
"2020-03-22T00:00:00Z","251",0,3
"2020-03-22T00:00:00Z","259",0,1
"2020-03-22T00:00:00Z","262",0,2
"2020-03-22T00:00:00Z","267",0,1
"2020-03-22T00:00:00Z","281",0,1
"2020-03-22T00:00:00Z","283",0,1
"2020-03-22T00:00:00Z","293",0,1
"2020-03-22T00:00:00Z","331",0,2
"2020-03-22T00:00:00Z","412",0,1
"2020-03-22T00:00:00Z","421",0,2
"2020-03-22T00:00:00Z","422",0,1
"2020-03-22T00:00:00Z","429",0,1
"2020-03-22T00:00:00Z","432",0,4
"2020-03-22T00:00:00Z","433",0,1
"2020-03-22T00:00:00Z","451",0,1
"2020-03-22T00:00:00Z","453",0,2
"2020-03-22T00:00:00Z","461",1,2
"2020-03-22T00:00:00Z","463",0,3
"2020-03-22T00:00:00Z","464",1,4
"2020-03-22T00:00:00Z","465",0,1
"2020-03-22T00:00:00Z","466",0,2
"2020-03-22T00:00:00Z","467",0,2
"2020-03-22T00:00:00Z","469",0,1
"2020-03-22T00:00:00Z","471",0,5
"2020-03-22T00:00:00Z","473",0,1
"2020-03-22T00:00:00Z","474",0,1
"2020-03-22T00:00:00Z","475",0,1
"2020-03-22T00:00:00Z","477",0,4
"2020-03-22T00:00:00Z","479",0,5
"2020-03-22T00:00:00Z","492",0,1
"2020-03-22T00:00:00Z","493",0,1
"2020-03-22T00:00:00Z","494",0,9
"2020-03-22T00:00:00Z","512",0,1
"2020-03-22T00:00:00Z","522",2,6
"2020-03-22T00:00:00Z","531",0,1
"2020-03-22T00:00:00Z","561",0,1
"2020-03-22T00:00:00Z","581",0,1
"2020-03-22T00:00:00Z","611",0,1
"2020-03-22T00:00:00Z","619",0,1
"2020-03-22T00:00:00Z","620",0,6
"2020-03-22T00:00:00Z","630",0,2
"2020-03-22T00:00:00Z","631",0,4
"2020-03-22T00:00:00Z","641",3,7
"2020-03-22T00:00:00Z","660",1,0
"2020-03-22T00:00:00Z","663",0,2
"2020-03-22T00:00:00Z","682",1,0
"2020-03-22T00:00:00Z","683",0,2
"2020-03-22T00:00:00Z","691",0,1
"2020-03-22T00:00:00Z","702",0,5
"2020-03-22T00:00:00Z","712",0,1
"2020-03-22T00:00:00Z","721",0,3
"2020-03-22T00:00:00Z","731",1,0
"2020-03-22T00:00:00Z","732",0,2
"2020-03-22T00:00:00Z","743",0,1
"2020-03-22T00:00:00Z","749",0,1
"2020-03-22T00:00:00Z","782",0,1
"2020-03-22T00:00:00Z","783",0,1
"2020-03-22T00:00:00Z","821",0,1
"2020-03-22T00:00:00Z","840",0,1
"2020-03-22T00:00:00Z","841",1,9
"2020-03-22T00:00:00Z","850",0,1
"2020-03-22T00:00:00Z","851",0,1
"2020-03-22T00:00:00Z","852",0,1
"2020-03-22T00:00:00Z","853",0,3
"2020-03-22T00:00:00Z","854",2,7
"2020-03-22T00:00:00Z","855",0,1
"2020-03-22T00:00:00Z","860",0,2
"2020-03-22T00:00:00Z","861",1,25
"2020-03-22T00:00:00Z","862",0,15
"2020-03-22T00:00:00Z","869",0,8
"2020-03-22T00:00:00Z","873",0,1
"2020-03-22T00:00:00Z","900",1,4
"2020-03-22T00:00:00Z","930",0,1
"2020-03-22T00:00:00Z","932",0,1
"2020-03-23T00:00:00Z","105",0,1
"2020-03-23T00:00:00Z","162",0,2
"2020-03-23T00:00:00Z","205",0,1
"2020-03-23T00:00:00Z","236",0,1
"2020-03-23T00:00:00Z","251",0,2
"2020-03-23T00:00:00Z","265",0,1
"2020-03-23T00:00:00Z","271",0,1
"2020-03-23T00:00:00Z","310",0,2
"2020-03-23T00:00:00Z","325",3,0
"2020-03-23T00:00:00Z","331",0,1
"2020-03-23T00:00:00Z","332",0,1
"2020-03-23T00:00:00Z","411",0,1
"2020-03-23T00:00:00Z","412",1,2
"2020-03-23T00:00:00Z","420",1,0
"2020-03-23T00:00:00Z","421",0,1
"2020-03-23T00:00:00Z","431",0,1
"2020-03-23T00:00:00Z","432",0,2
"2020-03-23T00:00:00Z","451",1,2
"2020-03-23T00:00:00Z","461",1,0
"2020-03-23T00:00:00Z","463",0,3
"2020-03-23T00:00:00Z","464",0,1
"2020-03-23T00:00:00Z","465",1,0
"2020-03-23T00:00:00Z","466",2,0
"2020-03-23T00:00:00Z","467",1,0
"2020-03-23T00:00:00Z","471",0,3
"2020-03-23T00:00:00Z","473",0,1
"2020-03-23T00:00:00Z","475",0,1
"2020-03-23T00:00:00Z","477",0,3
"2020-03-23T00:00:00Z","494",0,5
"2020-03-23T00:00:00Z","511",0,2
"2020-03-23T00:00:00Z","522",1,3
"2020-03-23T00:00:00Z","561",0,2
"2020-03-23T00:00:00Z","611",0,1
"2020-03-23T00:00:00Z","612",0,1
"2020-03-23T00:00:00Z","620",1,3
"2020-03-23T00:00:00Z","640",0,1
"2020-03-23T00:00:00Z","641",0,4
"2020-03-23T00:00:00Z","651",0,1
"2020-03-23T00:00:00Z","661",0,1
"2020-03-23T00:00:00Z","682",2,5
"2020-03-23T00:00:00Z","691",0,1
"2020-03-23T00:00:00Z","692",0,2
"2020-03-23T00:00:00Z","702",1,6
"2020-03-23T00:00:00Z","711",0,7
"2020-03-23T00:00:00Z","730",1,0
"2020-03-23T00:00:00Z","731",0,1
"2020-03-23T00:00:00Z","732",0,2
"2020-03-23T00:00:00Z","750",0,1
"2020-03-23T00:00:00Z","782",0,1
"2020-03-23T00:00:00Z","783",0,1
"2020-03-23T00:00:00Z","801",0,1
"2020-03-23T00:00:00Z","841",0,3
"2020-03-23T00:00:00Z","842",0,3
"2020-03-23T00:00:00Z","852",1,0
"2020-03-23T00:00:00Z","853",0,1
"2020-03-23T00:00:00Z","854",1,4
"2020-03-23T00:00:00Z","855",0,1
"2020-03-23T00:00:00Z","861",6,17
"2020-03-23T00:00:00Z","862",7,9
"2020-03-23T00:00:00Z","869",3,4
"2020-03-23T00:00:00Z","931",1,0
"2020-03-23T00:00:00Z","932",0,1
"2020-03-23T00:00:00Z","949",0,1
"2020-03-23T00:00:00Z","960",0,2
"2020-03-24T00:00:00Z","032",0,1
"2020-03-24T00:00:00Z","106",0,1
"2020-03-24T00:00:00Z","108",0,1
"2020-03-24T00:00:00Z","109",0,1
"2020-03-24T00:00:00Z","131",0,1
"2020-03-24T00:00:00Z","139",0,3
"2020-03-24T00:00:00Z","161",0,1
"2020-03-24T00:00:00Z","162",0,1
"2020-03-24T00:00:00Z","172",0,1
"2020-03-24T00:00:00Z","205",0,2
"2020-03-24T00:00:00Z","222",0,1
"2020-03-24T00:00:00Z","251",0,2
"2020-03-24T00:00:00Z","259",0,2
"2020-03-24T00:00:00Z","261",0,1
"2020-03-24T00:00:00Z","262",2,0
"2020-03-24T00:00:00Z","282",0,1
"2020-03-24T00:00:00Z","293",0,1
"2020-03-24T00:00:00Z","310",0,1
"2020-03-24T00:00:00Z","321",0,1
"2020-03-24T00:00:00Z","325",0,1
"2020-03-24T00:00:00Z","331",0,3
"2020-03-24T00:00:00Z","351",0,1
"2020-03-24T00:00:00Z","353",0,1
"2020-03-24T00:00:00Z","360",0,1
"2020-03-24T00:00:00Z","381",0,1
"2020-03-24T00:00:00Z","410",0,1
"2020-03-24T00:00:00Z","412",0,6
"2020-03-24T00:00:00Z","420",0,2
"2020-03-24T00:00:00Z","432",0,7
"2020-03-24T00:00:00Z","439",0,1
"2020-03-24T00:00:00Z","452",0,1
"2020-03-24T00:00:00Z","453",0,1
"2020-03-24T00:00:00Z","460",0,1
"2020-03-24T00:00:00Z","463",0,3
"2020-03-24T00:00:00Z","464",0,2
"2020-03-24T00:00:00Z","465",0,1
"2020-03-24T00:00:00Z","466",0,2
"2020-03-24T00:00:00Z","467",0,7
"2020-03-24T00:00:00Z","469",0,1
"2020-03-24T00:00:00Z","471",0,8
"2020-03-24T00:00:00Z","475",0,2
"2020-03-24T00:00:00Z","477",0,4
"2020-03-24T00:00:00Z","479",0,1
"2020-03-24T00:00:00Z","494",1,22
"2020-03-24T00:00:00Z","503",0,1
"2020-03-24T00:00:00Z","512",0,2
"2020-03-24T00:00:00Z","522",2,6
"2020-03-24T00:00:00Z","550",0,1
"2020-03-24T00:00:00Z","561",0,3
"2020-03-24T00:00:00Z","581",0,2
"2020-03-24T00:00:00Z","582",0,1
"2020-03-24T00:00:00Z","620",0,7
"2020-03-24T00:00:00Z","631",0,2
"2020-03-24T00:00:00Z","641",0,1
"2020-03-24T00:00:00Z","651",0,2
"2020-03-24T00:00:00Z","681",0,1
"2020-03-24T00:00:00Z","682",0,5
"2020-03-24T00:00:00Z","683",0,1
"2020-03-24T00:00:00Z","692",0,1
