"date","hospital_name","healthcare_region","hospital_beds_total_r7mean","hospital_beds_occupied_r7mean","oxygen_beds_total_r7mean","oxygen_beds_occupied_r7mean","mv_beds_total_r7mean","mv_beds_occupied_r7mean","icu_beds_total_r7mean","icu_beds_occupied_r7mean","icu_ecmo_systems_total_r7mean","icu_ecmo_systems_in_use_r7mean","cv19_hospital_beds_assigned_r7mean","cv19_hospital_beds_occupied_r7mean","cv19_oxygen_beds_assigned_r7mean","cv19_oxygen_beds_occupied_r7mean","cv19_mv_beds_assigned_r7mean","cv19_mv_beds_occupied_r7mean","cv19_icu_beds_assigned_r7mean","cv19_icu_beds_occupied_r7mean","cv19_icu_mv_beds_assigned_r7mean","cv19_icu_mv_beds_occupied_r7mean","cv19_icu_highflow_systems_total_r7mean","cv19_icu_highflow_systems_in_use_r7mean","cv19_icu_ecmo_assigned_r7mean","cv19_icu_ecmo_in_use_r7mean","cv19_admissions_r7mean","cv19_admissions_oxygen_r7mean","cv19_admissions_mv_r7mean","cv19_discharges_r7mean","remdesivir_vials_used_r7mean","remdesivir_patients_total_r7mean","remdesivir_patients_new_r7mean","geometry"
"2020-12-05","Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","Kauno regionas",1683,959,1250,149,88,31,109,68,0,0,20,14,20,14,0,0,20,13,20,13,3,2,2,2,0,1,1,1,2,2,0,NA
"2020-12-05","Marijampolės ligoninė","Kauno regionas",292,125,145,45,11,4,9,10,0,0,51,45,51,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,1,NA
"2020-12-05","Šakių ligoninė","Kauno regionas",115,61,18,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Jonavos ligoninė","Kauno regionas",151,78,30,16,5,1,5,2,0,0,25,23,25,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,NA
"2020-12-05","VšĮ Jurbarko ligoninė","Kauno regionas",170,96,40,29,4,1,0,2,0,0,40,36,40,36,0,0,4,2,4,2,0,0,0,0,0,4,1,0,0,0,0,NA
"2020-12-05","VšĮ Kaišiadorių ligoninė","Kauno regionas",130,94,29,5,3,0,4,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"2020-12-05","VšĮ Kėdainių ligoninė","Kauno regionas",249,102,78,43,6,2,6,4,0,0,115,51,79,48,0,0,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,NA
"2020-12-05","VšĮ Lietuvos sveikatos mokslų universiteto Kauno ligoninė","Kauno regionas",1193,496,321,178,35,9,38,13,0,0,200,181,200,181,0,0,16,9,16,9,0,0,0,0,0,11,1,5,37,32,5,NA
"2020-12-05","VšĮ Prienų ligoninė","Kauno regionas",111,65,61,22,5,0,2,2,0,0,25,24,25,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-05","VšĮ Raseinių ligoninė","Kauno regionas",143,54,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA
"2020-12-05","VšĮ Vilkaviškio ligoninė","Kauno regionas",181,97,34,9,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"2020-12-05","Klaipėdos rajono savivaldybės Gargždų ligoninė","Klaipėdos regionas",118,80,33,20,1,0,3,0,0,0,25,18,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","Kretingos rajono savivaldybės VšĮ Kretingos ligoninė","Klaipėdos regionas",95,37,39,15,4,2,6,2,0,0,35,27,29,21,0,0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Klaipėdos Jūrininkų ligoninė","Klaipėdos regionas",364,283,219,204,19,6,19,13,0,0,30,20,30,20,0,0,8,4,8,4,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Klaipėdos universitetinė ligoninė","Klaipėdos regionas",865,398,404,67,33,17,33,31,0,0,120,91,120,91,0,0,15,15,15,15,0,0,0,0,0,4,2,0,3,2,1,NA
"2020-12-05","VšĮ Klaipėdos vaikų ligoninė","Klaipėdos regionas",186,63,58,3,6,0,6,1,0,0,40,2,40,2,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,NA
