"lab_name","test_performed","test_type","tests_positive","tests_negative","gmp_indication"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-19T00:00:00Z","1477",0,22,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-19T00:00:00Z","1477",1,22,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-20T00:00:00Z","1477",4,42,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-20T00:00:00Z","1477",2,65,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-20T00:00:00Z","1477",0,1,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-21T00:00:00Z","1477",3,60,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-21T00:00:00Z","1477",11,147,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-21T00:00:00Z","1477",4,62,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-21T00:00:00Z","1477",7,38,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-22T00:00:00Z","1477",3,16,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-22T00:00:00Z","1477",14,169,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-22T00:00:00Z","1477",0,21,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-22T00:00:00Z","1477",10,74,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-23T00:00:00Z","1477",3,19,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-23T00:00:00Z","1477",14,110,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-23T00:00:00Z","1477",10,28,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-23T00:00:00Z","1477",3,35,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-24T00:00:00Z","1477",4,113,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-24T00:00:00Z","1477",7,82,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-24T00:00:00Z","1477",7,104,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-24T00:00:00Z","1477",0,11,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-24T00:00:00Z","1477",4,48,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-25T00:00:00Z","1477",8,181,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-25T00:00:00Z","1477",7,129,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-25T00:00:00Z","1477",19,119,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-25T00:00:00Z","1477",2,70,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-25T00:00:00Z","1477",18,206,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-26T00:00:00Z","1477",8,163,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-26T00:00:00Z","1477",1,122,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-26T00:00:00Z","1477",0,2,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-26T00:00:00Z","1477",1,55,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-26T00:00:00Z","1477",8,50,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-27T00:00:00Z","1477",12,363,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-27T00:00:00Z","1477",5,247,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-27T00:00:00Z","1477",6,94,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-27T00:00:00Z","1477",3,96,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-27T00:00:00Z","1477",20,290,"profilaktika"
