"date","municipality_name","municipality_code","municipality_order","vaccination_state","all_day","a_gr0_15_day","a_gr16_24_day","a_gr25_34_day","a_gr35_44_day","a_gr45_54_day","a_gr55_64_day","a_gr65_69_day","a_gr70_74_day","a_gr75_79_day","a_gr80_plus_day","all_cum","object_id"
2020-12-01,"Lietuva","00","00","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,29852
2020-12-01,"Lietuva","00","00","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8454
2020-12-01,"Lietuva","00","00","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,10313
2020-12-01,"Alytaus m. sav.","11","06","Visi",0,0,0,0,0,0,0,0,0,0,0,0,9300
2020-12-01,"Alytaus m. sav.","11","06","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,19732
2020-12-01,"Alytaus m. sav.","11","06","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28668
2020-12-01,"Birštono sav.","12","10","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,22117
2020-12-01,"Birštono sav.","12","10","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,4731
2020-12-01,"Birštono sav.","12","10","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8499
2020-12-01,"Vilniaus m. sav.","13","01","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,18953
2020-12-01,"Vilniaus m. sav.","13","01","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8877
2020-12-01,"Vilniaus m. sav.","13","01","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,12159
2020-12-01,"Druskininkų sav.","15","12","Visi",0,0,0,0,0,0,0,0,0,0,0,0,24192
2020-12-01,"Druskininkų sav.","15","12","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,3513
2020-12-01,"Druskininkų sav.","15","12","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13529
2020-12-01,"Marijampolės sav.","18","28","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,18202
2020-12-01,"Marijampolės sav.","18","28","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,12273
2020-12-01,"Marijampolės sav.","18","28","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1115
2020-12-01,"Kauno m. sav.","19","02","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26618
2020-12-01,"Kauno m. sav.","19","02","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,23314
2020-12-01,"Kauno m. sav.","19","02","Visi",0,0,0,0,0,0,0,0,0,0,0,0,15468
2020-12-01,"Klaipėdos m. sav.","21","03","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17294
2020-12-01,"Klaipėdos m. sav.","21","03","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6023
2020-12-01,"Klaipėdos m. sav.","21","03","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,20126
2020-12-01,"Neringos sav.","23","31","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,21146
2020-12-01,"Neringos sav.","23","31","Visi",0,0,0,0,0,0,0,0,0,0,0,0,24604
2020-12-01,"Neringos sav.","23","31","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,10434
2020-12-01,"Palangos m. sav.","25","34","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26505
2020-12-01,"Palangos m. sav.","25","34","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13575
2020-12-01,"Palangos m. sav.","25","34","Visi",0,0,0,0,0,0,0,0,0,0,0,0,14985
2020-12-01,"Panevėžio m. sav.","27","05","Visi",0,0,0,0,0,0,0,0,0,0,0,0,24846
2020-12-01,"Panevėžio m. sav.","27","05","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6285
2020-12-01,"Panevėžio m. sav.","27","05","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13715
2020-12-01,"Šiaulių m. sav.","29","04","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,9518
2020-12-01,"Šiaulių m. sav.","29","04","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28275
2020-12-01,"Šiaulių m. sav.","29","04","Visi",0,0,0,0,0,0,0,0,0,0,0,0,24642
2020-12-01,"Visagino sav.","30","59","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,7702
2020-12-01,"Visagino sav.","30","59","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11549
2020-12-01,"Visagino sav.","30","59","Visi",0,0,0,0,0,0,0,0,0,0,0,0,15327
2020-12-01,"Akmenės r. sav.","32","07","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,4655
2020-12-01,"Akmenės r. sav.","32","07","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,4141
2020-12-01,"Akmenės r. sav.","32","07","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1276
2020-12-01,"Alytaus r. sav.","33","08","Visi",0,0,0,0,0,0,0,0,0,0,0,0,24347
2020-12-01,"Alytaus r. sav.","33","08","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26033
2020-12-01,"Alytaus r. sav.","33","08","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,4399
2020-12-01,"Anykščių r. sav.","34","09","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17353
