"date","municipality_code","municipality_name","municipality_order","vaccine_name","dose_number","vaccinated","vaccines_arrived","vaccines_allocated","object_id"
2020-12-01,"00","Lietuva","00","AstraZeneca","Antra dozė",NA,NA,NA,45843
2020-12-01,"00","Lietuva","00","AstraZeneca","Pirma dozė",NA,NA,NA,45900
2020-12-01,"00","Lietuva","00","Pfizer-BioNTech","Pirma dozė",NA,NA,NA,45922
2020-12-01,"00","Lietuva","00","Pfizer-BioNTech","Antra dozė",NA,NA,NA,45923
2020-12-01,"00","Lietuva","00","Moderna","Pirma dozė",NA,NA,NA,45993
2020-12-01,"00","Lietuva","00","Moderna","Antra dozė",NA,NA,NA,46014
2020-12-01,"11","Alytaus m. sav.","06","Moderna","Pirma dozė",NA,NA,NA,45950
2020-12-01,"11","Alytaus m. sav.","06","Moderna","Antra dozė",NA,NA,NA,45951
2020-12-01,"11","Alytaus m. sav.","06","Pfizer-BioNTech","Pirma dozė",NA,NA,NA,45975
2020-12-01,"11","Alytaus m. sav.","06","AstraZeneca","Pirma dozė",NA,NA,NA,45983
2020-12-01,"11","Alytaus m. sav.","06","Pfizer-BioNTech","Antra dozė",NA,NA,NA,46013
2020-12-01,"11","Alytaus m. sav.","06","AstraZeneca","Antra dozė",NA,NA,NA,46023
2020-12-01,"12","Birštono sav.","10","Pfizer-BioNTech","Pirma dozė",NA,NA,NA,45906
2020-12-01,"12","Birštono sav.","10","Pfizer-BioNTech","Antra dozė",NA,NA,NA,45907
2020-12-01,"12","Birštono sav.","10","Moderna","Pirma dozė",NA,NA,NA,46038
2020-12-01,"12","Birštono sav.","10","AstraZeneca","Pirma dozė",NA,NA,NA,46059
2020-12-01,"12","Birštono sav.","10","Moderna","Antra dozė",NA,NA,NA,46061
2020-12-01,"12","Birštono sav.","10","AstraZeneca","Antra dozė",NA,NA,NA,46105
2020-12-01,"13","Vilniaus m. sav.","01","AstraZeneca","Antra dozė",NA,NA,NA,45763
2020-12-01,"13","Vilniaus m. sav.","01","AstraZeneca","Pirma dozė",NA,NA,NA,45830
2020-12-01,"13","Vilniaus m. sav.","01","Pfizer-BioNTech","Antra dozė",NA,NA,NA,45957
2020-12-01,"13","Vilniaus m. sav.","01","Pfizer-BioNTech","Pirma dozė",NA,NA,NA,45981
2020-12-01,"13","Vilniaus m. sav.","01","Moderna","Antra dozė",NA,NA,NA,46057
2020-12-01,"13","Vilniaus m. sav.","01","Moderna","Pirma dozė",NA,NA,NA,46101
2020-12-01,"15","Druskininkų sav.","12","Pfizer-BioNTech","Pirma dozė",NA,NA,NA,45857
2020-12-01,"15","Druskininkų sav.","12","Moderna","Pirma dozė",NA,NA,NA,45864
2020-12-01,"15","Druskininkų sav.","12","Moderna","Antra dozė",NA,NA,NA,45865
2020-12-01,"15","Druskininkų sav.","12","Pfizer-BioNTech","Antra dozė",NA,NA,NA,45917
2020-12-01,"15","Druskininkų sav.","12","AstraZeneca","Pirma dozė",NA,NA,NA,46040
2020-12-01,"15","Druskininkų sav.","12","AstraZeneca","Antra dozė",NA,NA,NA,46064
2020-12-01,"18","Marijampolės sav.","28","AstraZeneca","Antra dozė",NA,NA,NA,45881
