"","OBJECTID","DIENOS","BENDRAS_ATVEJU_SKAICIUS","BENDRAS_GYDOMU_SKAICIUS","BENDRAS_PASVEIKUSIU_SKAICIUS","BENDRAS_MIRCIU_SKAICIUS","DT"
"1",25661,2020-05-22 22:00:00,1616,410,1135,63,"2020-05-23"
"2",23545,2020-02-27 22:00:00,1,1,0,0,"2020-02-28"
"3",23546,2020-03-09 22:00:00,1,1,0,0,"2020-03-10"
"4",23547,2020-03-11 22:00:00,3,3,0,0,"2020-03-12"
"5",23548,2020-03-12 22:00:00,3,3,0,0,"2020-03-13"
"6",23549,2020-03-13 22:00:00,7,7,0,0,"2020-03-14"
"7",23550,2020-03-14 22:00:00,9,9,0,0,"2020-03-15"
"8",23551,2020-03-15 22:00:00,17,16,1,0,"2020-03-16"
"9",23552,2020-03-16 22:00:00,26,25,1,0,"2020-03-17"
"10",24641,2020-03-17 22:00:00,34,33,1,0,"2020-03-18"
"11",24642,2020-03-18 22:00:00,41,40,1,0,"2020-03-19"
"12",24643,2020-03-19 22:00:00,63,62,1,0,"2020-03-20"
"13",24644,2020-03-20 22:00:00,99,97,1,1,"2020-03-21"
"14",24645,2020-03-21 22:00:00,131,129,1,1,"2020-03-22"
"15",24646,2020-03-22 22:00:00,160,158,1,1,"2020-03-23"
"16",24647,2020-03-23 22:00:00,209,206,1,2,"2020-03-24"
"17",24648,2020-03-24 22:00:00,274,269,1,4,"2020-03-25"
"18",24649,2020-03-25 22:00:00,290,285,1,4,"2020-03-26"
"19",24650,2020-03-26 22:00:00,358,352,1,5,"2020-03-27"
"20",24651,2020-03-27 22:00:00,394,386,1,7,"2020-03-28"
"21",24652,2020-03-28 22:00:00,460,452,1,7,"2020-03-29"
"22",24653,2020-03-29 22:00:00,491,477,7,7,"2020-03-30"
"23",24654,2020-03-30 22:00:00,537,522,7,8,"2020-03-31"
"24",24655,2020-03-31 22:00:00,581,566,7,8,"2020-04-01"
"25",24656,2020-04-01 22:00:00,649,633,7,9,"2020-04-02"
"26",24657,2020-04-02 22:00:00,696,680,7,9,"2020-04-03"
"27",24658,2020-04-03 22:00:00,771,753,7,11,"2020-04-04"
"28",24659,2020-04-04 22:00:00,811,791,7,13,"2020-04-05"
"29",24660,2020-04-05 22:00:00,843,821,8,14,"2020-04-06"
"30",24661,2020-04-06 22:00:00,880,858,8,14,"2020-04-07"
"31",24662,2020-04-07 22:00:00,912,890,8,14,"2020-04-08"
"32",24663,2020-04-08 22:00:00,955,931,8,16,"2020-04-09"
"33",24664,2020-04-09 22:00:00,999,974,8,17,"2020-04-10"
"34",24665,2020-04-10 22:00:00,1026,949,54,23,"2020-04-11"
"35",24666,2020-04-11 22:00:00,1053,976,54,23,"2020-04-12"
"36",24667,2020-04-12 22:00:00,1062,984,54,24,"2020-04-13"
"37",24668,2020-04-13 22:00:00,1070,990,54,26,"2020-04-14"
"38",24669,2020-04-14 22:00:00,1091,923,138,30,"2020-04-15"
