"OBJECTID","DIENOS","BENDRAS_ATVEJU_SKAICIUS","BENDRAS_GYDOMU_SKAICIUS","BENDRAS_PASVEIKUSIU_SKAICIUS","BENDRAS_MIRCIU_SKAICIUS","DT"
25340,2020-05-27 21:00:00,1656,387,1193,68,"2020-05-28"
25661,2020-05-22 21:00:00,1616,410,1135,63,"2020-05-23"
25341,2020-05-28 21:00:00,1662,370,1216,68,"2020-05-29"
25342,2020-05-31 21:00:00,1678,363,1236,70,"2020-06-01"
25979,2020-06-02 21:00:00,1684,344,1260,71,"2020-06-03"
25343,2020-06-07 21:00:00,1720,309,1331,71,"2020-06-08"
25344,2020-06-08 21:00:00,1727,308,1338,72,"2020-06-09"
25983,2020-06-10 21:00:00,1752,296,1372,74,"2020-06-11"
25346,2020-06-15 21:00:00,1776,249,1441,76,"2020-06-16"
25348,2020-06-18 21:00:00,1792,244,1462,76,"2020-06-19"
25349,2020-06-19 21:00:00,1795,239,1470,76,"2020-06-20"
25987,2020-06-22 21:00:00,1803,233,1483,77,"2020-06-23"
25988,2020-06-23 21:00:00,1804,232,1484,78,"2020-06-24"
25351,2020-06-25 21:00:00,1808,219,1501,78,"2020-06-26"
25673,2020-06-27 21:00:00,1815,224,1503,78,"2020-06-28"
25352,2020-06-28 21:00:00,1816,216,1512,78,"2020-06-29"
26301,2020-07-06 21:00:00,1844,207,1547,79,"2020-07-07"
26302,2020-07-07 21:00:00,1854,212,1552,79,"2020-07-08"
26940,2020-07-12 21:00:00,1874,212,1571,79,"2020-07-13"
27580,2020-07-22 21:00:00,1960,256,1611,80,"2020-07-23"
27581,2020-07-23 21:00:00,1986,277,1616,80,"2020-07-24"
27583,2020-07-29 21:00:00,2062,326,1643,80,"2020-07-30"
27585,2020-08-03 21:00:00,2137,397,1647,80,"2020-08-04"
27586,2020-08-05 21:00:00,2171,421,1656,81,"2020-08-06"
27265,2020-08-06 21:00:00,2194,442,1658,81,"2020-08-07"
27588,2020-08-10 21:00:00,2283,510,1679,81,"2020-08-11"
28222,2020-08-15 21:00:00,2416,617,1705,81,"2020-08-16"
29179,2020-08-26 21:00:00,2762,862,1802,85,"2020-08-27"
29180,2020-08-27 21:00:00,2810,895,1816,86,"2020-08-28"
29499,2020-08-29 21:00:00,2874,941,1834,86,"2020-08-30"
29504,2020-09-05 21:00:00,3083,1030,1954,86,"2020-09-06"
