"OBJECTID","DATA","TYRIMAI","ATVEJAI","GYDOMA","PASVEIKO","MIRTYS","VYRAI","MOTERYS","ATNAUJINIMODATA","DT"
51900,2020-05-28 22:00:00,NA,6,-17,23,0,NA,NA,NA,"2020-05-29"
52223,2020-05-30 22:00:00,NA,5,-2,7,0,NA,NA,NA,"2020-05-31"
51901,2020-05-31 22:00:00,NA,3,3,0,0,NA,NA,NA,"2020-06-01"
52538,2020-06-04 22:00:00,NA,7,-22,29,0,NA,NA,NA,"2020-06-05"
51902,2020-06-07 22:00:00,NA,6,3,3,0,NA,NA,NA,"2020-06-08"
51905,2020-06-15 22:00:00,NA,3,-9,12,0,NA,NA,NA,"2020-06-16"
51906,2020-06-16 22:00:00,NA,2,-4,6,0,NA,NA,NA,"2020-06-17"
52542,2020-06-17 22:00:00,NA,6,4,2,0,NA,NA,NA,"2020-06-18"
51907,2020-06-18 22:00:00,NA,8,-5,13,0,NA,NA,NA,"2020-06-19"
52545,2020-06-23 22:00:00,NA,1,-1,1,1,NA,NA,NA,"2020-06-24"
52546,2020-06-24 22:00:00,NA,2,-8,10,0,NA,NA,NA,"2020-06-25"
51910,2020-06-25 22:00:00,NA,2,-5,7,0,NA,NA,NA,"2020-06-26"
52230,2020-06-27 22:00:00,NA,3,3,0,0,NA,NA,NA,"2020-06-28"
52856,2020-07-01 22:00:00,NA,7,-5,12,0,NA,NA,NA,"2020-07-02"
52857,2020-07-02 22:00:00,NA,3,-1,3,1,NA,NA,NA,"2020-07-03"
52859,2020-07-07 22:00:00,NA,10,5,5,0,NA,NA,NA,"2020-07-08"
54138,2020-07-23 22:00:00,NA,26,21,5,0,NA,NA,NA,"2020-07-24"
53818,2020-07-26 22:00:00,NA,11,7,4,0,NA,NA,NA,"2020-07-27"
53819,2020-07-27 22:00:00,NA,8,5,3,0,NA,NA,NA,"2020-07-28"
54143,2020-08-05 22:00:00,NA,24,18,6,0,NA,NA,NA,"2020-08-06"
53823,2020-08-06 22:00:00,NA,23,21,2,0,NA,NA,NA,"2020-08-07"
54144,2020-08-09 22:00:00,NA,13,13,0,0,NA,NA,NA,"2020-08-10"
54145,2020-08-10 22:00:00,NA,18,9,9,0,NA,NA,NA,"2020-08-11"
53826,2020-08-11 22:00:00,NA,26,22,4,0,NA,NA,NA,"2020-08-12"
55417,2020-08-28 22:00:00,NA,29,12,17,0,NA,NA,NA,"2020-08-29"
56058,2020-08-31 22:00:00,NA,23,6,17,0,NA,NA,NA,"2020-09-01"
56059,2020-09-01 22:00:00,NA,29,12,17,0,NA,NA,NA,"2020-09-02"
56376,2020-09-03 22:00:00,NA,26,7,19,0,NA,NA,NA,"2020-09-04"
56061,2020-09-05 22:00:00,NA,43,41,2,0,NA,NA,NA,"2020-09-06"
56378,2020-09-06 22:00:00,NA,17,16,1,0,NA,NA,NA,"2020-09-07"
56380,2020-09-09 22:00:00,NA,36,14,22,0,NA,NA,NA,"2020-09-10"
56384,2020-09-14 22:00:00,NA,11,-12,23,0,NA,NA,NA,"2020-09-15"
56388,2020-09-18 22:00:00,NA,99,83,16,0,NA,NA,NA,"2020-09-19"
56697,2020-09-23 22:00:00,NA,138,129,7,2,NA,NA,NA,"2020-09-24"
56699,2020-09-26 22:00:00,NA,90,80,8,2,NA,NA,NA,"2020-09-27"
56065,2020-09-27 22:00:00,NA,105,104,0,1,NA,NA,NA,"2020-09-28"
56066,2020-09-29 22:00:00,NA,115,99,16,0,NA,NA,NA,"2020-09-30"
56067,2020-09-30 22:00:00,NA,91,32,59,0,NA,NA,NA,"2020-10-01"
56702,2020-10-02 22:00:00,NA,125,96,28,1,NA,NA,NA,"2020-10-03"
56068,2020-10-03 22:00:00,NA,104,103,1,0,NA,NA,NA,"2020-10-04"
52544,2020-06-22 22:00:00,NA,2,-7,8,1,NA,NA,NA,"2020-06-23"
51898,2020-05-17 22:00:00,NA,6,6,0,3,NA,NA,NA,"2020-05-18"
53822,2020-08-04 22:00:00,NA,10,6,3,1,NA,NA,NA,"2020-08-05"
53824,2020-08-07 22:00:00,NA,37,27,10,0,NA,NA,NA,"2020-08-08"
53825,2020-08-08 22:00:00,NA,21,19,2,0,NA,NA,NA,"2020-08-09"
54778,2020-08-14 22:00:00,NA,34,21,13,0,NA,NA,NA,"2020-08-15"
54779,2020-08-15 22:00:00,NA,30,29,1,0,NA,NA,NA,"2020-08-16"
54780,2020-08-16 22:00:00,NA,20,20,0,0,NA,NA,NA,"2020-08-17"
54785,2020-08-21 22:00:00,NA,30,18,11,1,NA,NA,NA,"2020-08-22"
56056,2020-08-29 22:00:00,NA,35,34,1,0,NA,NA,NA,"2020-08-30"
56057,2020-08-30 22:00:00,NA,32,26,6,0,NA,NA,NA,"2020-08-31"
56060,2020-09-02 22:00:00,NA,20,-7,27,0,NA,NA,NA,"2020-09-03"
56377,2020-09-04 22:00:00,NA,36,4,32,0,NA,NA,NA,"2020-09-05"
56063,2020-09-10 22:00:00,NA,44,25,19,0,NA,NA,NA,"2020-09-11"
56389,2020-09-19 22:00:00,NA,80,79,1,0,NA,NA,NA,"2020-09-20"
56064,2020-09-25 22:00:00,NA,111,90,21,0,NA,NA,NA,"2020-09-26"
56700,2020-09-28 22:00:00,NA,88,66,22,0,NA,NA,NA,"2020-09-29"
56703,2020-10-04 22:00:00,NA,100,98,2,0,NA,NA,NA,"2020-10-05"
52216,2020-05-18 22:00:00,NA,15,-14,28,1,NA,NA,NA,"2020-05-19"
52541,2020-06-14 22:00:00,NA,5,2,2,1,NA,NA,NA,"2020-06-15"
52547,2020-06-29 22:00:00,NA,1,-2,3,0,NA,NA,NA,"2020-06-30"
52860,2020-07-08 22:00:00,NA,3,-9,12,0,NA,NA,NA,"2020-07-09"
53496,2020-07-09 22:00:00,NA,4,-1,5,0,NA,NA,NA,"2020-07-10"
53498,2020-07-14 22:00:00,NA,21,10,11,0,NA,NA,NA,"2020-07-15"
53499,2020-07-16 22:00:00,NA,6,4,2,0,NA,NA,NA,"2020-07-17"
54782,2020-08-18 22:00:00,NA,23,17,6,0,NA,NA,NA,"2020-08-19"
54783,2020-08-19 22:00:00,NA,32,23,8,1,NA,NA,NA,"2020-08-20"
54787,2020-08-24 22:00:00,NA,21,2,19,0,NA,NA,NA,"2020-08-25"
56381,2020-09-11 22:00:00,NA,53,32,21,0,NA,NA,NA,"2020-09-12"
56382,2020-09-12 22:00:00,NA,39,38,0,1,NA,NA,NA,"2020-09-13"
56386,2020-09-16 22:00:00,NA,62,38,24,0,NA,NA,NA,"2020-09-17"
56390,2020-09-20 22:00:00,NA,70,69,1,0,NA,NA,NA,"2020-09-21"
56698,2020-09-24 22:00:00,NA,114,69,45,0,NA,NA,NA,"2020-09-25"
56701,2020-10-01 22:00:00,NA,172,129,42,1,NA,NA,NA,"2020-10-02"
56704,2020-10-05 22:00:00,NA,81,27,49,5,NA,NA,NA,"2020-10-06"
57016,2020-10-06 22:00:00,NA,117,61,54,2,NA,NA,NA,"2020-10-07"
51710,2020-05-16 22:00:00,NA,7,7,0,1,4,3,NA,"2020-05-17"
51711,2020-05-20 22:00:00,NA,16,15,0,1,NA,NA,NA,"2020-05-21"
52217,2020-05-19 22:00:00,NA,15,-11,24,0,NA,NA,NA,"2020-05-20"
51712,2020-05-21 22:00:00,NA,11,-51,62,0,NA,NA,NA,"2020-05-22"
52218,2020-05-22 22:00:00,NA,12,-14,24,2,NA,NA,NA,"2020-05-23"
52219,2020-05-23 22:00:00,NA,7,4,3,0,NA,NA,NA,"2020-05-24"
51713,2020-05-24 22:00:00,NA,12,12,0,0,NA,NA,NA,"2020-05-25"
52220,2020-05-25 22:00:00,NA,4,-25,27,2,NA,NA,NA,"2020-05-26"
52221,2020-05-26 22:00:00,NA,8,-12,19,1,NA,NA,NA,"2020-05-27"
51899,2020-05-27 22:00:00,NA,9,-2,9,2,NA,NA,NA,"2020-05-28"
52224,2020-06-01 22:00:00,NA,4,-10,13,1,NA,NA,NA,"2020-06-02"
52536,2020-06-02 22:00:00,NA,2,-9,11,0,NA,NA,NA,"2020-06-03"
52537,2020-06-03 22:00:00,NA,3,-10,13,0,NA,NA,NA,"2020-06-04"
52225,2020-06-05 22:00:00,NA,11,-8,19,0,NA,NA,NA,"2020-06-06"
51903,2020-06-08 22:00:00,NA,7,-1,7,1,NA,NA,NA,"2020-06-09"
52540,2020-06-10 22:00:00,NA,19,16,3,0,NA,NA,NA,"2020-06-11"
51904,2020-06-11 22:00:00,NA,4,-24,28,0,NA,NA,NA,"2020-06-12"
52227,2020-06-12 22:00:00,NA,7,-11,17,1,NA,NA,NA,"2020-06-13"
52228,2020-06-13 22:00:00,NA,5,-5,10,0,NA,NA,NA,"2020-06-14"
51908,2020-06-19 22:00:00,NA,3,-5,8,0,NA,NA,NA,"2020-06-20"
51909,2020-06-20 22:00:00,NA,3,-2,5,0,NA,NA,NA,"2020-06-21"
52229,2020-06-26 22:00:00,NA,4,2,2,0,NA,NA,NA,"2020-06-27"
51911,2020-06-28 22:00:00,NA,1,-8,9,0,NA,NA,NA,"2020-06-29"
52231,2020-07-03 22:00:00,NA,2,-4,6,0,NA,NA,NA,"2020-07-04"
53176,2020-07-04 22:00:00,NA,6,6,0,0,NA,NA,NA,"2020-07-05"
52858,2020-07-06 22:00:00,NA,3,3,0,0,NA,NA,NA,"2020-07-07"
53178,2020-07-10 22:00:00,NA,6,4,2,0,NA,NA,NA,"2020-07-11"
53179,2020-07-11 22:00:00,NA,3,3,0,0,NA,NA,NA,"2020-07-12"
53497,2020-07-12 22:00:00,NA,5,5,0,0,NA,NA,NA,"2020-07-13"
52861,2020-07-13 22:00:00,NA,1,1,0,0,NA,NA,NA,"2020-07-14"
52862,2020-07-15 22:00:00,NA,6,-5,11,0,NA,NA,NA,"2020-07-16"
53181,2020-07-18 22:00:00,NA,17,17,0,0,NA,NA,NA,"2020-07-19"
52863,2020-07-19 22:00:00,NA,15,14,1,0,NA,NA,NA,"2020-07-20"
54137,2020-07-22 22:00:00,NA,9,5,4,0,NA,NA,NA,"2020-07-23"
54456,2020-07-24 22:00:00,NA,15,15,0,0,NA,NA,NA,"2020-07-25"
54139,2020-07-25 22:00:00,NA,7,7,0,0,NA,NA,NA,"2020-07-26"
53820,2020-07-28 22:00:00,NA,16,-4,20,0,NA,NA,NA,"2020-07-29"
54457,2020-07-31 22:00:00,NA,18,18,0,0,NA,NA,NA,"2020-08-01"
54142,2020-08-03 22:00:00,NA,17,15,2,0,NA,NA,NA,"2020-08-04"
54776,2020-08-12 22:00:00,NA,21,15,6,0,NA,NA,NA,"2020-08-13"
54784,2020-08-20 22:00:00,NA,37,28,8,1,NA,NA,NA,"2020-08-21"
55096,2020-08-22 22:00:00,NA,41,41,0,0,NA,NA,NA,"2020-08-23"
54786,2020-08-23 22:00:00,NA,38,37,0,1,NA,NA,NA,"2020-08-24"
55416,2020-08-25 22:00:00,NA,32,23,9,0,NA,NA,NA,"2020-08-26"
56383,2020-09-13 22:00:00,NA,51,50,1,0,NA,NA,NA,"2020-09-14"
56385,2020-09-15 22:00:00,NA,45,14,31,0,NA,NA,NA,"2020-09-16"
56387,2020-09-17 22:00:00,NA,61,29,32,0,NA,NA,NA,"2020-09-18"
56391,2020-09-21 22:00:00,NA,45,19,26,0,NA,NA,NA,"2020-09-22"
56696,2020-09-22 22:00:00,NA,73,52,21,0,NA,NA,NA,"2020-09-23"
51642,2020-02-27 22:00:00,NA,1,1,0,0,0,1,2020-05-15 11:34:54,"2020-02-28"
52222,2020-05-29 22:00:00,NA,8,-7,13,2,NA,NA,NA,"2020-05-30"
52226,2020-06-06 22:00:00,NA,9,2,7,0,NA,NA,NA,"2020-06-07"
52539,2020-06-09 22:00:00,NA,6,-27,31,2,NA,NA,NA,"2020-06-10"
52543,2020-06-21 22:00:00,NA,3,3,0,0,NA,NA,NA,"2020-06-22"
52548,2020-06-30 22:00:00,NA,1,-8,9,0,NA,NA,NA,"2020-07-01"
53177,2020-07-05 22:00:00,NA,5,3,2,0,NA,NA,NA,"2020-07-06"
53180,2020-07-17 22:00:00,NA,7,1,5,1,NA,NA,NA,"2020-07-18"
53816,2020-07-20 22:00:00,NA,2,2,0,0,NA,NA,NA,"2020-07-21"
54136,2020-07-21 22:00:00,NA,2,-4,6,0,NA,NA,NA,"2020-07-22"
54140,2020-07-29 22:00:00,NA,19,23,-4,0,NA,NA,NA,"2020-07-30"
54141,2020-07-30 22:00:00,NA,13,8,5,0,NA,NA,NA,"2020-07-31"
54458,2020-08-01 22:00:00,NA,17,17,0,0,NA,NA,NA,"2020-08-02"
53821,2020-08-02 22:00:00,NA,10,9,1,0,NA,NA,NA,"2020-08-03"
54777,2020-08-13 22:00:00,NA,22,20,2,0,NA,NA,NA,"2020-08-14"
54781,2020-08-17 22:00:00,NA,38,10,28,0,NA,NA,NA,"2020-08-18"
55736,2020-08-26 22:00:00,NA,36,28,8,0,NA,NA,NA,"2020-08-27"
55737,2020-08-27 22:00:00,NA,48,33,14,1,NA,NA,NA,"2020-08-28"
56062,2020-09-07 22:00:00,NA,32,-7,39,0,NA,NA,NA,"2020-09-08"
56379,2020-09-08 22:00:00,NA,32,18,14,0,NA,NA,NA,"2020-09-09"
51643,2020-03-09 22:00:00,NA,0,0,0,0,1,1,2020-05-15 11:34:55,"2020-03-10"
51644,2020-03-11 22:00:00,NA,0,0,0,0,0,1,2020-05-15 11:34:55,"2020-03-12"
51645,2020-03-12 22:00:00,NA,0,0,0,0,1,1,2020-05-15 11:34:56,"2020-03-13"
51646,2020-03-13 22:00:00,NA,4,4,0,0,3,0,2020-05-15 11:34:56,"2020-03-14"
51647,2020-03-14 22:00:00,NA,2,2,0,0,1,2,2020-05-15 11:34:57,"2020-03-15"
51648,2020-03-15 22:00:00,NA,8,7,1,0,6,1,2020-05-15 11:34:57,"2020-03-16"
51649,2020-03-16 22:00:00,NA,9,9,0,0,5,3,2020-05-15 11:34:58,"2020-03-17"
51650,2020-03-17 22:00:00,NA,8,8,0,0,6,3,2020-05-15 11:34:58,"2020-03-18"
51651,2020-03-18 22:00:00,NA,7,7,0,0,4,5,2020-05-15 11:34:59,"2020-03-19"
51652,2020-03-19 22:00:00,NA,22,22,0,0,13,9,2020-05-15 11:34:59,"2020-03-20"
51653,2020-03-20 22:00:00,NA,36,35,0,1,13,15,2020-05-15 11:35:00,"2020-03-21"
51654,2020-03-21 22:00:00,NA,32,32,0,0,19,12,2020-05-15 11:35:00,"2020-03-22"
51655,2020-03-22 22:00:00,NA,29,29,0,0,16,22,2020-05-15 11:35:01,"2020-03-23"
51656,2020-03-23 22:00:00,NA,49,48,0,1,17,25,2020-05-15 11:35:01,"2020-03-24"
51657,2020-03-24 22:00:00,NA,65,63,0,2,20,35,2020-05-15 11:35:02,"2020-03-25"
51658,2020-03-25 22:00:00,NA,16,16,0,0,15,15,2020-05-15 11:35:03,"2020-03-26"
51659,2020-03-26 22:00:00,NA,68,67,0,1,18,29,2020-05-15 11:35:03,"2020-03-27"
51660,2020-03-27 22:00:00,NA,36,34,0,2,20,20,2020-05-15 11:35:04,"2020-03-28"
51661,2020-03-28 22:00:00,NA,66,66,0,0,19,26,2020-05-15 11:35:05,"2020-03-29"
51662,2020-03-29 22:00:00,NA,31,25,6,0,15,31,2020-05-15 11:35:05,"2020-03-30"
51663,2020-03-30 22:00:00,NA,46,45,0,1,22,22,2020-05-15 11:35:06,"2020-03-31"
51664,2020-03-31 22:00:00,NA,44,44,0,0,32,35,2020-05-15 11:35:06,"2020-04-01"
51665,2020-04-01 22:00:00,NA,68,67,0,1,22,31,2020-05-15 11:35:07,"2020-04-02"
51666,2020-04-02 22:00:00,NA,47,47,0,0,31,21,2020-05-15 11:35:07,"2020-04-03"
51667,2020-04-03 22:00:00,NA,75,73,0,2,13,20,2020-05-15 11:35:08,"2020-04-04"
51668,2020-04-04 22:00:00,NA,40,38,0,2,14,19,2020-05-15 11:35:08,"2020-04-05"
51669,2020-04-05 22:00:00,NA,32,30,1,1,16,18,2020-05-15 11:35:09,"2020-04-06"
51670,2020-04-06 22:00:00,NA,37,37,0,0,11,27,2020-05-15 11:35:10,"2020-04-07"
51671,2020-04-07 22:00:00,NA,32,32,0,0,18,19,2020-05-15 11:35:10,"2020-04-08"
51672,2020-04-08 22:00:00,NA,43,41,0,2,17,21,2020-05-15 11:35:11,"2020-04-09"
51673,2020-04-09 22:00:00,NA,44,43,0,1,11,19,2020-05-15 11:35:11,"2020-04-10"
51674,2020-04-10 22:00:00,NA,27,-25,46,6,8,18,2020-05-15 11:35:12,"2020-04-11"
51675,2020-04-11 22:00:00,NA,27,27,0,0,7,11,2020-05-15 11:35:12,"2020-04-12"
51676,2020-04-12 22:00:00,NA,9,8,0,1,2,5,2020-05-15 11:35:13,"2020-04-13"
51677,2020-04-13 22:00:00,NA,8,6,0,2,7,11,2020-05-15 11:35:13,"2020-04-14"
51678,2020-04-14 22:00:00,NA,21,-67,84,4,12,15,2020-05-15 11:35:14,"2020-04-15"
51679,2020-04-15 22:00:00,NA,37,-3,40,0,8,20,2020-05-15 11:35:14,"2020-04-16"
51680,2020-04-16 22:00:00,NA,21,-13,32,2,11,30,2020-05-15 11:35:15,"2020-04-17"
51681,2020-04-17 22:00:00,NA,90,71,18,1,18,45,2020-05-15 11:35:15,"2020-04-18"
51682,2020-04-18 22:00:00,NA,59,45,14,0,6,15,2020-05-15 11:35:16,"2020-04-19"
51683,2020-04-19 22:00:00,NA,28,25,0,3,16,38,2020-05-15 11:35:16,"2020-04-20"
51684,2020-04-20 22:00:00,NA,22,-35,56,1,10,14,2020-05-15 11:35:17,"2020-04-21"
51685,2020-04-21 22:00:00,NA,22,-38,59,1,10,13,2020-05-15 11:35:18,"2020-04-22"
51686,2020-04-22 22:00:00,NA,28,-14,42,0,11,8,2020-05-15 11:35:18,"2020-04-23"
51687,2020-04-23 22:00:00,NA,12,-21,31,2,3,7,2020-05-15 11:35:19,"2020-04-24"
51688,2020-04-24 22:00:00,NA,16,-15,30,1,5,9,2020-05-15 11:35:19,"2020-04-25"
51689,2020-04-25 22:00:00,NA,12,5,7,0,5,7,2020-05-15 11:35:20,"2020-04-26"
51690,2020-04-26 22:00:00,NA,11,4,7,0,4,6,2020-05-15 11:35:20,"2020-04-27"
51691,2020-04-27 22:00:00,NA,4,-126,62,3,12,15,2020-05-15 11:35:21,"2020-04-28"
51692,2020-04-28 22:00:00,NA,31,-41,27,1,4,8,2020-05-15 11:35:22,"2020-04-29"
51693,2020-04-29 22:00:00,NA,10,-16,26,0,3,11,2020-05-15 11:35:22,"2020-04-30"
51694,2020-04-30 22:00:00,NA,14,9,5,0,2,3,2020-05-15 11:35:23,"2020-05-01"
51695,2020-05-01 22:00:00,NA,7,-32,38,1,5,0,2020-05-15 11:35:23,"2020-05-02"
51696,2020-05-02 22:00:00,NA,4,4,0,0,5,3,2020-05-15 11:35:24,"2020-05-03"
51697,2020-05-03 22:00:00,NA,9,1,6,0,1,2,2020-05-15 11:35:24,"2020-05-04"
51698,2020-05-04 22:00:00,NA,4,-36,40,0,4,2,2020-05-15 11:35:25,"2020-05-05"
51699,2020-05-05 22:00:00,NA,5,-38,40,2,0,5,2020-05-15 11:35:25,"2020-05-06"
51700,2020-05-06 22:00:00,NA,5,-17,21,1,5,4,2020-05-15 11:35:26,"2020-05-07"
51701,2020-05-07 22:00:00,NA,3,-24,26,0,9,20,2020-05-15 11:35:26,"2020-05-08"
51702,2020-05-08 22:00:00,NA,8,-55,63,0,5,7,2020-05-15 11:35:27,"2020-05-09"
51703,2020-05-09 22:00:00,NA,35,34,0,1,3,4,2020-05-15 11:35:27,"2020-05-10"
51704,2020-05-10 22:00:00,NA,6,1,5,0,2,7,2020-05-15 11:35:28,"2020-05-11"
51705,2020-05-11 22:00:00,NA,6,-11,17,0,6,7,2020-05-15 11:35:28,"2020-05-12"
51706,2020-05-12 22:00:00,NA,14,-50,58,4,7,2,2020-05-15 11:35:29,"2020-05-13"
51707,2020-05-13 22:00:00,NA,6,-20,26,0,1,1,2020-05-15 11:35:29,"2020-05-14"
51708,2020-05-14 22:00:00,NA,12,-19,31,0,NA,NA,NA,"2020-05-15"
51709,2020-05-15 22:00:00,NA,11,-13,23,1,NA,NA,NA,"2020-05-16"
