"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,21,7,14,11,10,0,2020-10-16 06:35:21,8,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,23,12,11,18,5,0,2020-10-16 06:35:22,11,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,11,6,5,2,8,1,2020-10-16 06:35:23,1,0
4,"69","Prienų r.","2","Kauno apskr.",NA,36,13,23,7,28,1,2020-10-16 06:35:25,7,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,29,9,20,9,20,0,2020-10-16 06:35:26,9,0
6,"74","Rietavo","8","Telšių apskr.",NA,14,6,8,8,6,0,2020-10-16 06:35:27,7,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,116,49,67,22,90,4,2020-10-16 06:35:29,19,0
8,"19","Kauno m.","2","Kauno apskr.",NA,762,374,388,445,306,9,2020-10-16 06:35:31,222,2
9,"11","Alytaus m.","1","Alytaus apskr.",NA,40,22,18,4,35,1,2020-10-16 06:35:32,4,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,23,14,9,22,1,0,2020-10-16 06:35:33,15,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,54,27,27,38,14,2,2020-10-16 06:35:35,38,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,5,1,4,2,3,0,2020-10-16 06:35:36,2,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,19,9,10,2,17,0,2020-10-16 06:35:38,0,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,168,74,94,139,25,3,2020-10-16 06:35:39,83,1
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,119,62,57,38,77,4,2020-10-16 06:35:41,25,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,11,5,6,1,10,0,2020-10-16 06:35:42,0,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,20,11,9,4,14,2,2020-10-16 06:35:44,3,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,46,12,34,13,33,0,2020-10-16 06:35:45,1,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,237,86,151,133,89,2,2020-10-16 06:35:47,56,13
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,27,11,16,7,20,0,2020-10-16 06:35:48,5,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,34,18,16,19,14,1,2020-10-16 06:35:50,18,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,35,19,16,18,16,1,2020-10-16 06:35:51,10,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,59,27,32,36,23,0,2020-10-16 06:35:52,19,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,21,11,10,5,16,0,2020-10-16 06:35:54,3,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,25,9,16,17,8,0,2020-10-16 06:35:55,15,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,25,11,14,12,12,1,2020-10-16 06:35:57,10,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,7,1,6,2,5,0,2020-10-16 06:35:58,2,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,36,12,24,2,34,0,2020-10-16 06:35:59,1,0
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,434,179,255,121,306,3,2020-10-16 06:36:01,63,4
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,88,42,46,47,41,0,2020-10-16 06:36:03,39,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,7,5,2,2,5,0,2020-10-16 06:36:04,1,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,43,24,19,16,26,0,2020-10-16 06:36:06,5,1
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,117,41,76,24,83,9,2020-10-16 06:36:07,8,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,110,40,70,98,11,1,2020-10-16 06:36:09,79,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,22,11,11,2,19,0,2020-10-16 06:36:10,2,1
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,7,3,4,1,5,0,2020-10-16 06:36:11,1,1
42,"52","Kauno r.","2","Kauno apskr.",NA,220,102,118,148,68,4,2020-10-16 06:36:13,75,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,27,12,15,12,15,0,2020-10-16 06:36:14,11,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,60,44,16,12,48,0,2020-10-16 06:36:16,8,0
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,9,4,5,2,7,0,2020-10-16 06:36:17,2,0
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,34,19,15,11,21,1,2020-10-16 06:36:19,10,1
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,58,33,25,40,18,0,2020-10-16 06:36:20,28,0
49,"23","Neringos","3","Klaipėdos apskr.",NA,4,2,2,3,1,0,2020-10-16 06:36:21,2,0
50,"61","Mažeikių r.","8","Telšių apskr.",NA,55,27,28,25,29,1,2020-10-16 06:36:22,10,0
51,"45","Ignalinos r.","9","Utenos apskr.",NA,25,12,13,1,24,0,2020-10-16 06:36:24,0,0
52,"78","Telšių r.","8","Telšių apskr.",NA,28,12,16,8,18,2,2020-10-16 06:36:25,5,0
53,"68","Plungės r.","8","Telšių apskr.",NA,70,30,40,54,16,0,2020-10-16 06:36:26,53,0
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,81,32,49,16,61,4,2020-10-16 06:36:28,15,0
55,"38","Varėnos r.","1","Alytaus apskr.",NA,6,3,3,4,1,1,2020-10-16 06:36:29,3,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,9,5,4,1,8,0,2020-10-16 06:36:31,1,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,650,247,403,609,33,6,2020-10-16 06:36:33,288,2
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,1726,835,888,956,738,24,2020-10-16 06:36:37,456,5
60,"87","Šilalės r.","7","Tauragės apskr.",NA,26,17,9,17,9,0,2020-10-16 06:36:39,15,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,456,186,270,144,294,18,2020-10-16 06:36:41,79,0
20,"30","Visagino","9","Utenos apskr.",NA,19,9,10,6,12,1,2020-10-16 06:36:42,4,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,23,11,12,10,13,0,2020-10-16 06:36:43,5,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,148,74,74,51,96,1,2020-10-16 06:36:45,23,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,441,168,273,365,72,4,2020-10-16 06:36:47,194,0
30,"12","Birštono","2","Kauno apskr.",NA,3,1,2,2,1,0,2020-10-16 06:36:48,2,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,11,4,7,11,0,0,2020-10-16 06:36:49,3,0
