"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
61,NA,"Kita",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-25 09:05:36,0,0,1,0,0,0
57601,NA,"Utenos r.",NA,NA,NA,NA,4,1,3,0,4,0,2020-05-25 09:03:25,0,0,4,1.1,37179,0
57602,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-25 09:03:25,0,0,3,1,29526,0
57603,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-05-25 09:03:26,0,0,7,2,34660,0
57604,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-25 09:03:26,0,0,5,1.9,25802,0
57605,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-05-25 09:03:27,0,0,9,2.2,41163,0
57606,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-05-25 09:03:27,0,0,6,8.3,7258,0
57607,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,4,69,3,2020-05-25 09:03:28,0,0,77,14.3,53772,0.7
57608,NA,"Kauno m.",NA,NA,NA,NA,100,50,50,15,82,3,2020-05-25 09:03:28,0,0,100,3.5,289380,0.5
57609,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-05-25 09:03:29,0,0,28,5.6,49888,0
57610,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-25 09:03:30,0,0,1,0.5,19109,0
57611,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-05-25 09:03:30,0,0,15,7.2,20726,0
57612,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-05-25 09:03:31,0,0,2,1.8,11337,0.9
57613,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-05-25 09:03:31,0,0,10,4.4,22718,0
57614,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,1,9,1,2020-05-25 09:03:32,0,0,11,2.7,41442,0.2
57615,NA,"Klaipėdos r.",NA,NA,NA,NA,55,24,31,9,43,3,2020-05-25 09:03:32,0,0,55,9.1,60139,1.5
57616,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-05-25 09:03:33,0,0,6,2.6,23034,0
57617,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-25 09:03:33,0,0,5,2.7,18764,0
57618,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-05-25 09:03:34,0,0,3,1.7,17153,1.2
57619,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-25 09:03:35,0,0,3,0.9,34995,0
57620,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-05-25 09:03:35,0,0,3,1.1,28070,0
57621,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-05-25 09:03:36,0,0,3,1.1,26698,0
57622,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-05-25 09:03:37,0,0,8,2.3,35324,0.3
57623,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-05-25 09:03:37,0,0,5,1.5,32546,0
57624,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-05 10:19:52,0,0,1,0.6,16356,0
57625,NA,"Skuodo r.",NA,NA,NA,NA,2,0,2,0,2,0,2020-05-25 09:03:38,0,0,2,1.2,16078,0
57626,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,5,6,1,2020-05-25 09:03:39,0,0,12,7.5,16046,3.1
57627,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-25 09:03:40,0,0,1,1.4,7288,0
57628,NA,"Šalčininkų r.",NA,NA,NA,NA,10,4,6,3,7,0,2020-05-25 09:03:40,0,0,10,3.3,30520,1
57629,NA,"Vilniaus r.",NA,NA,NA,NA,242,86,156,81,156,3,2020-05-25 09:03:41,0,0,242,24.2,100158,8.1
57630,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-05-25 09:03:42,0,0,10,4.4,22932,1.3
57631,NA,"Zarasų r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,14916,0
57632,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-25 09:03:43,0,0,1,0.2,45285,0
57633,NA,"Ukmergės r.",NA,NA,NA,NA,86,27,59,5,73,8,2020-05-25 09:03:43,0,0,86,25.7,33471,1.5
57634,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-25 09:03:44,0,0,2,0.8,25382,0
57635,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,2,5,0,2020-05-25 09:03:45,0,0,8,5.3,15076,1.3
57636,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-05-25 09:03:45,0,0,4,3.9,10190,2
57637,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,2,19,0,2020-05-25 09:03:46,0,0,21,2.2,96441,0.2
57638,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,1,6,0,2020-05-25 09:03:47,0,0,7,1.9,37637,0.3
57639,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-05-25 09:03:47,0,0,9,2.4,37805,0.5
57640,NA,"Lazdijų r.",NA,NA,NA,NA,4,1,3,2,2,0,2020-05-25 09:03:48,0,0,4,2.2,18331,1.1
57641,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-25 09:03:49,0,0,2,0.8,24822,0
57642,NA,"Elektrėnų",NA,NA,NA,NA,6,2,4,3,3,0,2020-05-25 09:03:49,0,0,6,2.5,23992,1.3
57643,NA,"Neringos",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-25 09:03:50,0,0,1,2.8,3530,2.8
57644,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-05-25 09:03:51,0,0,7,1.4,51067,0.2
57645,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-25 09:03:51,0,0,3,2.1,14433,0.7
57646,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-25 09:03:52,0,0,10,2.5,39317,0
57647,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-25 09:03:52,0,0,7,2.1,32987,0
57648,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,27,30,2,2020-05-25 09:03:53,0,0,59,15.8,37427,7.2
57649,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-25 09:03:54,0,0,1,0.5,20840,0
57650,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-25 09:03:54,0,0,7,2.7,25887,0
57651,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-05-25 09:03:55,0,0,6,1.9,31225,0
57652,NA,"Vilniaus m.",NA,NA,NA,NA,419,182,237,163,242,10,2020-05-25 09:03:56,0,0,419,7.5,562030,2.9
57653,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-25 09:03:57,0,0,3,1.4,21887,0
57654,NA,"Klaipėdos m.",NA,NA,NA,NA,273,90,183,80,177,16,2020-05-25 09:03:57,0,0,273,18.3,149157,5.4
57655,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-25 09:03:58,0,0,3,1.6,18250,0
57656,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-05-25 09:03:59,0,0,4,1.8,22816,0.4
57657,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,2,18,1,2020-05-25 09:03:59,0,0,21,2.4,85878,0.2
57658,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,2,11,1,2020-05-25 09:04:00,0,0,14,1.4,101514,0.2
57659,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,4069,0
57660,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,18606,0
