"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
61,NA,"Kita",NA,NA,NA,NA,0,9,5,1,12,1,2020-06-06 06:58:28,0,0,0,0,0,0,0,0,3.2
60533,NA,"Utenos r.",NA,NA,NA,NA,5,2,3,1,4,0,2020-06-06 06:56:07,0,0,5,13.4,37179,2.7,1,2.7,3.2
60534,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-06 06:56:08,0,0,3,10.2,29526,0,0,0,3.2
60535,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-06 06:56:09,0,0,7,20.2,34660,0,0,0,3.2
60536,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-06 06:56:09,0,0,5,19.4,25802,0,0,0,3.2
60537,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-06-06 06:56:10,0,0,9,21.9,41163,0,0,0,3.2
60538,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-06 06:56:11,0,0,6,82.7,7258,0,0,0,3.2
60539,NA,"Marijampolės",NA,NA,NA,NA,75,31,44,0,71,4,2020-06-06 06:56:11,0,0,75,139.5,53772,0,0,0,3.2
60540,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,14,85,3,2020-06-06 06:56:12,0,0,102,35.2,289380,4.8,2,0.7,3.2
60541,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-06 06:56:13,0,0,28,56.1,49888,0,0,0,3.2
60542,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-06 06:56:13,0,0,1,5.2,19109,0,0,0,3.2
60543,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-06 06:56:13,0,0,15,72.4,20726,0,0,0,3.2
60544,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,1,2,0,2020-06-06 06:56:14,0,0,3,26.5,11337,8.8,0,0,3.2
62721,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-06-06 06:56:15,0,0,10,44,22718,0,0,0,3.2
62722,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-06-06 06:56:15,0,0,11,26.5,41442,0,0,0,3.2
62723,NA,"Klaipėdos r.",NA,NA,NA,NA,59,27,32,5,51,3,2020-06-06 06:56:16,0,0,59,98.1,60139,8.3,4,6.7,3.2
62724,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-06-06 06:56:17,0,0,6,26,23034,0,0,0,3.2
62725,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-06 06:56:17,0,0,5,26.6,18764,0,0,0,3.2
62726,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-06-06 06:56:18,0,0,3,17.5,17153,11.7,0,0,3.2
62727,NA,"Radviliškio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-06 06:56:18,0,0,4,11.4,34995,2.9,1,2.9,3.2
62728,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-06-06 06:56:19,0,0,3,10.7,28070,0,0,0,3.2
62729,NA,"Šakių r.",NA,NA,NA,NA,4,2,2,1,2,1,2020-06-06 06:56:20,0,0,4,15,26698,3.7,1,3.7,3.2
62730,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-06-06 06:56:20,0,0,8,22.6,35324,2.8,0,0,3.2
62731,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-06-06 06:56:21,0,0,5,15.4,32546,0,0,0,3.2
62732,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-06 06:56:21,0,0,1,6.1,16356,0,0,0,3.2
62733,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-06-06 06:56:22,0,0,3,18.7,16078,6.2,1,6.2,3.2
62734,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,4,7,1,2020-06-06 06:56:22,0,0,12,74.8,16046,24.9,0,0,3.2
62735,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-06 06:56:23,0,0,1,13.7,7288,0,0,0,3.2
62736,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-06-06 06:56:23,0,0,12,39.3,30520,16.4,2,6.6,3.2
62737,NA,"Vilniaus r.",NA,NA,NA,NA,264,92,172,64,195,3,2020-06-06 06:56:24,0,0,264,263.6,100158,63.9,26,26,3.2
62738,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,1,9,0,2020-06-06 06:56:25,0,0,10,43.6,22932,4.4,0,0,3.2
62739,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-06 06:56:25,0,0,1,6.7,14916,0,0,0,3.2
