"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
102909,NA,"Utenos r.",NA,NA,NA,NA,33,14,19,18,15,0,2020-10-26 11:35:42,0,0,33,88.8,37179,48.4,13,35,168.5,0
102910,NA,"Kaišiadorių r.",NA,NA,NA,NA,38,20,18,32,6,0,2020-10-26 11:35:42,0,0,38,128.7,29526,108.4,23,77.9,168.5,0
102911,NA,"Vilkaviškio r.",NA,NA,NA,NA,18,6,12,8,9,1,2020-10-26 11:35:42,0,0,18,51.9,34660,23.1,7,20.2,168.5,0
102912,NA,"Prienų r.",NA,NA,NA,NA,73,29,44,43,29,1,2020-10-26 11:35:42,0,0,73,282.9,25802,166.7,41,158.9,168.5,0
103169,NA,"Jonavos r.",NA,NA,NA,NA,54,18,36,32,22,0,2020-10-26 11:35:42,0,0,54,131.2,41163,77.7,28,68,168.5,0
103170,NA,"Rietavo",NA,NA,NA,NA,30,12,18,17,13,0,2020-10-26 11:35:42,0,0,30,413.3,7258,234.2,16,220.4,168.5,0
103171,NA,"Marijampolės",NA,NA,NA,NA,211,79,131,111,92,7,2020-10-26 11:35:42,0,0,211,392.4,53772,206.4,110,204.6,168.5,0
103172,NA,"Kauno m.",NA,NA,NA,NA,1171,558,613,817,340,11,2020-10-26 11:35:42,0,0,1171,404.7,289380,282.3,483,166.9,168.5,3
103173,NA,"Alytaus m.",NA,NA,NA,NA,55,29,26,19,35,1,2020-10-26 11:35:42,0,0,55,110.2,49888,38.1,16,32.1,168.5,0
103174,NA,"Druskininkų",NA,NA,NA,NA,24,14,10,8,16,0,2020-10-26 11:35:42,0,0,24,125.6,19109,41.9,2,10.5,168.5,0
103175,NA,"Joniškio r.",NA,NA,NA,NA,97,42,55,77,17,2,2020-10-26 11:35:42,0,0,97,468,20726,371.5,61,294.3,168.5,1
103176,NA,"Kazlų Rūdos",NA,NA,NA,NA,14,5,9,10,4,0,2020-10-26 11:35:42,0,0,14,123.5,11337,88.2,10,88.2,168.5,0
103177,NA,"Biržų r.",NA,NA,NA,NA,22,10,12,4,18,0,2020-10-26 11:35:42,0,0,22,96.8,22718,17.6,3,13.2,168.5,0
103178,NA,"Šiaulių r.",NA,NA,NA,NA,263,108,155,204,51,3,2020-10-26 11:35:42,0,0,263,634.6,41442,492.3,119,287.1,168.5,5
103179,NA,"Klaipėdos r.",NA,NA,NA,NA,183,92,91,94,85,4,2020-10-26 11:35:42,0,0,183,304.3,60139,156.3,82,136.4,168.5,0
103180,NA,"Anykščių r.",NA,NA,NA,NA,14,7,7,4,10,0,2020-10-26 11:35:42,0,0,14,60.8,23034,17.4,3,13,168.5,0
103181,NA,"Akmenės r.",NA,NA,NA,NA,27,16,11,7,18,2,2020-10-26 11:35:42,0,0,27,143.9,18764,37.3,8,42.6,168.5,0
103182,NA,"Molėtų r.",NA,NA,NA,NA,57,15,42,13,44,0,2020-10-26 11:35:42,0,0,57,332.3,17153,75.8,11,64.1,168.5,0
103183,NA,"Radviliškio r.",NA,NA,NA,NA,242,89,153,39,188,2,2020-10-26 11:35:42,0,0,242,691.5,34995,111.4,11,31.4,168.5,13
103184,NA,"Rokiškio r.",NA,NA,NA,NA,32,14,18,9,23,0,2020-10-26 11:35:42,0,0,32,114,28070,32.1,8,28.5,168.5,0
103185,NA,"Šakių r.",NA,NA,NA,NA,41,20,21,14,26,1,2020-10-26 11:35:42,0,0,41,153.6,26698,52.4,14,52.4,168.5,0
103186,NA,"Panevėžio r.",NA,NA,NA,NA,53,31,22,32,20,1,2020-10-26 11:35:42,0,0,53,150,35324,90.6,21,59.4,168.5,0
103187,NA,"Trakų r.",NA,NA,NA,NA,75,35,40,40,35,0,2020-10-26 11:35:42,0,0,75,230.4,32546,122.9,30,92.2,168.5,0
103188,NA,"Kupiškio r.",NA,NA,NA,NA,24,12,12,7,17,0,2020-10-26 11:35:42,0,0,24,146.7,16356,42.8,5,30.6,168.5,0
103189,NA,"Skuodo r.",NA,NA,NA,NA,62,28,34,53,9,0,2020-10-26 11:35:42,0,0,62,385.6,16078,329.6,43,267.4,168.5,0
103190,NA,"Palangos m.",NA,NA,NA,NA,63,27,36,50,12,1,2020-10-26 11:35:42,0,0,63,392.6,16046,311.6,44,274.2,168.5,0
103191,NA,"Pagėgių",NA,NA,NA,NA,8,1,7,2,6,0,2020-10-26 11:35:42,0,0,8,109.8,7288,27.4,2,27.4,168.5,0
103192,NA,"Šalčininkų r.",NA,NA,NA,NA,44,15,29,9,35,0,2020-10-26 11:35:42,0,0,44,144.2,30520,29.5,8,26.2,168.5,0
103193,NA,"Vilniaus r.",NA,NA,NA,NA,558,236,321,219,331,3,2020-10-26 11:35:42,0,0,558,557.1,100158,218.7,150,149.8,168.5,4
103194,NA,"Švenčionių r.",NA,NA,NA,NA,151,73,78,95,56,0,2020-10-26 11:35:42,0,0,151,658.5,22932,414.3,87,379.4,168.5,0
103195,NA,"Zarasų r.",NA,NA,NA,NA,7,6,1,1,6,0,2020-10-26 11:35:42,0,0,7,46.9,14916,6.7,1,6.7,168.5,0
103196,NA,"Kėdainių r.",NA,NA,NA,NA,80,38,41,45,33,0,2020-10-26 11:35:42,0,0,80,176.7,45285,99.4,39,86.1,168.5,1
103197,NA,"Ukmergės r.",NA,NA,NA,NA,135,46,89,41,84,9,2020-10-26 11:35:42,0,0,135,403.3,33471,122.5,23,68.7,168.5,1
103198,NA,"Kelmės r.",NA,NA,NA,NA,197,63,134,142,49,5,2020-10-26 11:35:42,0,0,197,776.1,25382,559.4,123,484.6,168.5,1
103199,NA,"Širvintų r.",NA,NA,NA,NA,55,22,33,34,20,0,2020-10-26 11:35:42,0,0,55,364.8,15076,225.5,34,225.5,168.5,1
103200,NA,"Kalvarijos",NA,NA,NA,NA,13,5,8,7,5,0,2020-10-26 11:35:42,0,0,13,127.6,10190,68.7,7,68.7,168.5,1
