"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","8","475"
"vyras","12","564"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","3"
"40-49","1","15"
"50-59","2","85"
"60-69","1","159"
"70-79","5","277"
"80-89","9","393"
"90-99","2","102"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","8","194"
"Kauno","4","263"
"Klaipėdos","1","131"
"Panevėžio","0","71"
"Šiaulių","4","119"
"Marijampolės","0","63"
"Utenos","0","29"
"Alytaus","0","34"
"Telšių","3","80"
"Tauragės","0","55"
