"day","hospitalized","icu","ventilated","oxygen"
2020-03-29,0,0,0,0
2020-03-30,104,1,0,18
2020-03-31,108,8,3,28
2020-04-01,125,10,4,34
2020-04-02,125,10,4,34
2020-04-03,126,10,6,30
2020-04-05,138,12,7,30
2020-04-06,134,13,7,30
2020-04-07,134,13,8,32
2020-04-08,128,12,8,32
2020-04-09,130,14,9,36
2020-04-10,145,16,9,62
2020-04-11,136,13,8,30
2020-04-12,136,14,7,39
2020-04-13,142,14,9,38
2020-04-14,137,14,8,29
2020-04-15,134,16,9,31
2020-04-16,139,19,11,33
2020-04-17,134,18,12,31
2020-04-18,146,20,13,30
2020-04-19,149,18,18,42
2020-04-20,148,18,11,36
2020-04-21,143,20,10,38
2020-04-22,138,18,8,34
2020-04-23,137,17,9,29
2020-04-24,128,16,7,28
2020-04-25,127,16,8,23
2020-04-26,129,16,8,25
2020-04-27,117,15,9,23
2020-04-28,123,15,7,32
2020-04-29,115,18,9,26
2020-04-30,106,17,9,22
2020-05-01,114,16,8,28
2020-05-02,116,16,9,26
2020-05-03,119,16,9,27
2020-05-04,95,14,9,25
2020-05-05,92,14,9,24
2020-05-06,107,13,8,21
2020-05-07,120,12,6,24
2020-05-08,105,11,5,21
2020-05-09,113,12,5,26
2020-05-10,127,14,6,27
2020-05-11,126,12,5,41
2020-05-12,121,11,5,32
2020-05-13,104,9,4,26
2020-05-14,118,10,3,33
2020-05-15,120,9,3,28
2020-05-16,129,9,3,49
2020-05-17,125,9,3,38
2020-05-18,117,7,2,31
2020-05-19,113,7,2,35
2020-05-20,96,7,2,32
2020-05-21,112,7,2,33
2020-05-22,108,6,2,32
2020-05-23,111,7,2,28
2020-05-24,92,7,2,24
2020-05-25,96,5,2,29
2020-05-26,83,4,2,28
2020-05-27,82,4,2,29
2020-05-28,76,4,2,21
2020-05-29,72,3,1,20
2020-05-30,71,3,1,18
2020-05-31,72,3,1,18
2020-06-01,64,2,1,14
2020-06-02,60,3,1,15
2020-06-03,46,3,1,12
2020-06-04,53,3,1,12
2020-06-05,48,3,1,10
2020-06-06,46,3,1,11
2020-06-07,35,3,1,7
2020-06-08,40,4,1,11
2020-06-09,40,3,1,10
2020-06-10,39,3,1,11
2020-06-11,33,3,2,10
2020-06-12,32,2,2,10
2020-06-14,29,2,1,7
2020-06-15,28,2,1,8
2020-06-17,27,1,1,7
2020-06-18,25,3,1,6
2020-06-19,25,3,1,5
2020-06-20,24,3,1,8
2020-06-21,21,3,1,7
2020-06-23,20,3,1,8
2020-06-24,18,3,1,9
2020-06-26,12,3,1,9
2020-06-27,12,3,1,7
2020-06-29,10,2,1,5
2020-06-30,10,1,1,5
2020-07-02,8,1,1,5
2020-07-03,8,1,1,5
2020-07-04,10,1,1,3
2020-07-05,10,1,1,2
2020-07-06,12,1,1,2
2020-07-08,14,1,1,1
2020-07-09,13,1,1,1
2020-07-10,14,1,1,2
2020-07-11,13,1,1,1
2020-07-12,14,1,1,2
2020-07-13,16,1,1,0
2020-07-14,21,2,2,2
2020-07-15,20,2,2,2
2020-07-16,22,2,2,2
2020-07-19,23,2,1,3
2020-07-20,25,2,1,4
2020-07-21,25,2,1,5
2020-07-22,21,2,1,4
2020-07-23,21,2,1,3
2020-07-24,26,2,1,4
2020-07-25,28,2,1,5
2020-07-26,28,2,1,5
2020-07-27,32,2,1,6
2020-07-28,34,2,1,6
2020-07-29,29,1,1,4
2020-07-30,28,1,1,4
2020-08-01,30,3,1,6
2020-08-02,31,3,1,7
2020-08-03,29,3,1,6
2020-08-04,31,2,0,7
2020-08-05,32,2,0,7
2020-08-06,31,1,0,7
2020-08-07,34,1,0,10
2020-08-08,32,1,0,11
2020-08-09,35,1,0,8
2020-08-10,44,2,1,15
2020-08-11,46,2,1,17
2020-08-12,49,2,1,16
2020-08-13,55,3,1,20
2020-08-14,54,2,2,23
2020-08-15,55,2,3,22
2020-08-16,56,2,3,22
2020-08-17,62,5,3,20
2020-08-18,63,4,5,20
2020-08-19,70,6,4,24
2020-08-20,69,8,5,22
2020-08-21,60,6,21,22
2020-08-22,63,6,2,24
2020-08-23,66,7,2,30
2020-08-24,59,6,2,19
2020-08-25,62,7,3,22
2020-08-26,63,8,3,25
2020-08-27,64,8,3,25
2020-08-28,58,8,3,25
2020-08-29,57,7,2,21
2020-08-30,59,8,3,25
2020-08-31,60,7,3,23
2020-09-01,56,7,3,19
2020-09-02,58,8,3,19
2020-09-03,50,6,2,15
2020-09-04,47,6,2,19
2020-09-05,50,5,1,18
2020-09-06,46,4,1,16
2020-09-07,43,3,1,14
2020-09-08,41,3,1,14
2020-09-09,38,4,2,15
2020-09-11,40,5,1,15
2020-09-12,41,5,1,16
2020-09-13,42,5,1,17
2020-09-14,40,5,3,14
2020-09-15,51,5,3,17
2020-09-16,47,6,3,14
2020-09-17,70,8,3,23
2020-09-18,75,6,3,26
2020-09-19,80,6,4,24
2020-09-20,83,5,3,26
2020-09-21,88,6,4,23
2020-09-22,111,8,5,24
2020-09-23,112,6,4,26
2020-09-24,113,8,5,26
2020-09-25,118,9,5,30
2020-09-26,120,9,6,30
2020-09-27,125,7,3,35
2020-09-28,133,7,3,38
2020-09-29,136,8,3,44
2020-09-30,139,9,3,43
2020-10-01,143,8,4,42
2020-10-02,145,8,3,44
2020-10-03,145,8,3,44
2020-10-04,156,7,5,57
2020-10-05,156,11,5,58
2020-10-06,128,11,6,56
2020-10-07,135,13,6,62
2020-10-08,139,8,7,65
2020-10-09,138,12,8,65
2020-10-10,144,15,9,66
2020-10-11,150,17,8,72
2020-10-12,149,22,10,80
2020-10-13,141,18,8,69
2020-10-14,174,17,9,80
2020-10-15,199,19,9,80
2020-10-16,197,16,11,75
2020-10-17,204,18,8,82
2020-10-18,229,20,9,87
2020-10-19,232,23,9,92
2020-10-20,245,21,9,83
2020-10-21,239,18,7,88
2020-10-22,255,26,14,94
2020-10-23,254,27,15,104
2020-10-24,270,28,14,98
2020-10-25,332,31,15,119
2020-10-26,342,32,15,133
2020-10-27,354,36,17,144
2020-10-28,370,34,14,165
2020-10-30,470,42,22,210
2020-10-31,501,46,23,241
2020-11-01,546,43,28,269
2020-11-02,613,51,26,286
2020-11-03,676,57,30,297
2020-11-04,690,57,32,296
2020-11-05,785,64,35,389
2020-11-06,785,70,42,383
2020-11-07,858,74,44,410
2020-11-08,944,80,50,445
2020-11-09,988,81,51,417
2020-11-10,1023,73,49,455
2020-11-11,1092,83,51,484
2020-11-12,1205,87,58,595
2020-11-13,1263,79,51,617
2020-11-14,1249,92,51,674
2020-11-15,1359,100,61,641
2020-11-16,1369,107,73,751
2020-11-17,1363,93,67,748
2020-11-18,1437,109,66,755
2020-11-19,1501,117,71,798
2020-11-20,1459,114,69,843
2020-11-21,1443,124,68,747
2020-11-22,1629,126,73,887
2020-11-23,1654,119,78,942
2020-11-24,1707,126,82,924
2020-11-25,1704,121,75,916
