"OBJECTID","DIENOS","BENDRAS_ATVEJU_SKAICIUS","BENDRAS_GYDOMU_SKAICIUS","BENDRAS_PASVEIKUSIU_SKAICIUS","BENDRAS_MIRCIU_SKAICIUS","DT"
24699,2020-05-16 22:00:00,1557,458,1034,59,"2020.05.17"
24700,2020-05-18 22:00:00,1577,427,1082,60,"2020-05-19"
25027,2020-02-27 22:00:00,1,1,0,0,"2020-02-28"
25028,2020-03-09 22:00:00,3,1,2,0,"2020-03-10"
25029,2020-03-11 22:00:00,4,1,3,0,"2020-03-12"
25030,2020-03-12 22:00:00,6,1,5,0,"2020-03-13"
25031,2020-03-13 22:00:00,9,3,6,0,"2020-03-14"
25032,2020-03-14 22:00:00,12,4,8,0,"2020-03-15"
25033,2020-03-15 22:00:00,19,11,8,0,"2020-03-16"
25034,2020-03-16 22:00:00,27,19,8,0,"2020-03-17"
25035,2020-03-17 22:00:00,36,28,8,0,"2020-03-18"
25036,2020-03-18 22:00:00,45,37,8,0,"2020-03-19"
25037,2020-03-19 22:00:00,67,58,8,1,"2020-03-20"
25038,2020-03-20 22:00:00,95,86,8,1,"2020-03-21"
25039,2020-03-21 22:00:00,126,115,10,1,"2020-03-22"
25040,2020-03-22 22:00:00,164,152,10,2,"2020-03-23"
25041,2020-03-23 22:00:00,206,193,10,3,"2020-03-24"
25042,2020-03-24 22:00:00,261,246,11,4,"2020-03-25"
25043,2020-03-25 22:00:00,291,274,11,6,"2020-03-26"
25044,2020-03-26 22:00:00,338,320,12,6,"2020-03-27"
25045,2020-03-27 22:00:00,378,357,14,7,"2020-03-28"
25046,2020-03-28 22:00:00,423,401,15,7,"2020-03-29"
25047,2020-03-29 22:00:00,469,444,18,7,"2020-03-30"
25048,2020-03-30 22:00:00,513,483,21,9,"2020-03-31"
25049,2020-03-31 22:00:00,580,545,26,9,"2020-04-01"
25050,2020-04-01 22:00:00,633,591,33,9,"2020-04-02"
25051,2020-04-02 22:00:00,685,639,35,11,"2020-04-03"
25052,2020-04-03 22:00:00,718,665,41,12,"2020-04-04"
25053,2020-04-04 22:00:00,751,687,50,14,"2020-04-05"
25054,2020-04-05 22:00:00,785,707,58,20,"2020-04-06"
25055,2020-04-06 22:00:00,823,736,67,20,"2020-04-07"
25056,2020-04-07 22:00:00,860,754,85,21,"2020-04-08"
25057,2020-04-08 22:00:00,898,772,104,22,"2020-04-09"
25058,2020-04-09 22:00:00,928,759,145,24,"2020-04-10"
25059,2020-04-10 22:00:00,954,766,163,25,"2020-04-11"
25060,2020-04-11 22:00:00,972,766,181,25,"2020-04-12"
25061,2020-04-12 22:00:00,979,766,187,26,"2020-04-13"
25062,2020-04-13 22:00:00,997,744,223,30,"2020-04-14"
25063,2020-04-14 22:00:00,1024,734,260,30,"2020-04-15"
25064,2020-04-15 22:00:00,1052,733,287,32,"2020-04-16"
25065,2020-04-16 22:00:00,1093,734,326,33,"2020-04-17"
25066,2020-04-17 22:00:00,1156,779,343,34,"2020-04-18"
25067,2020-04-18 22:00:00,1177,789,351,37,"2020-04-19"
25068,2020-04-19 22:00:00,1231,784,409,38,"2020-04-20"
25069,2020-04-20 22:00:00,1255,774,442,39,"2020-04-21"
25070,2020-04-21 22:00:00,1278,767,472,39,"2020-04-22"
25071,2020-04-22 22:00:00,1297,756,501,40,"2020-04-23"
25072,2020-04-23 22:00:00,1307,733,532,41,"2020-04-24"
25073,2020-04-24 22:00:00,1321,731,546,43,"2020-04-25"
25074,2020-04-25 22:00:00,1333,736,552,44,"2020-04-26"
25075,2020-04-26 22:00:00,1343,703,595,44,"2020-04-27"
25076,2020-04-27 22:00:00,1370,703,621,45,"2020-04-28"
25077,2020-04-28 22:00:00,1382,699,636,45,"2020-04-29"
25078,2020-04-29 22:00:00,1396,678,669,45,"2020-04-30"
25079,2020-04-30 22:00:00,1401,668,683,46,"2020-05-01"
25080,2020-05-01 22:00:00,1406,668,688,46,"2020-05-02"
25081,2020-05-02 22:00:00,1414,673,691,46,"2020-05-03"
25082,2020-05-03 22:00:00,1417,631,736,46,"2020-05-04"
25083,2020-05-04 22:00:00,1423,595,776,48,"2020-05-05"
25084,2020-05-05 22:00:00,1428,573,802,49,"2020-05-06"
25085,2020-05-06 22:00:00,1437,548,835,49,"2020-05-07"
25086,2020-05-07 22:00:00,1466,535,875,50,"2020-05-08"
25087,2020-05-08 22:00:00,1478,538,883,51,"2020-05-09"
25088,2020-05-09 22:00:00,1486,535,894,51,"2020-05-10"
25089,2020-05-10 22:00:00,1495,497,938,54,"2020-05-11"
25090,2020-05-11 22:00:00,1508,490,958,54,"2020-05-12"
25091,2020-05-12 22:00:00,1518,478,980,54,"2020-05-13"
25092,2020-05-13 22:00:00,1529,460,1008,55,"2020-05-14"
25093,2020-05-14 22:00:00,1543,463,1018,56,"2020-05-15"
25094,2020-05-15 22:00:00,1545,458,1025,56,"2020-05-16"
24373,2020-05-17 22:00:00,1566,443,1057,60,"2020-05-18"
24701,2020-05-19 22:00:00,1590,425,1097,60,"2020-05-20"
24702,2020-05-20 22:00:00,1604,424,1112,60,"2020-05-21"
25095,2020-05-21 22:00:00,1617,412,1135,62,"2020-05-22"
24374,2020-05-22 22:00:00,1624,416,1138,62,"2020-05-23"
