"","OBJECTID","DATA","TYRIMAI","GYDOMA","PASVEIKO","VYRAI","MOTERYS","ATNAUJINIMODATA","DT","ATVEJAI","MIRTYS"
"1",51900,2020-05-18 22:00:00,NA,13,0,4,9,2020-05-20 09:30:23,"2020-05-19",13,0
"2",51901,2020-05-19 22:00:00,NA,3,0,1,2,2020-05-21 09:04:35,"2020-05-20",3,0
"3",52542,2020-05-21 22:00:00,NA,13,0,7,6,2020-05-23 09:08:05,"2020-05-22",13,0
"4",51899,2020-05-16 22:00:00,NA,6,0,3,3,2020-05-18 09:14:41,"2020.05.17",6,0
"5",52541,2020-05-17 22:00:00,NA,8,0,3,5,2020-05-19 15:07:26,"2020-05-18",8,0
"6",51903,2020-05-20 22:00:00,NA,5,0,3,2,2020-05-22 09:04:36,"2020-05-21",5,0
"7",51576,2020-02-27 22:00:00,NA,1,0,0,1,2020-05-19 14:01:25,"2020-02-28",1,0
"8",51577,2020-03-09 22:00:00,NA,2,0,1,1,2020-05-19 14:01:25,"2020-03-10",2,0
"9",51578,2020-03-11 22:00:00,NA,1,0,0,1,2020-05-19 14:01:25,"2020-03-12",1,0
"10",51579,2020-03-12 22:00:00,NA,2,0,1,1,2020-05-19 14:01:25,"2020-03-13",2,0
"11",51580,2020-03-13 22:00:00,NA,3,0,3,0,2020-05-19 14:01:25,"2020-03-14",3,0
"12",51581,2020-03-14 22:00:00,NA,2,1,1,2,2020-05-19 14:01:25,"2020-03-15",3,0
"13",51582,2020-03-15 22:00:00,NA,5,1,6,1,2020-05-19 14:01:25,"2020-03-16",7,1
"14",51583,2020-03-16 22:00:00,NA,7,1,5,3,2020-05-19 14:01:25,"2020-03-17",8,0
"15",51584,2020-03-17 22:00:00,NA,4,5,6,3,2020-05-19 14:01:25,"2020-03-18",9,0
"16",52481,2020-03-18 22:00:00,NA,7,2,4,5,2020-05-19 14:01:25,"2020-03-19",9,0
"17",52482,2020-03-19 22:00:00,NA,20,1,13,9,2020-05-19 14:01:25,"2020-03-20",22,1
"18",52483,2020-03-20 22:00:00,NA,24,4,13,15,2020-05-19 14:01:25,"2020-03-21",28,0
"19",52484,2020-03-21 22:00:00,NA,28,2,19,12,2020-05-19 14:01:25,"2020-03-22",31,1
"20",52485,2020-03-22 22:00:00,NA,29,9,16,22,2020-05-19 14:01:25,"2020-03-23",38,0
"21",52486,2020-03-23 22:00:00,NA,37,2,17,25,2020-05-19 14:01:25,"2020-03-24",42,3
"22",52487,2020-03-24 22:00:00,NA,47,6,20,35,2020-05-19 14:01:25,"2020-03-25",55,2
"23",52488,2020-03-25 22:00:00,NA,25,4,15,15,2020-05-19 14:01:25,"2020-03-26",30,1
"24",52489,2020-03-26 22:00:00,NA,38,4,18,29,2020-05-19 14:01:25,"2020-03-27",47,5
"25",52490,2020-03-27 22:00:00,NA,32,4,20,20,2020-05-19 14:01:25,"2020-03-28",40,4
"26",52491,2020-03-28 22:00:00,NA,42,2,19,26,2020-05-19 14:01:25,"2020-03-29",45,1
"27",52492,2020-03-29 22:00:00,NA,35,10,15,31,2020-05-19 14:01:25,"2020-03-30",46,0
"28",52493,2020-03-30 22:00:00,NA,36,7,22,22,2020-05-19 14:01:25,"2020-03-31",44,1
"29",52494,2020-03-31 22:00:00,NA,57,8,32,35,2020-05-19 14:01:25,"2020-04-01",67,2
"30",52495,2020-04-01 22:00:00,NA,37,12,22,31,2020-05-19 14:01:25,"2020-04-02",53,3
"31",52496,2020-04-02 22:00:00,NA,43,8,31,21,2020-05-19 14:01:25,"2020-04-03",52,1
"32",52497,2020-04-03 22:00:00,NA,27,6,13,20,2020-05-19 14:01:25,"2020-04-04",33,1
"33",52498,2020-04-04 22:00:00,NA,26,6,14,19,2020-05-19 14:01:25,"2020-04-05",33,1
"34",52499,2020-04-05 22:00:00,NA,27,5,16,18,2020-05-19 14:01:25,"2020-04-06",34,2
"35",52500,2020-04-06 22:00:00,NA,27,10,11,27,2020-05-19 14:01:25,"2020-04-07",38,1
"36",52501,2020-04-07 22:00:00,NA,27,10,18,19,2020-05-19 14:01:25,"2020-04-08",37,1
"37",52502,2020-04-08 22:00:00,NA,27,6,17,21,2020-05-19 14:01:25,"2020-04-09",38,4
"38",52503,2020-04-09 22:00:00,NA,21,8,11,19,2020-05-19 14:01:25,"2020-04-10",30,1
"39",52504,2020-04-10 22:00:00,NA,16,10,8,18,2020-05-19 14:01:25,"2020-04-11",26,0
"40",52505,2020-04-11 22:00:00,NA,14,3,7,11,2020-05-19 14:01:25,"2020-04-12",18,1
"41",52506,2020-04-12 22:00:00,NA,5,2,2,5,2020-05-19 14:01:25,"2020-04-13",7,0
"42",52507,2020-04-13 22:00:00,NA,12,6,7,11,2020-05-19 14:01:25,"2020-04-14",18,0
"43",52508,2020-04-14 22:00:00,NA,16,9,12,15,2020-05-19 14:01:25,"2020-04-15",27,2
"44",52509,2020-04-15 22:00:00,NA,12,14,8,20,2020-05-19 14:01:25,"2020-04-16",28,2
"45",52510,2020-04-16 22:00:00,NA,24,16,11,30,2020-05-19 14:01:25,"2020-04-17",41,1
"46",52511,2020-04-17 22:00:00,NA,29,29,18,45,2020-05-19 14:01:25,"2020-04-18",63,3
"47",52512,2020-04-18 22:00:00,NA,7,14,6,15,2020-05-18 07:55:15,"2020-04-19",21,0
"48",52513,2020-04-19 22:00:00,NA,16,37,16,38,2020-05-18 07:55:15,"2020-04-20",54,1
"49",52514,2020-04-20 22:00:00,NA,11,13,10,14,2020-05-18 07:55:15,"2020-04-21",24,0
"50",52515,2020-04-21 22:00:00,NA,5,18,10,13,2020-05-18 07:55:15,"2020-04-22",23,0
"51",52516,2020-04-22 22:00:00,NA,8,11,11,8,2020-05-18 07:55:15,"2020-04-23",19,0
"52",52517,2020-04-23 22:00:00,NA,7,2,3,7,2020-05-18 07:55:15,"2020-04-24",10,0
"53",52518,2020-04-24 22:00:00,NA,6,5,5,9,2020-05-18 07:55:15,"2020-04-25",14,2
"54",52519,2020-04-25 22:00:00,NA,5,7,5,7,2020-05-18 07:55:15,"2020-04-26",12,0
"55",52520,2020-04-26 22:00:00,NA,6,3,4,6,2020-05-18 07:55:15,"2020-04-27",10,1
"56",52521,2020-04-27 22:00:00,NA,26,0,12,15,2020-05-18 07:55:15,"2020-04-28",27,0
"57",52522,2020-04-28 22:00:00,NA,12,0,4,8,2020-05-18 07:55:15,"2020-04-29",12,0
"58",52523,2020-04-29 22:00:00,NA,10,1,3,11,2020-05-18 07:55:15,"2020-04-30",14,2
"59",52524,2020-04-30 22:00:00,NA,5,0,2,3,2020-05-18 07:55:15,"2020-05-01",5,0
"60",52525,2020-05-01 22:00:00,NA,5,0,5,0,2020-05-18 07:55:15,"2020-05-02",5,0
"61",52526,2020-05-02 22:00:00,NA,6,1,5,3,2020-05-18 07:55:15,"2020-05-03",8,0
"62",52527,2020-05-03 22:00:00,NA,3,0,1,2,2020-05-18 07:55:15,"2020-05-04",3,0
"63",52528,2020-05-04 22:00:00,NA,5,0,4,2,2020-05-18 07:55:15,"2020-05-05",6,1
"64",52529,2020-05-05 22:00:00,NA,5,0,0,5,2020-05-18 07:55:15,"2020-05-06",5,0
"65",52530,2020-05-06 22:00:00,NA,9,0,5,4,2020-05-18 07:55:15,"2020-05-07",9,0
"66",52531,2020-05-07 22:00:00,NA,28,0,9,20,2020-05-18 07:55:15,"2020-05-08",29,1
"67",52532,2020-05-08 22:00:00,NA,9,0,5,7,2020-05-18 07:55:15,"2020-05-09",12,2
"68",52533,2020-05-09 22:00:00,NA,8,0,3,4,2020-05-18 07:55:15,"2020-05-10",8,0
"69",52534,2020-05-10 22:00:00,NA,9,0,2,7,2020-05-18 07:55:15,"2020-05-11",9,0
