"OBJECTID","DATA","TYRIMAI","ATVEJAI","GYDOMA","PASVEIKO","MIRTYS","VYRAI","MOTERYS","ATNAUJINIMODATA","DT"
51898,2020-05-17 22:00:00,NA,6,6,0,3,NA,NA,NA,"2020-05-18"
52216,2020-05-18 22:00:00,NA,15,-14,28,1,NA,NA,NA,"2020-05-19"
51710,2020-05-16 22:00:00,NA,7,7,0,1,4,3,NA,"2020-05-17"
51711,2020-05-20 22:00:00,NA,16,15,0,1,NA,NA,NA,"2020-05-21"
52217,2020-05-19 22:00:00,NA,15,-11,24,0,NA,NA,NA,"2020-05-20"
51712,2020-05-21 22:00:00,NA,11,-51,62,0,NA,NA,NA,"2020-05-22"
52218,2020-05-22 22:00:00,NA,12,-14,24,2,NA,NA,NA,"2020-05-23"
52219,2020-05-23 22:00:00,NA,7,4,3,0,NA,NA,NA,"2020-05-24"
51713,2020-05-24 22:00:00,NA,12,12,0,0,NA,NA,NA,"2020-05-25"
52220,2020-05-25 22:00:00,NA,4,-25,27,2,NA,NA,NA,"2020-05-26"
52221,2020-05-26 22:00:00,NA,8,-12,19,1,NA,NA,NA,"2020-05-27"
51642,2020-02-27 22:00:00,NA,1,1,0,0,0,1,2020-05-15 11:34:54,"2020-02-28"
51643,2020-03-09 22:00:00,NA,0,0,0,0,1,1,2020-05-15 11:34:55,"2020-03-10"
51644,2020-03-11 22:00:00,NA,0,0,0,0,0,1,2020-05-15 11:34:55,"2020-03-12"
51645,2020-03-12 22:00:00,NA,0,0,0,0,1,1,2020-05-15 11:34:56,"2020-03-13"
51646,2020-03-13 22:00:00,NA,4,4,0,0,3,0,2020-05-15 11:34:56,"2020-03-14"
51647,2020-03-14 22:00:00,NA,2,2,0,0,1,2,2020-05-15 11:34:57,"2020-03-15"
51648,2020-03-15 22:00:00,NA,8,7,1,0,6,1,2020-05-15 11:34:57,"2020-03-16"
51649,2020-03-16 22:00:00,NA,9,9,0,0,5,3,2020-05-15 11:34:58,"2020-03-17"
51650,2020-03-17 22:00:00,NA,8,8,0,0,6,3,2020-05-15 11:34:58,"2020-03-18"
51651,2020-03-18 22:00:00,NA,7,7,0,0,4,5,2020-05-15 11:34:59,"2020-03-19"
51652,2020-03-19 22:00:00,NA,22,22,0,0,13,9,2020-05-15 11:34:59,"2020-03-20"
51653,2020-03-20 22:00:00,NA,36,35,0,1,13,15,2020-05-15 11:35:00,"2020-03-21"
51654,2020-03-21 22:00:00,NA,32,32,0,0,19,12,2020-05-15 11:35:00,"2020-03-22"
51655,2020-03-22 22:00:00,NA,29,29,0,0,16,22,2020-05-15 11:35:01,"2020-03-23"
