"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,8,4,4,0,8,0,2020-08-01 06:50:09,0,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,2020-08-01 06:50:10,0,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,8,4,4,1,6,1,2020-08-01 06:50:11,1,0
4,"69","Prienų r.","2","Kauno apskr.",NA,7,3,4,2,5,0,2020-08-01 06:50:11,2,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,15,4,11,2,13,0,2020-08-01 06:50:12,1,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-08-01 06:50:13,0,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,82,36,46,5,73,4,2020-08-01 06:50:14,3,0
8,"19","Kauno m.","2","Kauno apskr.",NA,165,99,66,59,102,3,2020-08-01 06:50:15,37,1
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-08-01 06:50:15,0,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-08-01 06:50:16,0,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-08-01 06:50:17,0,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,0,3,0,2020-08-01 06:50:17,0,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-08-01 06:50:18,0,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,12,7,5,1,10,1,2020-08-01 06:50:19,1,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,66,30,36,7,55,4,2020-08-01 06:50:20,4,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,8,3,5,0,8,0,2020-08-01 06:50:20,0,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,0,5,0,2020-08-01 06:50:21,0,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,11,4,7,7,4,0,2020-08-01 06:50:22,6,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,7,5,2,0,7,0,2020-08-01 06:50:22,0,0
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,5,1,4,2,3,0,2020-08-01 06:50:23,1,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,8,4,4,4,3,1,2020-08-01 06:50:24,1,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,11,6,5,3,7,1,2020-08-01 06:50:25,3,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,15,9,6,8,7,0,2020-08-01 06:50:25,2,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,2,2,0,2,0,0,2020-08-01 06:50:26,2,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,3,1,2,0,3,0,2020-08-01 06:50:27,0,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,1,10,1,2020-08-01 06:50:28,0,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-08-01 06:50:28,0,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,23,7,16,8,15,0,2020-08-01 06:50:29,7,0
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,307,113,194,37,263,3,2020-08-01 06:50:30,11,4
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,11,7,4,0,11,0,2020-08-01 06:50:31,0,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,2,2,0,1,1,0,2020-08-01 06:50:32,1,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,11,4,7,8,3,0,2020-08-01 06:50:32,6,0
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,89,29,60,0,79,9,2020-08-01 06:50:33,0,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,2020-08-01 06:50:34,0,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,20,11,9,3,16,0,2020-08-01 06:50:35,0,1
