"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,10,5,5,2,8,0,2020-09-13 06:50:11,2,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,9,4,5,5,4,0,2020-09-13 06:50:12,1,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,8,4,4,0,7,1,2020-09-13 06:50:13,0,0
4,"69","Prienų r.","2","Kauno apskr.",NA,29,11,18,7,21,1,2020-09-13 06:50:14,5,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,20,7,13,1,19,0,2020-09-13 06:50:15,0,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-09-13 06:50:16,0,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,89,39,50,8,77,4,2020-09-13 06:50:17,4,0
8,"19","Kauno m.","2","Kauno apskr.",NA,380,210,170,221,151,7,2020-09-13 06:50:19,36,1
9,"11","Alytaus m.","1","Alytaus apskr.",NA,34,21,13,6,27,1,2020-09-13 06:50:20,6,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-09-13 06:50:21,0,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-09-13 06:50:22,0,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,0,3,0,2020-09-13 06:50:23,0,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,13,6,7,2,11,0,2020-09-13 06:50:24,1,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,20,10,10,8,11,1,2020-09-13 06:50:26,8,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,85,42,43,14,67,4,2020-09-13 06:50:28,12,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,10,4,6,2,8,0,2020-09-13 06:50:30,1,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,8,4,4,3,5,0,2020-09-13 06:50:32,1,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,44,11,33,34,10,0,2020-09-13 06:50:33,7,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,9,7,2,1,8,0,2020-09-13 06:50:35,1,0
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,12,4,8,7,5,0,2020-09-13 06:50:37,3,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,13,7,6,3,9,1,2020-09-13 06:50:39,1,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,16,8,8,2,13,1,2020-09-13 06:50:41,1,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,37,18,19,21,16,0,2020-09-13 06:50:43,9,0
