"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
58293,NA,"Utenos r.",NA,NA,NA,NA,4,1,3,0,4,0,2020-05-27 12:00:49,0,0,4,10.8,37179,0
58294,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-27 12:00:50,0,0,3,10.2,29526,0
58295,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-05-27 12:00:50,0,0,7,20.2,34660,0
58296,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-27 12:00:51,0,0,5,19.4,25802,0
58297,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-05-27 12:00:51,0,0,9,21.9,41163,0
58298,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-05-27 12:00:52,0,0,6,82.7,7258,0
58299,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,4,69,3,2020-05-27 12:00:52,0,0,77,143.2,53772,7.4
58300,NA,"Kauno m.",NA,NA,NA,NA,101,50,51,16,82,3,2020-05-27 12:00:53,0,0,101,34.9,289380,5.5
58301,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-05-27 12:00:54,0,0,28,56.1,49888,0
58302,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-27 12:00:54,0,0,1,5.2,19109,0
58303,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-05-27 12:00:55,0,0,15,72.4,20726,0
58304,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-05-27 12:00:55,0,0,2,17.6,11337,8.8
58561,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-05-27 12:00:56,0,0,10,44,22718,0
58562,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,1,9,1,2020-05-27 12:00:56,0,0,11,26.5,41442,2.4
58563,NA,"Klaipėdos r.",NA,NA,NA,NA,55,24,31,7,45,3,2020-05-27 12:00:57,0,0,55,91.5,60139,11.6
58564,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-05-27 12:00:57,0,0,6,26,23034,0
58565,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-27 12:00:58,0,0,5,26.6,18764,0
58566,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-05-27 12:00:58,0,0,3,17.5,17153,11.7
58567,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-27 12:00:59,0,0,3,8.6,34995,0
58568,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-05-27 12:00:59,0,0,3,10.7,28070,0
58569,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-05-27 12:01:00,0,0,3,11.2,26698,0
58570,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-05-27 12:01:01,0,0,8,22.6,35324,2.8
58571,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-05-27 12:01:01,0,0,5,15.4,32546,0
58572,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-05 10:19:52,0,0,1,6.1,16356,0
58573,NA,"Skuodo r.",NA,NA,NA,NA,2,0,2,0,2,0,2020-05-27 12:01:02,0,0,2,12.4,16078,0
58574,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,5,6,1,2020-05-27 12:01:02,0,0,12,74.8,16046,31.2
58575,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-27 12:01:03,0,0,1,13.7,7288,0
58576,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-05-27 12:01:03,0,0,12,39.3,30520,16.4
58577,NA,"Vilniaus r.",NA,NA,NA,NA,245,87,158,75,165,3,2020-05-27 12:01:04,0,0,245,244.6,100158,74.9
58578,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-05-27 12:01:05,0,0,10,43.6,22932,13.1
58579,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-27 12:01:05,0,0,1,6.7,14916,0
58580,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-27 12:01:06,0,0,1,2.2,45285,0
58581,NA,"Ukmergės r.",NA,NA,NA,NA,86,27,59,5,73,8,2020-05-27 12:01:06,0,0,86,256.9,33471,14.9
58582,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-27 12:01:07,0,0,2,7.9,25382,0
58583,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,2,5,0,2020-05-27 12:01:07,0,0,8,53.1,15076,13.3
58584,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-05-27 12:01:08,0,0,4,39.3,10190,19.6
58585,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,2,19,0,2020-05-27 12:01:08,0,0,21,21.8,96441,2.1
58586,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,1,6,0,2020-05-27 12:01:09,0,0,7,18.6,37637,2.7
58587,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-05-27 12:01:09,0,0,9,23.8,37805,5.3
58588,NA,"Lazdijų r.",NA,NA,NA,NA,4,1,3,2,2,0,2020-05-27 12:01:10,0,0,4,21.8,18331,10.9
58589,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-27 12:01:10,0,0,2,8.1,24822,0
58590,NA,"Elektrėnų",NA,NA,NA,NA,6,2,4,3,3,0,2020-05-27 12:01:11,0,0,6,25,23992,12.5
58591,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-27 12:01:11,0,0,1,28.3,3530,0
58592,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-05-27 12:01:12,0,0,7,13.7,51067,2
58593,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-27 12:01:12,0,0,3,20.8,14433,6.9
58594,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-27 12:01:13,0,0,10,25.4,39317,0
58595,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-27 12:01:14,0,0,7,21.2,32987,0
58596,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,25,32,2,2020-05-27 12:01:14,0,0,59,157.6,37427,66.8
58597,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-27 12:01:15,0,0,1,4.8,20840,0
