"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
61,NA,"Kita",NA,NA,NA,NA,0,9,5,1,12,1,2020-06-15 06:55:01,0,0,0,0,0,0,0,0,3.5
64693,NA,"Utenos r.",NA,NA,NA,NA,6,3,3,2,4,0,2020-06-15 06:52:12,0,0,6,16.1,37179,5.4,1,2.7,3.5
64694,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-15 06:52:12,0,0,3,10.2,29526,0,0,0,3.5
64695,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-15 06:52:13,0,0,7,20.2,34660,0,0,0,3.5
64696,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-15 06:52:13,0,0,5,19.4,25802,0,0,0,3.5
64697,NA,"Jonavos r.",NA,NA,NA,NA,13,3,10,4,9,0,2020-06-15 06:52:14,0,0,13,31.6,41163,9.7,4,9.7,3.5
64698,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-15 06:52:15,0,0,6,82.7,7258,0,0,0,3.5
64699,NA,"Marijampolės",NA,NA,NA,NA,75,31,44,0,71,4,2020-06-15 06:52:16,0,0,75,139.5,53772,0,0,0,3.5
64700,NA,"Kauno m.",NA,NA,NA,NA,104,51,53,10,90,3,2020-06-15 06:52:16,0,0,104,35.9,289380,3.5,2,0.7,3.5
64701,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-15 06:52:17,0,0,28,56.1,49888,0,0,0,3.5
64702,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-15 06:52:17,0,0,1,5.2,19109,0,0,0,3.5
64703,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-15 06:52:18,0,0,15,72.4,20726,0,0,0,3.5
