"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
88441,NA,"Utenos r.",NA,NA,NA,NA,9,4,5,1,8,0,2020-09-04 06:50:12,0,0,9,24.2,37179,2.7,1,2.7,15.7,0
88442,NA,"Kaišiadorių r.",NA,NA,NA,NA,9,4,5,5,4,0,2020-09-04 06:50:13,0,0,9,30.5,29526,16.9,1,3.4,15.7,0
88443,NA,"Vilkaviškio r.",NA,NA,NA,NA,8,4,4,0,7,1,2020-09-04 06:50:15,0,0,8,23.1,34660,0,0,0,15.7,0
88444,NA,"Prienų r.",NA,NA,NA,NA,26,9,17,9,16,1,2020-09-04 06:50:16,0,0,26,100.8,25802,34.9,3,11.6,15.7,0
88445,NA,"Jonavos r.",NA,NA,NA,NA,20,7,13,3,17,0,2020-09-04 06:50:17,0,0,20,48.6,41163,7.3,0,0,15.7,0
88446,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-09-04 06:50:19,0,0,6,82.7,7258,0,0,0,15.7,0
88447,NA,"Marijampolės",NA,NA,NA,NA,85,38,47,4,77,4,2020-09-04 06:50:20,0,0,85,158.1,53772,7.4,2,3.7,15.7,0
88448,NA,"Kauno m.",NA,NA,NA,NA,349,193,156,203,138,7,2020-09-04 06:50:22,0,0,349,120.6,289380,70.1,51,17.6,15.7,1
89345,NA,"Alytaus m.",NA,NA,NA,NA,30,19,11,2,27,1,2020-09-04 06:50:24,0,0,30,60.1,49888,4,2,4,15.7,0
89346,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-09-04 06:50:25,0,0,1,5.2,19109,0,0,0,15.7,0
