"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
91641,NA,"Utenos r.",NA,NA,NA,NA,10,5,5,2,8,0,2020-09-13 06:50:11,0,0,10,26.9,37179,5.4,2,5.4,16.5,0
91642,NA,"Kaišiadorių r.",NA,NA,NA,NA,9,4,5,5,4,0,2020-09-13 06:50:12,0,0,9,30.5,29526,16.9,1,3.4,16.5,0
91643,NA,"Vilkaviškio r.",NA,NA,NA,NA,8,4,4,0,7,1,2020-09-13 06:50:13,0,0,8,23.1,34660,0,0,0,16.5,0
91644,NA,"Prienų r.",NA,NA,NA,NA,29,11,18,7,21,1,2020-09-13 06:50:14,0,0,29,112.4,25802,27.1,5,19.4,16.5,0
91645,NA,"Jonavos r.",NA,NA,NA,NA,20,7,13,1,19,0,2020-09-13 06:50:15,0,0,20,48.6,41163,2.4,0,0,16.5,0
91646,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-09-13 06:50:16,0,0,6,82.7,7258,0,0,0,16.5,0
91647,NA,"Marijampolės",NA,NA,NA,NA,89,39,50,8,77,4,2020-09-13 06:50:17,0,0,89,165.5,53772,14.9,4,7.4,16.5,0
91648,NA,"Kauno m.",NA,NA,NA,NA,380,210,170,221,151,7,2020-09-13 06:50:19,0,0,380,131.3,289380,76.4,36,12.4,16.5,1
91649,NA,"Alytaus m.",NA,NA,NA,NA,34,21,13,6,27,1,2020-09-13 06:50:20,0,0,34,68.2,49888,12,6,12,16.5,0
91650,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-09-13 06:50:21,0,0,1,5.2,19109,0,0,0,16.5,0
91651,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-09-13 06:50:22,0,0,15,72.4,20726,0,0,0,16.5,0
91652,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,0,3,0,2020-09-13 06:50:23,0,0,3,26.5,11337,0,0,0,16.5,0
91653,NA,"Biržų r.",NA,NA,NA,NA,13,6,7,2,11,0,2020-09-13 06:50:24,0,0,13,57.2,22718,8.8,1,4.4,16.5,0
91654,NA,"Šiaulių r.",NA,NA,NA,NA,20,10,10,8,11,1,2020-09-13 06:50:26,0,0,20,48.3,41442,19.3,8,19.3,16.5,0
91655,NA,"Klaipėdos r.",NA,NA,NA,NA,85,42,43,14,67,4,2020-09-13 06:50:28,0,0,85,141.3,60139,23.3,12,20,16.5,0
91656,NA,"Anykščių r.",NA,NA,NA,NA,10,4,6,2,8,0,2020-09-13 06:50:30,0,0,10,43.4,23034,8.7,1,4.3,16.5,0
91657,NA,"Akmenės r.",NA,NA,NA,NA,8,4,4,3,5,0,2020-09-13 06:50:32,0,0,8,42.6,18764,16,1,5.3,16.5,0
91658,NA,"Molėtų r.",NA,NA,NA,NA,44,11,33,34,10,0,2020-09-13 06:50:33,0,0,44,256.5,17153,198.2,7,40.8,16.5,0
91659,NA,"Radviliškio r.",NA,NA,NA,NA,9,7,2,1,8,0,2020-09-13 06:50:35,0,0,9,25.7,34995,2.9,1,2.9,16.5,0
91660,NA,"Rokiškio r.",NA,NA,NA,NA,12,4,8,7,5,0,2020-09-13 06:50:37,0,0,12,42.8,28070,24.9,3,10.7,16.5,0
91661,NA,"Šakių r.",NA,NA,NA,NA,13,7,6,3,9,1,2020-09-13 06:50:39,0,0,13,48.7,26698,11.2,1,3.7,16.5,0
91662,NA,"Panevėžio r.",NA,NA,NA,NA,16,8,8,2,13,1,2020-09-13 06:50:41,0,0,16,45.3,35324,5.7,1,2.8,16.5,0
91663,NA,"Trakų r.",NA,NA,NA,NA,37,18,19,21,16,0,2020-09-13 06:50:43,0,0,37,113.7,32546,64.5,9,27.7,16.5,0
91664,NA,"Kupiškio r.",NA,NA,NA,NA,10,6,4,2,8,0,2020-09-13 06:50:45,0,0,10,61.1,16356,12.2,1,6.1,16.5,0
91665,NA,"Skuodo r.",NA,NA,NA,NA,9,2,7,5,4,0,2020-09-13 06:50:47,0,0,9,56,16078,31.1,3,18.7,16.5,0
91666,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,0,11,1,2020-09-13 06:50:49,0,0,12,74.8,16046,0,0,0,16.5,0
91667,NA,"Pagėgių",NA,NA,NA,NA,4,0,4,3,1,0,2020-09-13 06:50:51,0,0,4,54.9,7288,41.2,3,41.2,16.5,0
91668,NA,"Šalčininkų r.",NA,NA,NA,NA,32,11,21,6,26,0,2020-09-13 06:50:53,0,0,32,104.8,30520,19.7,2,6.6,16.5,0
91669,NA,"Vilniaus r.",NA,NA,NA,NA,341,131,210,47,287,3,2020-09-13 06:50:55,0,0,341,340.5,100158,46.9,13,13,16.5,4
91670,NA,"Švenčionių r.",NA,NA,NA,NA,43,15,28,32,11,0,2020-09-13 06:50:57,0,0,43,187.5,22932,139.5,13,56.7,16.5,0
91671,NA,"Zarasų r.",NA,NA,NA,NA,5,5,0,3,2,0,2020-09-13 06:50:59,0,0,5,33.5,14916,20.1,0,0,16.5,0
91672,NA,"Kėdainių r.",NA,NA,NA,NA,24,14,10,13,11,0,2020-09-13 06:51:01,0,0,24,53,45285,28.7,9,19.9,16.5,0
91673,NA,"Ukmergės r.",NA,NA,NA,NA,93,30,63,4,79,9,2020-09-13 06:51:03,0,0,93,277.9,33471,12,1,3,16.5,1
91674,NA,"Kelmės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-09-13 06:51:05,0,0,3,11.8,25382,0,0,0,16.5,0
91675,NA,"Širvintų r.",NA,NA,NA,NA,20,11,9,0,19,0,2020-09-13 06:51:07,0,0,20,132.7,15076,0,0,0,16.5,1
91676,NA,"Kalvarijos",NA,NA,NA,NA,6,2,4,1,4,0,2020-09-13 06:51:09,0,0,6,58.9,10190,9.8,1,9.8,16.5,1
91677,NA,"Kauno r.",NA,NA,NA,NA,107,53,54,65,41,1,2020-09-13 06:51:11,0,0,107,110.9,96441,67.4,15,15.6,16.5,0
91678,NA,"Šilutės r.",NA,NA,NA,NA,15,9,6,5,10,0,2020-09-13 06:51:12,0,0,15,39.9,37637,13.3,3,8,16.5,0
91679,NA,"Tauragės r.",NA,NA,NA,NA,49,38,11,34,15,0,2020-09-13 06:51:14,0,0,49,129.6,37805,89.9,30,79.4,16.5,0
91680,NA,"Lazdijų r.",NA,NA,NA,NA,7,3,4,0,7,0,2020-09-13 06:51:16,0,0,7,38.2,18331,0,0,0,16.5,0
91681,NA,"Jurbarko r.",NA,NA,NA,NA,17,11,6,15,2,0,2020-09-13 06:51:18,0,0,17,68.5,24822,60.4,12,48.3,16.5,0
91682,NA,"Elektrėnų",NA,NA,NA,NA,21,10,11,14,7,0,2020-09-13 06:51:20,0,0,21,87.5,23992,58.4,6,25,16.5,0
91683,NA,"Neringos",NA,NA,NA,NA,2,1,1,1,1,0,2020-09-13 06:51:22,0,0,2,56.7,3530,28.3,0,0,16.5,0
91684,NA,"Mažeikių r.",NA,NA,NA,NA,19,10,9,11,7,1,2020-09-13 06:51:23,0,0,19,37.2,51067,21.5,8,15.7,16.5,0
91685,NA,"Ignalinos r.",NA,NA,NA,NA,24,11,13,6,18,0,2020-09-13 06:51:25,0,0,24,166.3,14433,41.6,0,0,16.5,0
91686,NA,"Telšių r.",NA,NA,NA,NA,12,6,6,1,9,2,2020-09-13 06:51:26,0,0,12,30.5,39317,2.5,1,2.5,16.5,0
91687,NA,"Plungės r.",NA,NA,NA,NA,11,5,6,3,8,0,2020-09-13 06:51:28,0,0,11,33.3,32987,9.1,3,9.1,16.5,0
91688,NA,"Kretingos r.",NA,NA,NA,NA,66,25,41,2,60,4,2020-09-13 06:51:29,0,0,66,176.3,37427,5.3,2,5.3,16.5,0
91689,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-09-13 06:51:31,0,0,1,4.8,20840,0,0,0,16.5,0
91690,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-09-13 06:51:33,0,0,7,27,25887,0,0,0,16.5,0
