"country","day","confirmed","deaths","recovered","tested","under_observation","intensive_therapy","hospitalized","quarantined"
"Lithuania","2020-02-28",1,0,0,116,33003,NA,NA,NA
"Lithuania","2020-02-29",1,0,0,142,33003,NA,NA,NA
"Lithuania","2020-03-01",1,0,0,165,33003,NA,NA,NA
"Lithuania","2020-03-02",1,0,0,191,33003,NA,NA,NA
"Lithuania","2020-03-03",1,0,0,215,33003,NA,NA,NA
"Lithuania","2020-03-04",1,0,0,231,4981,NA,NA,NA
"Lithuania","2020-03-05",1,0,0,247,4981,NA,NA,NA
"Lithuania","2020-03-06",1,0,0,254,4981,NA,NA,NA
"Lithuania","2020-03-07",1,0,0,260,4981,NA,NA,NA
"Lithuania","2020-03-08",1,0,0,275,4981,NA,NA,NA
"Lithuania","2020-03-09",1,0,0,290,4981,NA,NA,NA
"Lithuania","2020-03-10",1,0,0,309,4981,NA,NA,NA
"Lithuania","2020-03-11",3,0,0,321,4981,NA,NA,NA
"Lithuania","2020-03-12",3,0,0,366,9176,NA,NA,NA
"Lithuania","2020-03-13",6,0,0,442,9176,NA,NA,NA
"Lithuania","2020-03-14",7,0,0,520,9176,NA,NA,NA
"Lithuania","2020-03-15",12,0,1,624,43270,NA,NA,NA
"Lithuania","2020-03-16",17,0,1,742,43270,NA,NA,NA
"Lithuania","2020-03-17",26,0,1,935,56219,NA,NA,NA
"Lithuania","2020-03-18",34,0,1,1027,70998,NA,NA,NA
"Lithuania","2020-03-19",48,0,1,1154,74887,NA,NA,NA
"Lithuania","2020-03-20",69,1,1,1387,74887,NA,NA,NA
